H,phase,year,n,joint_base,product_auc_joint,product_auc_same75,product_auc_ret15
60,0,2025,214,0.19626168224299065,0.6638981173864895,0.4867537313432836,0.6619532428355958
60,0,2026,136,0.16176470588235295,0.6905901116427432,0.47705314009661837,0.7100346020761246
60,2,2025,210,0.20952380952380953,0.6174698795180723,0.45659804572621193,0.6760082023239918
60,2,2026,131,0.16793893129770993,0.6847372810675563,0.4587251828631139,0.7181224899598394
120,0,2025,214,0.24766355140186916,0.6644790812141099,0.4972921034241789,0.6947586726998491
120,0,2026,138,0.21739130434782608,0.7376543209876543,0.5114857744994731,0.7417173766058147
120,2,2025,210,0.2523809523809524,0.6483595721668068,0.4788424788424788,0.6866516941704912
120,2,2026,132,0.22727272727272727,0.6813725490196079,0.4813878676470588,0.7274305555555556
240,0,2025,214,0.27102803738317754,0.6928603006189213,0.4964689265536723,0.700603318250377
240,0,2026,138,0.2463768115942029,0.7183257918552036,0.5143708750266127,0.7453234167230111
240,2,2025,210,0.2761904761904762,0.67252722323049,0.46912433837867956,0.697978713016307
240,2,2026,132,0.24242424242424243,0.6903125,0.4829347573717205,0.732390873015873
