phase,year,m5_index,direction,decision,accept_time,conf_time,preconf_same75,preconf_opp75,postconf_same75_H60,postconf_opp75_H60,postconf_same75_H120,postconf_opp75_H120,postconf_same75_H240,postconf_opp75_H240
0,2024,179229,1,2024-07-11 18:05:00,2024-07-11 18:19:00,2024-07-11 18:34:00,True,False,1.0,0.0,1,0,1,0
0,2024,180058,1,2024-07-16 18:10:00,2024-07-16 18:27:00,2024-07-16 18:42:00,False,False,1.0,0.0,1,0,1,0
0,2024,180592,1,2024-07-18 16:40:00,2024-07-18 16:56:00,2024-07-18 17:11:00,False,False,0.0,0.0,1,0,1,0
0,2024,180718,-1,2024-07-19 04:10:00,2024-07-19 04:21:00,2024-07-19 04:36:00,False,False,0.0,0.0,0,0,0,0
0,2024,181131,1,2024-07-22 15:35:00,2024-07-22 15:47:00,2024-07-22 16:02:00,False,False,1.0,0.0,1,0,1,0
0,2024,181144,-1,2024-07-22 16:40:00,2024-07-22 16:44:00,2024-07-22 16:59:00,False,False,1.0,0.0,1,0,1,0
0,2024,181711,-1,2024-07-24 17:55:00,2024-07-24 18:34:00,2024-07-24 18:49:00,True,False,0.0,0.0,1,0,1,0
0,2024,181957,-1,2024-07-25 15:25:00,2024-07-25 15:33:00,2024-07-25 15:48:00,True,False,0.0,0.0,1,0,1,0
0,2024,181959,1,2024-07-25 15:35:00,2024-07-25 15:48:00,2024-07-25 16:03:00,False,False,1.0,0.0,1,0,1,0
0,2024,183203,1,2024-08-01 04:15:00,2024-08-01 04:39:00,2024-08-01 04:54:00,False,False,0.0,0.0,0,1,0,1
0,2024,183906,-1,2024-08-05 16:50:00,2024-08-05 17:16:00,2024-08-05 17:31:00,False,False,0.0,0.0,0,0,0,0
0,2024,185009,1,2024-08-09 16:45:00,2024-08-09 17:01:00,2024-08-09 17:16:00,False,False,1.0,0.0,1,0,1,0
0,2024,185557,1,2024-08-13 16:25:00,2024-08-13 16:35:00,2024-08-13 16:50:00,False,False,1.0,0.0,1,0,1,0
0,2024,186099,-1,2024-08-15 15:35:00,2024-08-15 15:47:00,2024-08-15 16:02:00,True,False,1.0,0.0,1,0,1,0
0,2024,186957,-1,2024-08-20 18:05:00,2024-08-20 18:15:00,2024-08-20 18:30:00,False,False,1.0,0.0,1,0,1,0
0,2024,188594,-1,2024-08-28 16:30:00,2024-08-28 16:33:00,2024-08-28 16:48:00,True,False,0.0,0.0,0,0,1,0
0,2024,189650,1,2024-09-03 15:00:00,2024-09-03 15:34:00,2024-09-03 15:49:00,True,False,0.0,0.0,1,1,1,1
0,2024,190527,-1,2024-09-06 19:05:00,2024-09-06 19:20:00,2024-09-06 19:35:00,False,False,1.0,0.0,1,0,1,0
0,2024,191051,-1,2024-09-10 16:45:00,2024-09-10 16:55:00,2024-09-10 17:10:00,False,False,1.0,0.0,1,1,1,1
0,2024,191313,-1,2024-09-11 15:35:00,2024-09-11 15:38:00,2024-09-11 15:53:00,True,False,1.0,0.0,1,0,1,0
0,2024,192160,-1,2024-09-16 17:10:00,2024-09-16 17:28:00,2024-09-16 17:43:00,False,False,0.0,0.0,0,0,0,0
0,2024,194638,-1,2024-09-27 16:40:00,2024-09-27 17:01:00,2024-09-27 17:16:00,False,False,1.0,0.0,1,0,1,0
0,2024,194652,-1,2024-09-27 17:50:00,2024-09-27 18:02:00,2024-09-27 18:17:00,True,False,0.0,0.0,0,0,1,0
0,2024,195729,-1,2024-10-03 15:35:00,2024-10-03 15:51:00,2024-10-03 16:06:00,False,False,0.0,0.0,1,0,1,0
0,2024,198495,1,2024-10-17 16:05:00,2024-10-17 16:15:00,2024-10-17 16:30:00,False,False,1.0,0.0,1,0,1,0
0,2024,198500,1,2024-10-17 16:30:00,2024-10-17 17:08:00,2024-10-17 17:23:00,False,False,1.0,0.0,1,0,1,0
0,2024,198634,1,2024-10-18 04:40:00,2024-10-18 05:02:00,2024-10-18 05:17:00,False,False,1.0,0.0,1,0,1,0
0,2024,200715,1,2024-10-29 16:05:00,2024-10-29 16:37:00,2024-10-29 16:52:00,False,False,0.0,0.0,0,0,0,0
0,2024,200973,1,2024-10-30 14:35:00,2024-10-30 14:48:00,2024-10-30 15:03:00,False,False,1.0,0.0,1,0,1,0
0,2024,202095,-1,2024-11-05 17:05:00,2024-11-05 17:10:00,2024-11-05 17:25:00,False,False,1.0,0.0,1,0,1,0
0,2024,202330,-1,2024-11-06 13:40:00,2024-11-06 13:52:00,2024-11-06 14:07:00,True,False,1.0,0.0,1,0,1,0
0,2024,203746,-1,2024-11-13 16:40:00,2024-11-13 16:53:00,2024-11-13 17:08:00,True,False,1.0,0.0,1,0,1,0
0,2024,203749,-1,2024-11-13 16:55:00,2024-11-13 17:06:00,2024-11-13 17:21:00,False,False,0.0,0.0,1,0,1,0
0,2024,205663,-1,2024-11-22 15:25:00,2024-11-22 15:44:00,2024-11-22 15:59:00,False,False,0.0,0.0,1,0,1,1
0,2024,205948,-1,2024-11-25 16:10:00,2024-11-25 16:13:00,2024-11-25 16:28:00,True,False,1.0,0.0,1,0,1,0
0,2024,207810,1,2024-12-04 15:05:00,2024-12-04 15:16:00,2024-12-04 15:31:00,True,False,1.0,0.0,1,0,1,0
0,2024,209480,-1,2024-12-12 16:15:00,2024-12-12 16:24:00,2024-12-12 16:39:00,False,False,0.0,0.0,1,0,1,0
0,2024,210308,1,2024-12-17 16:15:00,2024-12-17 17:07:00,2024-12-17 17:22:00,False,False,,,0,0,1,0
0,2024,210704,1,2024-12-19 03:15:00,2024-12-19 03:33:00,2024-12-19 03:48:00,True,False,1.0,0.0,1,0,1,0
0,2024,212382,1,2024-12-30 16:00:00,2024-12-30 16:08:00,2024-12-30 16:23:00,False,False,0.0,0.0,0,0,0,1
0,2025,213089,-1,2025-01-03 16:50:00,2025-01-03 17:10:00,2025-01-03 17:25:00,False,False,0.0,0.0,1,0,1,0
0,2025,213323,1,2025-01-06 13:20:00,2025-01-06 13:28:00,2025-01-06 13:43:00,True,False,1.0,0.0,1,0,1,1
0,2025,213903,1,2025-01-08 15:40:00,2025-01-08 15:55:00,2025-01-08 16:10:00,True,False,1.0,0.0,1,0,1,0
0,2025,214454,1,2025-01-10 15:35:00,2025-01-10 15:37:00,2025-01-10 15:52:00,True,False,1.0,0.0,1,0,1,0
0,2025,214490,1,2025-01-10 18:35:00,2025-01-10 19:07:00,2025-01-10 19:22:00,False,False,0.0,0.0,0,0,0,0
0,2025,215832,-1,2025-01-17 15:25:00,2025-01-17 15:34:00,2025-01-17 15:49:00,False,False,0.0,0.0,0,0,0,0
0,2025,218317,-1,2025-01-30 18:05:00,2025-01-30 18:16:00,2025-01-30 18:31:00,False,False,0.0,0.0,0,0,0,0
0,2025,221344,-1,2025-02-14 17:20:00,2025-02-14 17:26:00,2025-02-14 17:41:00,True,False,1.0,0.0,1,0,1,0
0,2025,222688,-1,2025-02-21 16:50:00,2025-02-21 16:58:00,2025-02-21 17:13:00,False,False,1.0,0.0,1,0,1,0
0,2025,222691,-1,2025-02-21 17:05:00,2025-02-21 17:56:00,2025-02-21 18:11:00,True,False,,,0,0,0,0
0,2025,223215,1,2025-02-25 14:45:00,2025-02-25 15:06:00,2025-02-25 15:21:00,False,False,0.0,0.0,1,0,1,1
0,2025,226267,-1,2025-03-12 15:05:00,2025-03-12 15:18:00,2025-03-12 15:33:00,True,False,0.0,0.0,0,0,0,1
0,2025,226563,1,2025-03-13 16:45:00,2025-03-13 16:58:00,2025-03-13 17:13:00,False,False,1.0,0.0,1,0,1,0
