label,phase,train_end,test_year,intercept,prog1,run_accept,prog3
accept_retain_extreme_15,0,2024,2025,-0.9788312464815236,0.5643597587633672,0.4349021404135181,-0.0184336980435233
accept_retain_extreme_15,0,2025,2026,-0.8119288031780824,0.5785298608750415,0.44640560513172756,-0.14729273120920328
accept_retain_extreme_15,2,2024,2025,-0.8930028445746477,0.6742450689508923,0.3525695380220885,-0.04799429511164052
accept_retain_extreme_15,2,2025,2026,-0.7921611522939955,0.6543901247120145,0.40979856884342464,-0.10770197783607713
accept_retain_extreme_30,0,2024,2025,-1.4784977046661394,0.6281405217405818,0.26015894282312035,-0.1660195108975984
accept_retain_extreme_30,0,2025,2026,-1.2859304263456035,0.6125626457478053,0.37003075099923266,-0.2769136391625344
accept_retain_extreme_30,2,2024,2025,-1.3990979205520724,0.5926074654063276,0.2378370665529968,-0.15334115935237336
accept_retain_extreme_30,2,2025,2026,-1.2663818339007844,0.5743724379604074,0.32129226774208963,-0.1790173187760286
accept_retain_extreme_60,0,2024,2025,-1.8739472677887552,0.659020090618043,0.1899963857003653,-0.02650199822016446
accept_retain_extreme_60,0,2025,2026,-1.6691980956975805,0.6836679280838625,0.3554130750118867,-0.2860882380819044
accept_retain_extreme_60,2,2024,2025,-1.7320528806311222,0.6572240783760408,0.07401714949309723,-0.11671430219102957
accept_retain_extreme_60,2,2025,2026,-1.6289728470929226,0.6523694564989906,0.24476819952256837,-0.23236193472855385
