H,phase,year,ret_q75_hi,ext_q75_hi,n,same75_hit,opp75_hit,same_first,struct_ret15
60,0,2025,0,0,148,0.3783783783783784,0.02702702702702703,0.3783783783783784,0.32432432432432434
60,0,2025,0,1,19,0.3684210526315789,0.0,0.3684210526315789,0.2631578947368421
60,0,2025,1,0,44,0.3409090909090909,0.045454545454545456,0.3181818181818182,0.5454545454545454
60,0,2025,1,1,3,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333
60,0,2026,0,0,69,0.2608695652173913,0.07246376811594203,0.2608695652173913,0.2608695652173913
60,0,2026,0,1,29,0.5517241379310345,0.06896551724137931,0.5517241379310345,0.3448275862068966
60,0,2026,1,0,28,0.2857142857142857,0.03571428571428571,0.2857142857142857,0.5714285714285714
60,0,2026,1,1,10,0.4,0.0,0.4,0.7
60,2,2025,0,0,133,0.3383458646616541,0.03007518796992481,0.3383458646616541,0.2781954887218045
60,2,2025,0,1,21,0.6190476190476191,0.0,0.6190476190476191,0.2857142857142857
60,2,2025,1,0,49,0.4897959183673469,0.061224489795918366,0.46938775510204084,0.6530612244897959
60,2,2025,1,1,7,0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857
60,2,2026,0,0,78,0.3076923076923077,0.0641025641025641,0.3076923076923077,0.2564102564102564
60,2,2026,0,1,21,0.38095238095238093,0.09523809523809523,0.38095238095238093,0.3333333333333333
60,2,2026,1,0,28,0.35714285714285715,0.03571428571428571,0.35714285714285715,0.6785714285714286
60,2,2026,1,1,4,0.5,0.0,0.5,0.5
120,0,2025,0,0,137,0.5036496350364964,0.08759124087591241,0.5036496350364964,0.3284671532846715
120,0,2025,0,1,30,0.5666666666666667,0.2,0.5666666666666667,0.26666666666666666
120,0,2025,1,0,43,0.4418604651162791,0.09302325581395349,0.4418604651162791,0.5581395348837209
120,0,2025,1,1,4,0.75,0.25,0.5,0.25
120,0,2026,0,0,79,0.4430379746835443,0.17721518987341772,0.43037974683544306,0.24050632911392406
120,0,2026,0,1,21,0.47619047619047616,0.19047619047619047,0.42857142857142855,0.42857142857142855
120,0,2026,1,0,32,0.5,0.03125,0.5,0.59375
120,0,2026,1,1,6,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
120,2,2025,0,0,133,0.49624060150375937,0.09022556390977443,0.48872180451127817,0.2706766917293233
120,2,2025,0,1,21,0.6666666666666666,0.19047619047619047,0.6666666666666666,0.3333333333333333
120,2,2025,1,0,46,0.5652173913043478,0.08695652173913043,0.5652173913043478,0.6521739130434783
120,2,2025,1,1,10,0.5,0.2,0.4,0.4
120,2,2026,0,0,82,0.43902439024390244,0.17073170731707318,0.4268292682926829,0.24390243902439024
120,2,2026,0,1,18,0.5555555555555556,0.2222222222222222,0.5,0.3888888888888889
120,2,2026,1,0,28,0.5714285714285714,0.03571428571428571,0.5714285714285714,0.6428571428571429
120,2,2026,1,1,4,0.5,0.25,0.5,0.75
240,0,2025,0,0,133,0.5488721804511278,0.18045112781954886,0.5488721804511278,0.3082706766917293
240,0,2025,0,1,34,0.6176470588235294,0.2647058823529412,0.5882352941176471,0.35294117647058826
240,0,2025,1,0,38,0.5,0.21052631578947367,0.5,0.6052631578947368
240,0,2025,1,1,9,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.2222222222222222
240,0,2026,0,0,78,0.5128205128205128,0.2692307692307692,0.5,0.2692307692307692
240,0,2026,0,1,22,0.6363636363636364,0.4090909090909091,0.5909090909090909,0.3181818181818182
240,0,2026,1,0,29,0.6551724137931034,0.06896551724137931,0.6551724137931034,0.6206896551724138
240,0,2026,1,1,9,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.5555555555555556
240,2,2025,0,0,126,0.5555555555555556,0.18253968253968253,0.5476190476190477,0.25396825396825395
240,2,2025,0,1,28,0.6071428571428571,0.25,0.5714285714285714,0.39285714285714285
240,2,2025,1,0,46,0.6304347826086957,0.15217391304347827,0.6304347826086957,0.6521739130434783
240,2,2025,1,1,10,0.5,0.4,0.4,0.4
240,2,2026,0,0,86,0.5232558139534884,0.26744186046511625,0.5116279069767442,0.23255813953488372
240,2,2026,0,1,14,0.6428571428571429,0.5,0.5714285714285714,0.5
240,2,2026,1,0,26,0.6538461538461539,0.07692307692307693,0.6538461538461539,0.6538461538461539
240,2,2026,1,1,6,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.6666666666666666
