period,direction,entries,mean_ret_1h_S,median_ret_1h_S,median_fav_1h_S,median_adv_1h_S,mean_ret_4h_S,median_ret_4h_S,median_fav_4h_S,median_adv_4h_S,mean_ret_12h_S,median_ret_12h_S,median_fav_12h_S,median_adv_12h_S,mean_ret_24h_S,median_ret_24h_S,median_fav_24h_S,median_adv_24h_S
2022,DOWN,113,-0.10951252936671786,-0.07046776441544911,0.2455456037610164,0.31767013176115505,-0.2229284742389917,-0.13278419309218878,0.46268168282794214,0.5965135925272029,-0.20211161434215108,-0.2658703576389186,0.6823978204674809,0.8182265845127008,-0.2487360473529481,-0.5932558176335248,0.8078149600836442,0.953953228447143
2022,UP,112,0.044664157071905755,-0.01986920279004205,0.3469079314622098,0.2887130935616943,0.08881140639390596,0.00416028156143883,0.5792404332163245,0.5050635174659421,0.12000412415291316,-0.058302219612621005,0.7734987458358995,0.7113885187429257,-0.0007369035647454598,-0.1489551344837134,1.0250172946443739,0.9313133410097814
2023,DOWN,145,-0.05452593075105486,-0.04109064169264962,0.25440185600346515,0.3066870719153602,0.06261513786010334,-0.025271146477539162,0.4739423001231365,0.5282779608659375,-0.10135481656498238,-0.2666048503365214,0.7586963077103943,0.7316217152039646,-0.16022738228733283,-0.28971945462637144,0.956844165900018,0.9502679463680028
2023,UP,172,0.18808694089280717,0.08029436979431077,0.3651162665926888,0.2578100748980047,0.20480632147037178,0.23005875185154584,0.6566956422652386,0.38343931377287643,0.3195709520502422,0.28757326069536693,1.0025347215544735,0.6296170722597176,0.34813107793845005,0.3129269443349671,1.144770947872116,0.7700373692237208
2024,DOWN,106,0.006908032927717784,-0.08918533923477502,0.3217236603402205,0.3616037531217451,0.08691260595506313,0.03522877855688003,0.5575804481770962,0.5111296802928378,0.029799546299041687,-0.13014162357559148,0.8619556014820117,0.7362986333051273,0.10160139276202806,-0.43497654608363767,0.9064213592098227,0.9501824875653293
2024,UP,166,0.08096329627860298,0.040963995390961405,0.32808419509323494,0.24845805437737548,0.1537490200411347,0.17032369596470565,0.5945728851071383,0.4085129591137626,0.3334994934927484,0.20987168301504489,1.0551404552458816,0.6812589415248576,0.379021356320771,0.32586403273435494,1.2923012447133655,0.8121841571553488
2025,DOWN,88,0.10749156249896291,0.034244044010593395,0.3791484827703308,0.2962272937385938,0.04135054289193623,0.018813492878451844,0.5408439773455515,0.41937710841393094,0.15653810765728152,0.07228131430459966,0.9581056618469134,0.6345849538918237,0.012838510439295868,-0.2472049664961203,1.0477807796803096,0.7553621658485774
2025,UP,166,0.07469039818483332,0.07071946136858606,0.3548451006438718,0.2122766845839671,0.2012768279313199,0.20405063912574373,0.6057418258624145,0.32418935279256367,0.4329460443844353,0.4544368452537887,1.022046444898666,0.5076806752382866,0.7520427657580953,0.7395658713173463,1.4076590097417343,0.6652444047799415
2026,DOWN,95,-0.08919460142231829,-0.11628799771437066,0.276693268301457,0.35427088666880363,0.059346757888837004,-0.00798691683322839,0.42894726557238605,0.4734369527435045,0.021395951708902374,-0.05693303920418387,0.7863872126595395,0.701151651211182,0.11223941171618622,-0.21562743542417204,0.9601056875636071,0.9203748578842909
2026,UP,87,0.04843880952754042,0.05966429626832873,0.29292163792732995,0.22101842023755264,0.06992037705151015,-0.02476614889102015,0.4461168525851414,0.405259504280661,0.23902227617788208,0.11966860095119364,0.6469310298443889,0.6199526303040455,0.21649582208004917,0.2482962346772025,0.9835173327320588,0.692969601994467
ALL,DOWN,547,-0.033936296018675496,-0.060564632671747595,0.27789577928780795,0.32660581520312154,0.004346989773081379,-0.02666707269320876,0.4865123764094672,0.5061219840547099,-0.03394577701773418,-0.11161151428173126,0.7780532193126894,0.7316217152039646,-0.05261035304949852,-0.34588328887306863,0.916113823734166,0.9263672669409054
ALL,UP,703,0.09588339848569377,0.05460396877344443,0.3404553014870129,0.2401782344871958,0.15674385259734036,0.13786916005858976,0.5900998792941557,0.39049467655803405,0.30786851062995185,0.23982254517093898,0.9181015837528084,0.638919788000297,0.37893000425635565,0.2893842664927136,1.1960510570498812,0.769495642894998
