period,direction,n,median_MFE_S,median_giveback_S,median_final_S,mean_final_S,positive_exit_share
2022,DOWN,60,3.202560925813308,2.7891096147053327,0.5557505316917497,0.8070386915197464,0.65
2022,UP,73,2.1381543375245906,2.051771747468115,-0.12110333853902659,0.5281003490973245,0.4383561643835616
2023,DOWN,88,2.1968197226808615,2.24766684853692,0.021783635435696027,0.47009914122185187,0.5
2023,UP,117,2.9739554129935075,2.167077717503997,1.015932445911448,2.1554539778138015,0.6752136752136753
2024,DOWN,72,1.9194580516453539,2.2030679059060274,-0.39438911518432795,0.16975536249505657,0.4305555555555556
2024,UP,109,4.221362509872638,2.6804995380227448,1.2701311625805238,2.930957133668551,0.6330275229357798
2025,DOWN,54,2.664835337491863,2.4592598320613646,-0.019405125326869426,0.24831230836789903,0.5
2025,UP,127,3.7223668137981742,2.486025436506211,1.2039026448015793,2.101362263088657,0.7086614173228346
2026,DOWN,61,2.4544841407125455,1.9011722719714674,0.29645274984282827,0.7178030604669544,0.5901639344262295
2026,UP,51,3.4053987304706546,2.3657933534024607,0.9060219029079289,2.1347655402782975,0.7254901960784313
ALL,DOWN,335,2.4778914060112593,2.2769343453023034,0.06744663883782454,0.47524860704090327,0.5283582089552239
ALL,UP,477,3.369191516333661,2.3657933534024607,1.0005827552005344,2.0670017157749356,0.6436058700209644
