spread_multiple,entries,resolved_or_wc,pnl,PF,WR,maxDD,avg_win,avg_loss
0,1250,1101,10968.570000000005,1.8871039357125705,0.4396003633060854,1085.5799999999945,48.208760330578514,-20.072191558441553
1,1250,1101,10777.570000000005,1.8643422540520171,0.4359673024523161,1097.5999999999985,48.43056249999999,-20.079066022544275
2,1250,1101,10586.570000000007,1.841933942044408,0.43505903723887374,1109.6200000000044,48.3521503131524,-20.215610932475872
3,1250,1101,10395.570000000005,1.8198774076416755,0.4332425068119891,1121.6399999999903,48.37524109014676,-20.319583333333327
