cap_atr180,period,entries,retention,pnl,PF,maxDD,wc_pnl,wc_PF,wc_maxDD
1.5,2022,97,0.3688212927756654,-230.71999999999957,0.5731991564615793,263.1099999999992,-365.9499999999996,0.4585016498720062,392.86999999999944
1.5,2023,139,0.4064327485380117,521.23,1.8206924784682967,227.45000000000073,401.63000000000034,1.5321646725232214,277.80000000000064
1.5,2024,102,0.35051546391752575,829.0699999999997,2.4065145474594964,151.45999999999913,657.7999999999984,1.8647071195709295,165.51000000000022
1.5,2025,106,0.39849624060150374,1699.1400000000026,2.674326481543529,282.8900000000017,1479.7100000000023,2.198873810006079,397.51000000000204
1.5,2026,84,0.4158415841584158,1549.46,1.9198720041794548,425.4900000000007,980.4500000000016,1.4350903507526278,735.1099999999988
1.5,ALL,528,0.3870967741935484,4368.180000000003,1.9784494634205352,425.4900000000007,3153.640000000003,1.5553229217475832,735.1099999999988
2.0,2022,152,0.5779467680608364,-165.12999999999965,0.8107717870853153,389.74999999999864,-446.2399999999998,0.6132297878241578,539.4599999999989
2.0,2023,194,0.5672514619883041,895.6099999999992,2.0748265847394554,262.84000000000106,668.0999999999995,1.6298255041149345,314.2800000000018
2.0,2024,160,0.5498281786941581,1483.1699999999983,2.547257401573158,184.58000000000038,1032.6599999999962,1.7328559566812585,336.3400000000006
2.0,2025,175,0.6578947368421053,2702.740000000006,2.541727037294793,619.260000000003,2342.1200000000053,2.1080769085197413,772.2300000000037
2.0,2026,126,0.6237623762376238,1315.5900000000029,1.454369314296373,783.0799999999981,231.71000000000504,1.0582288342170747,1470.1399999999953
2.0,ALL,807,0.591642228739003,6231.980000000007,1.8521818084854729,783.0799999999981,3828.3500000000063,1.3940009879999182,1470.1399999999971
2.5,2022,185,0.7034220532319392,-136.2099999999998,0.876613553395596,417.7499999999984,-597.1999999999994,0.6183830483347396,692.9399999999985
2.5,2023,244,0.7134502923976608,897.5400000000004,1.8429188580015028,338.8600000000017,471.05000000000086,1.3158674704450515,516.7600000000018
2.5,2024,202,0.6941580756013745,1954.299999999997,2.548917350917791,212.9099999999994,1435.2299999999952,1.805951291280832,348.22000000000025
2.5,2025,212,0.7969924812030075,3005.700000000006,2.304030925017249,683.4600000000032,2580.4200000000055,1.9451360884327602,836.4300000000039
2.5,2026,153,0.7574257425742574,1788.1800000000017,1.5233278898663727,989.4799999999977,144.33000000000447,1.0285192628028441,1712.8599999999951
2.5,ALL,996,0.7302052785923754,7509.510000000005,1.820503435194575,989.4799999999977,4033.8300000000067,1.3194353816914801,1712.8599999999979
3.0,2022,207,0.7870722433460076,-62.16999999999962,0.9510086682427111,452.179999999998,-552.1899999999991,0.6860808859478578,709.6699999999987
3.0,2023,284,0.8304093567251462,1017.8000000000009,1.768934385978167,365.660000000001,498.53000000000156,1.270510928309423,659.8700000000024
3.0,2024,234,0.8041237113402062,2362.979999999997,2.535030564451689,248.95000000000027,1817.9299999999953,1.8721514857850112,362.6399999999999
3.0,2025,238,0.8947368421052632,3048.530000000005,2.0968263048632645,715.1400000000044,2485.0400000000045,1.7433785036943985,868.1100000000051
3.0,2026,161,0.7970297029702971,1916.3200000000024,1.5145657398332517,969.6599999999971,272.47000000000526,1.0507581967213127,1831.5899999999942
3.0,ALL,1124,0.8240469208211144,8283.460000000006,1.7788442191211018,969.659999999998,4521.780000000008,1.31407226097188,1831.5899999999965
3.5,2022,217,0.8250950570342205,-126.28999999999974,0.9116513344293262,518.1599999999978,-616.3099999999993,0.6789165759298144,773.7899999999988
3.5,2023,307,0.8976608187134503,1361.9900000000014,1.9444818140841174,390.1000000000013,756.090000000002,1.3691935838277314,638.8100000000022
3.5,2024,259,0.8900343642611683,2581.3199999999965,2.445421253625701,257.0400000000018,1846.829999999995,1.7327672743864908,481.33999999999924
3.5,2025,246,0.924812030075188,3376.240000000005,2.161029859317671,770.6600000000044,2812.750000000004,1.810249866050597,923.6300000000051
3.5,2026,173,0.8564356435643564,3026.0000000000023,1.7143059476710714,1111.4099999999962,1382.150000000005,1.235054327030186,2001.4599999999937
3.5,ALL,1202,0.8812316715542522,10219.260000000006,1.8659208362248887,1111.4099999999926,6181.510000000007,1.3902626116206722,2001.4599999999955
4.0,2022,225,0.8555133079847909,-85.09999999999968,0.9418676139080541,518.1599999999978,-612.3799999999992,0.69245372090921,766.0799999999988
4.0,2023,317,0.9269005847953217,1367.2200000000014,1.916170794467675,390.1000000000013,726.2200000000021,1.3404177526109549,656.0500000000022
4.0,2024,272,0.9347079037800687,2554.569999999996,2.3418409690195263,270.50000000000045,1753.9299999999942,1.6485420164027749,490.2599999999993
4.0,2025,254,0.9548872180451128,3620.2200000000053,2.213226718856824,770.6600000000044,3056.7300000000046,1.8616696500303052,923.6300000000051
4.0,2026,182,0.900990099009901,3511.6600000000026,1.7768282782252462,1085.5799999999963,1867.8100000000054,1.3030014470277544,1713.8599999999938
4.0,ALL,1250,0.9164222873900293,10968.570000000005,1.8871039357125705,1085.5799999999945,6792.310000000007,1.410641489220851,1713.8599999999951
4.5,2022,229,0.870722433460076,-114.03999999999974,0.9247434586069226,518.1599999999978,-641.3199999999993,0.6860322231632752,795.0199999999988
4.5,2023,326,0.9532163742690059,1225.6700000000014,1.7501637217159265,477.1600000000019,546.8900000000021,1.2364776338832086,791.2200000000023
4.5,2024,278,0.9553264604810997,2534.6199999999963,2.2950896734964963,270.50000000000045,1733.9799999999943,1.6287684843386219,477.5400000000009
4.5,2025,259,0.9736842105263158,3685.5500000000056,2.2065296742364993,770.6600000000044,3122.060000000005,1.8628861078559285,923.6300000000051
4.5,2026,185,0.9158415841584159,3454.3300000000027,1.717826113157989,1085.5799999999963,1810.4800000000055,1.2804310988435683,1713.8599999999938
4.5,ALL,1277,0.9362170087976539,10786.130000000008,1.8314163043813407,1085.5799999999945,6572.090000000007,1.382381929850285,1713.8599999999951
5.0,2022,231,0.8783269961977186,-122.08999999999969,0.9198568990416176,518.1599999999978,-698.3999999999992,0.6673826385548484,852.0999999999988
5.0,2023,330,0.9649122807017544,1209.9000000000017,1.723304279206572,492.1900000000019,531.1200000000024,1.2258624209022262,794.090000000002
5.0,2024,280,0.9621993127147767,2482.3299999999954,2.2353649615057267,273.27000000000226,1681.689999999994,1.5984598029202504,477.5400000000009
5.0,2025,259,0.9736842105263158,3685.5500000000056,2.2065296742364993,770.6600000000044,3122.060000000005,1.8628861078559285,923.6300000000051
5.0,2026,190,0.9405940594059405,3214.210000000002,1.6207962824187463,1288.1799999999957,1570.3600000000047,1.230210469682955,2009.0999999999935
5.0,ALL,1290,0.9457478005865103,10469.900000000005,1.7791402733788972,1288.1799999999948,6206.830000000007,1.3506519185823493,2009.099999999995
6.0,2022,234,0.8897338403041825,-42.23999999999978,0.9727107102709549,518.1599999999978,-618.5499999999993,0.7088039092916294,809.3299999999974
6.0,2023,335,0.97953216374269,1205.4200000000017,1.6914269981300702,548.550000000002,481.3300000000024,1.1950702541469616,864.7300000000021
6.0,2024,287,0.9862542955326461,2573.729999999995,2.241776109465311,273.27000000000226,1773.0899999999936,1.6171004364380497,494.2699999999995
6.0,2025,261,0.981203007518797,3582.6100000000065,2.123420361114076,770.6600000000044,3019.120000000006,1.804560147741114,923.6300000000051
6.0,2026,194,0.9603960396039604,2839.540000000002,1.4881526446171602,1927.5299999999952,1195.6900000000046,1.1602638337113118,2648.449999999993
6.0,ALL,1311,0.9611436950146628,10159.060000000005,1.706973449159661,1927.5299999999934,5850.680000000007,1.313236253872837,2648.4499999999944
7.0,2022,234,0.8897338403041825,-42.23999999999978,0.9727107102709549,518.1599999999978,-618.5499999999993,0.7088039092916294,809.3299999999974
7.0,2023,340,0.9941520467836257,1215.620000000002,1.6880115006282341,548.550000000002,491.5300000000027,1.1973263212830456,859.540000000002
7.0,2024,291,1.0,2488.2599999999948,2.1529917658670366,285.170000000001,1687.6199999999933,1.5703866185829698,579.7399999999998
