block,entry_ts,direction,entry,sl,sl_dist,atr180,sl_atr180,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R,route_id,candidate_order,next_ts,next_ref,accepted_rank,role,hybrid_status,hybrid_exit_ts,hybrid_exit_price,hybrid_pnl,entry_spread_price,exit_spread_price,spread_cost,net_0x,net_1x,net_2x,net_3x
FULL_2022_202608,2022-02-14 16:33:00,UP,1865.28,1850.76,14.519999999999982,7.288200847355943,1.9922612321074595,NO_SAME_TARGET,,44.39999999999986,MULTI_CHILD_ERA4,AMBIGUOUS,2022-02-15 13:46:00,,,14,2.0,2022-02-15 13:46:00,1850.76,1,ANCHOR_CHILD,AMBIGUOUS,2022-02-15 13:46:00,,,0.24,0.24,0.24,,,,
FULL_2022_202608,2022-02-21 01:00:00,UP,1899.91,1890.37,9.540000000000193,7.588579386528411,1.257152296111711,SAME_NEAREST,2.439999999999827,13.370000000000118,MULTI_CHILD_ERA4,SL,2022-02-21 06:38:00,1890.37,-1.0,15,2.0,2022-02-21 01:01:00,1902.35,2,CONTINUATION_CHILD,NEXT_H4_LIQ,2022-02-21 01:01:00,1902.35,2.439999999999827,0.28,0.28,0.28,2.439999999999827,2.159999999999827,1.8799999999998271,1.5999999999998271
FULL_2022_202608,2022-02-21 01:01:00,UP,1902.35,1890.37,11.980000000000018,7.588579386528411,1.578688103502937,NO_SAME_TARGET,,15.809999999999944,MULTI_CHILD_ERA4,SL,2022-02-21 06:38:00,1890.37,-1.0,15,3.0,2022-02-22 01:00:00,1908.19,3,CONTINUATION_CHILD,SL,2022-02-21 06:38:00,1890.37,-11.980000000000018,0.28,0.28,0.28,-11.980000000000018,-12.260000000000018,-12.540000000000019,-12.820000000000018
FULL_2022_202608,2022-02-22 01:00:00,UP,1908.19,1892.4,15.789999999999964,7.657009927256034,2.062162665323652,NO_SAME_TARGET,,20.65000000000009,MULTI_CHILD_ERA4,SL,2022-02-22 13:52:00,1892.4,-1.0,15,4.0,2022-02-23 11:30:00,1891.35,4,CONTINUATION_CHILD,SL,2022-02-22 13:52:00,1892.4,-15.789999999999964,0.16,0.24,0.16,-15.789999999999964,-15.949999999999964,-16.109999999999964,-16.269999999999964
FULL_2022_202608,2022-02-17 10:26:00,UP,1879.45,1867.71,11.740000000000007,7.418555687875416,1.582518281717206,NO_SAME_TARGET,,35.069999999999936,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-02-23 11:30:00,1891.35,1.0136286201022022,15,1.0,2022-02-21 01:00:00,1899.91,1,ANCHOR_CHILD,CHALLENGE_OPENS,2022-02-23 11:30:00,1891.35,11.899999999999864,0.24,0.24,0.24,11.899999999999864,11.659999999999863,11.419999999999863,11.179999999999863
FULL_2022_202608,2022-02-24 04:01:00,UP,1914.03,1904.49,9.539999999999964,7.760617619500096,1.2292836044426174,NO_SAME_TARGET,,24.430000000000064,MULTI_CHILD_ERA4,SL,2022-02-24 21:14:00,1904.49,-1.0,16,1.0,2022-02-24 21:27:00,1886.54,1,ANCHOR_CHILD,SL,2022-02-24 21:14:00,1904.49,-9.539999999999964,0.28,0.24,0.28,-9.539999999999964,-9.819999999999963,-10.099999999999964,-10.379999999999963
FULL_2022_202608,2022-03-08 08:33:00,UP,2002.52,1980.97,21.549999999999955,10.198560909134132,2.1130432216862225,NO_SAME_TARGET,,41.559999999999945,MULTI_CHILD_ERA4,SL,2022-03-09 16:08:00,1980.97,-1.0,17,7.0,2022-03-11 13:43:00,1970.53,7,CONTINUATION_CHILD,SL,2022-03-09 16:08:00,1980.97,-21.549999999999955,0.18,0.18,0.18,-21.549999999999955,-21.729999999999954,-21.909999999999954,-22.089999999999954
FULL_2022_202608,2022-03-01 11:43:00,UP,1918.2,1901.3,16.90000000000009,9.092670465545046,1.858639886273174,SAME_NEAREST,12.470000000000027,27.450000000000045,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,3.0964497041419907,17,1.0,2022-03-01 18:34:00,1930.67,1,ANCHOR_CHILD,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,52.32999999999993,0.24,0.18,0.24,52.32999999999993,52.089999999999925,51.84999999999993,51.60999999999993
FULL_2022_202608,2022-03-01 18:34:00,UP,1930.67,1910.69,19.980000000000015,9.15621062921385,2.18212542383546,OPPOSITE_NEAREST,43.63999999999987,39.92000000000007,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,1.994994994994988,17,2.0,2022-03-04 02:37:00,1947.88,2,CONTINUATION_CHILD,NEXT_H4_LIQ,2022-03-04 02:37:00,1947.88,17.210000000000036,0.24,0.18,0.24,17.210000000000036,16.970000000000038,16.730000000000036,16.490000000000038
FULL_2022_202608,2022-03-04 02:37:00,UP,1947.88,1923.27,24.610000000000127,9.488357594030164,2.5937049437812214,SAME_NEAREST,2.2399999999997817,34.440000000000055,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,0.9203575782202252,17,3.0,2022-03-04 02:44:00,1950.12,3,CONTINUATION_CHILD,NEXT_H4_LIQ,2022-03-04 02:44:00,1950.12,2.2399999999997817,0.18,0.18,0.18,2.2399999999997817,2.0599999999997816,1.8799999999997818,1.6999999999997817
