period,bin,entries,resolved,median_sl,median_ratio,pnl,PF,wc_pnl,wc_PF
2022,"[0.0, 1.0)",36,32,8.374999999999886,0.8510456367512687,-3.119999999999891,0.9812488731293955,-34.00999999999999,0.8276054339010543
2022,"[1.0, 1.5)",61,52,11.769999999999982,1.2143663757190348,-227.59999999999968,0.39175285282877814,-331.9399999999996,0.30633398115060817
2022,"[1.5, 2.0)",55,46,16.939999999999827,1.7193701577074658,65.58999999999992,1.197518595476857,-80.29000000000019,0.8320117167067681
2022,"[2.0, 2.5)",33,25,22.480000000000015,2.2246774755322893,28.919999999999845,1.1250432376340358,-150.95999999999958,0.6328436618348097
2022,"[2.5, 3.0)",22,21,27.749999999999886,2.7822472994427025,74.04000000000019,1.448536984309688,45.01000000000022,1.2318907779495119
2022,"[3.0, 3.5)",10,10,31.284999999999968,3.289137657990843,-64.12000000000012,0.6003739482704886,-64.12000000000012,0.6003739482704886
2022,"[3.5, 4.0)",8,7,34.335000000000036,3.630283774226244,41.190000000000055,2.1956458635704,3.9300000000000637,1.0548040719564924
2022,"[4.0, 5.0)",6,5,41.639999999999986,4.34959585634391,-36.99000000000001,0.3783193277310923,-86.01999999999998,0.20740808992905185
2022,"[5.0, 6.0)",3,3,50.18999999999983,5.299650283664677,79.84999999999991,4.2645134914145455,79.84999999999991,4.2645134914145455
2023,"[0.0, 1.0)",49,46,6.679999999999836,0.7868515840516308,196.61000000000013,1.946970426741163,174.83000000000038,1.7621185701830893
2023,"[1.0, 1.5)",90,82,10.610000000000014,1.2233191899525029,324.6199999999999,1.7593627921120956,226.79999999999995,1.4317450648188685
2023,"[1.5, 2.0)",55,47,14.240000000000007,1.7132919512816194,374.3799999999992,2.889376734796862,266.4699999999991,1.8706462785074776
2023,"[2.0, 2.5)",50,40,19.245000000000005,2.253237865225767,1.9300000000012005,1.0083354927874286,-197.0499999999986,0.5422976865186314
2023,"[2.5, 3.0)",40,36,25.225000000000023,2.6630746139474115,120.26000000000045,1.4645933938574478,27.4800000000007,1.0781503284702691
2023,"[3.0, 3.5)",23,20,28.66000000000008,3.1618827704248393,344.1900000000005,3.9070101351351374,257.5600000000004,2.2562064088182225
2023,"[3.5, 4.0)",10,9,32.360000000000014,3.627554384977331,5.230000000000018,1.1040381937537302,-29.86999999999989,0.6501112803092429
2023,"[4.0, 5.0)",13,12,37.77999999999997,4.384972495913853,-157.3199999999997,0.12803458596608003,-195.09999999999968,0.10586617781851583
2023,"[5.0, 6.0)",5,4,50.02999999999997,5.283240838336115,-4.480000000000018,0.9365798414496035,-49.789999999999964,0.5705907718844334
2023,"[6.0, 8.0)",5,5,58.450000000000045,6.657847368503898,10.200000000000273,1.4344122657581075,10.200000000000273,1.4344122657581075
2023,"[8.0, 10.0)",2,2,60.24000000000012,8.57651402053833,83.8599999999999,inf,83.8599999999999,inf
2024,"[0.0, 1.0)",43,36,9.86999999999989,0.8618182909606522,108.10999999999945,1.4829573375027894,41.91999999999848,1.1445317887187916
2024,"[1.0, 1.5)",59,53,15.600000000000364,1.245298637282754,720.9600000000003,2.971991247264774,615.8799999999999,2.3084898444803263
2024,"[1.5, 2.0)",58,45,22.41500000000019,1.7886394593473098,654.0999999999985,2.7720044428791937,374.85999999999785,1.5781575335070976
2024,"[2.0, 2.5)",42,39,26.180000000000064,2.2394683685349177,471.12999999999874,2.5541663917661737,402.569999999999,2.0830508474576237
2024,"[2.5, 3.0)",32,31,32.960000000000036,2.756235028674801,408.68000000000006,2.4719250855393513,382.70000000000005,2.260415637453482
2024,"[3.0, 3.5)",25,19,40.11000000000013,3.2402254067949237,218.33999999999946,1.8857965840399158,28.899999999999636,1.0662950473699897
2024,"[3.5, 4.0)",13,11,39.57000000000016,3.6459619215317383,-26.750000000000682,0.7731512890094927,-92.90000000000077,0.49530070082033695
2024,"[4.0, 5.0)",8,8,50.7800000000002,4.28403738009073,-72.24000000000024,0.3159738661111638,-72.24000000000024,0.3159738661111638
2024,"[5.0, 6.0)",7,7,70.51999999999998,5.6159480615130475,91.39999999999964,2.4455163688122665,91.39999999999964,2.4455163688122665
2024,"[6.0, 8.0)",4,4,83.17499999999995,6.348489881316095,-85.47000000000025,0.0,-85.47000000000025,0.0
2025,"[0.0, 1.0)",26,25,16.200000000000045,0.933066149984508,-128.42999999999893,0.59950729699389,-147.82999999999902,0.5653081627852287
2025,"[1.0, 1.5)",80,72,25.4549999999997,1.2530364777397274,1827.5700000000015,3.6328550436511375,1627.5400000000013,2.820168424348838
2025,"[1.5, 2.0)",69,65,36.13000000000011,1.7496106937362663,1003.6000000000035,2.3594495015171297,862.410000000003,1.9806465551550483
2025,"[2.0, 2.5)",37,35,38.41000000000031,2.2853971000325526,302.96000000000004,1.5489698660916513,238.30000000000018,1.386518093199033
