year,entries,resolved,sl_med,sl_p90,sl_p95,atr14_med,ratio14_med,ratio14_p90,ratio14_p95,atr60_med,ratio60_med,ratio60_p90,ratio60_p95,atr120_med,ratio120_med,ratio120_p90,ratio120_p95,atr180_med,ratio180_med,ratio180_p90,ratio180_p95,atr240_med,ratio240_med,ratio240_p90,ratio240_p95,atr360_med,ratio360_med,ratio360_p90,ratio360_p95
2022,263,223,16.059999999999945,31.356000000000087,36.97799999999993,9.099184094004945,1.7104014054785845,3.2242058137145757,3.88417854441374,9.360750519197476,1.6066191847716147,3.116204524141838,3.950485251551448,9.571963448717977,1.5719558987749929,3.1141924340239187,3.906407397098931,9.647414936979988,1.6586715010304993,3.2021181807378243,3.7078767606712506,9.670099971905673,1.6912409235949633,3.244501981159295,3.7740650626389596,9.755338358609224,1.5890389253259662,3.1705070833841296,3.7319025248549003
2023,342,303,14.844999999999914,31.736999999999984,37.721999999999966,8.277505250518402,1.8460794747793257,3.598158212942209,4.084752967483623,8.656476439410998,1.7335643138227863,3.551036935629495,4.485401739297435,8.781932064186247,1.7193520074072164,3.5091011859268235,4.437388213581645,8.779544594041198,1.7311903404786655,3.541315773467605,4.410276912808961,8.840208299029214,1.7262555065928262,3.508672648056257,4.363325097946513,9.068204453907729,1.6823006522992325,3.464601623491163,4.42872772609324
2024,291,253,21.58999999999992,42.78999999999997,48.039999999999964,11.584856896723243,1.9837006372441748,3.5875898585939856,4.039068858104347,12.292568768818793,1.85486666895209,3.4793348817507255,4.16351985706821,12.54270274761959,1.839032279824164,3.5034920724267735,4.236122856987689,12.592798713577832,1.8516691765728965,3.5538987018191217,4.28403738009073,12.436997316907542,1.888719551950585,3.655327751434077,4.306677597333695,11.785272304493244,1.961783107510586,3.8983488026021997,4.392251842331344
2025,266,249,34.52999999999997,69.14499999999998,83.69749999999976,19.218782678832028,1.737618090268039,3.067366823877585,3.4403777398834654,19.03072500845976,1.6603475067853422,3.1651240781617678,3.7612326317633227,19.389624815103552,1.6694173765157945,3.082168409694752,3.6837000540186695,19.69304464416375,1.696904470203192,3.0946367829604107,3.8387060160645206,19.89473059672197,1.7223620892877454,3.0976404694991633,3.9205172800236783,19.648138583936323,1.7823282470359432,3.276151565281536,4.132312891439791
2026,202,176,76.0150000000001,194.1590000000002,291.65050000000025,38.45991062228986,1.9060930201111144,3.5958675342847193,4.2724362653315,41.830934403191534,1.7701442640332712,3.9889112128699793,5.014565282594434,43.14650553069016,1.7163930638120832,4.005477513039344,5.142594767952044,45.50808579794119,1.686134189358213,3.848081770523791,5.47953070166642,46.356845892122195,1.6606706790862082,3.964191959295123,5.891138240724372,46.260488382774334,1.7144116343547156,4.409801359974147,6.631768347934752
