direction,route_progress_band,entries,resolved_or_wc,pnl,PF,WR,maxDD,avg_win,avg_loss,median_child_order
DOWN,<=0.5,219,194,568.0499999999988,1.229845757938691,0.3711340206185567,384.1299999999992,42.215138888888895,-20.257704918032797,1.0
DOWN,0.5-1,54,50,-38.47999999999956,0.942639079363187,0.34,296.9699999999996,37.19764705882352,-20.328484848484834,3.0
DOWN,1-2,105,93,-224.92999999999665,0.8195058538425145,0.40860215053763443,422.7300000000005,26.875263157894803,-22.657999999999983,3.0
DOWN,2-3,44,37,200.400000000001,1.5243465292132226,0.4864864864864865,221.97000000000003,32.36611111111111,-20.11526315789468,4.5
DOWN,3-4,55,51,-219.82000000000016,0.7199031600407746,0.29411764705882354,563.5900000000001,37.665333333333336,-21.800000000000004,5.0
DOWN,4-6,49,47,-477.0899999999988,0.45791387342347634,0.2553191489361702,609.8399999999997,33.58416666666682,-25.145714285714302,8.0
DOWN,>6,21,17,-595.48,0.10876300231983846,0.29411764705882354,598.7599999999998,14.534000000000015,-55.679166666666674,8.0
UP,<=0.5,275,230,5354.250000000002,3.705628799401704,0.5217391304347826,404.60999999999876,61.10983333333332,-17.99027272727269,1.0
UP,0.5-1,66,57,815.1700000000001,2.7803913860131906,0.47368421052631576,103.61999999999989,47.149259259259274,-15.262000000000011,2.5
UP,1-2,122,112,2516.819999999998,3.9973204396860713,0.5892857142857143,275.7399999999993,50.85621212121208,-18.25413043478261,3.0
UP,2-3,83,71,616.6299999999981,1.9134447308387357,0.36619718309859156,210.48000000000138,49.68038461538459,-15.342272727272757,5.0
UP,3-4,50,44,578.8300000000013,2.1452908587257635,0.38636363636363635,193.57999999999993,63.77823529411774,-18.71851851851853,5.5
UP,4-6,47,45,733.250000000003,3.3383933411997555,0.5333333333333333,176.48999999999887,43.61750000000004,-14.931904761904672,6.0
UP,>6,60,53,1140.9699999999987,3.327322794492603,0.5094339622641509,263.36999999999944,60.41555555555551,-18.85576923076923,9.0
