period,direction,0x_entries,0x_n,0x_pnl,0x_PF,0x_WR,0x_DD,1x_entries,1x_n,1x_pnl,1x_PF,1x_WR,1x_DD,3x_entries,3x_n,3x_pnl,3x_PF,3x_WR,3x_DD,amb_wc_entries,amb_wc_n,amb_wc_pnl,amb_wc_PF,amb_wc_WR,amb_wc_DD
2022,DOWN,113,104,84.95000000000095,1.1535361202985794,0.5865384615384616,145.55999999999904,113,104,68.81000000000098,1.1228333244077917,0.5865384615384616,154.55999999999904,113,104,36.53000000000103,1.063608978042454,0.5576923076923077,172.55999999999904,113,113,-67.11999999999944,0.9048429170919822,0.5398230088495575,246.31999999999948
2022,UP,112,93,149.70999999999844,1.3089798361298544,0.5806451612903226,93.10999999999945,112,93,134.3799999999984,1.2738201972450858,0.5806451612903226,96.3799999999995,112,93,103.71999999999849,1.20611263463296,0.5806451612903226,103.92999999999972,112,112,-135.03000000000088,0.8244699520324451,0.48214285714285715,285.0700000000006
2022,ALL,225,197,234.6599999999994,1.2261085737411106,0.583756345177665,168.22999999999865,225,197,203.18999999999937,1.1933393596270037,0.583756345177665,181.3999999999989,225,197,140.2499999999995,1.1301612050004173,0.5685279187817259,207.7399999999987,225,225,-202.15000000000032,0.8629147650597097,0.5111111111111111,390.7299999999989
2023,DOWN,145,131,178.14999999999964,1.4010942002881837,0.6946564885496184,96.55000000000064,145,131,161.04999999999967,1.3583826605545413,0.6793893129770993,99.84000000000063,145,131,126.84999999999965,1.2756530053457336,0.6793893129770993,110.94000000000105,145,145,-67.25999999999976,0.9024609539278103,0.6275862068965518,252.4900000000007
2023,UP,172,164,689.5600000000018,2.4887195319415425,0.7073170731707317,99.31999999999994,172,164,667.5200000000018,2.4213742733641435,0.6951219512195121,100.75999999999999,172,164,623.4400000000019,2.289964825160362,0.676829268292683,103.6400000000001,172,172,569.3400000000015,1.9758831696405652,0.6744186046511628,131.88999999999987
2023,ALL,317,295,867.7100000000014,1.9563123381275167,0.7016949152542373,161.8000000000004,317,295,828.5700000000015,1.9015897541920137,0.688135593220339,165.93000000000055,317,295,750.2900000000016,1.7952367829736737,0.6779661016949152,174.19000000000077,317,317,502.08000000000175,1.3944131093968501,0.6529968454258676,233.23000000000047
2024,DOWN,106,97,29.71999999999889,1.0393512082092007,0.5463917525773195,303.7099999999996,106,97,12.869999999998875,1.016868291020616,0.5360824742268041,310.24999999999943,106,97,-20.830000000001107,0.9732499454211543,0.5360824742268041,324.5000000000007,106,106,-171.8200000000013,0.820420363925207,0.5,448.2100000000012
2024,UP,166,144,1258.1699999999994,3.0081880865734503,0.6736111111111112,105.80000000000018,166,144,1232.2899999999995,2.940003148614607,0.6666666666666666,106.94000000000017,166,144,1180.5299999999995,2.8083545234520977,0.6666666666666666,109.22000000000014,166,166,787.4799999999982,1.7177112858978654,0.5843373493975904,179.4500000000005
2024,ALL,272,241,1287.8899999999983,1.9320581572910087,0.6224066390041494,152.7700000000009,272,241,1245.1599999999983,1.890564094494945,0.6141078838174274,154.10000000000088,272,241,1159.6999999999985,1.8101235758045682,0.6141078838174274,156.76000000000084,272,272,615.6599999999969,1.2997370983446916,0.5514705882352942,298.3500000000008
2025,DOWN,88,83,-131.07000000000153,0.8746161572678993,0.5903614457831325,398.1200000000017,88,83,-145.56000000000148,0.8615784018182324,0.5903614457831325,405.29000000000167,88,83,-174.54000000000147,0.8359601883440931,0.5903614457831325,419.63000000000164,88,88,-269.93000000000166,0.7720590098040031,0.5568181818181818,502.5000000000023
2025,UP,166,158,2842.2800000000034,4.040326893866474,0.7341772151898734,141.74999999999955,166,158,2815.680000000003,3.989457143767199,0.7341772151898734,142.5799999999996,166,158,2762.4800000000037,3.889955957275429,0.7341772151898734,144.23999999999955,166,166,2526.060000000003,3.0191034945806887,0.6987951807228916,145.88999999999942
2025,ALL,254,241,2711.210000000002,2.369152766625764,0.6846473029045643,319.3000000000002,254,241,2670.1200000000017,2.3394534071755375,0.6846473029045643,320.9500000000007,254,241,2587.9400000000023,2.2812218426654804,0.6846473029045643,324.2500000000002,254,254,2256.1300000000015,1.9264317596672276,0.6496062992125984,358.4700000000007
2026,DOWN,95,88,1399.3400000000015,1.81201183775315,0.6590909090909091,491.2600000000011,95,88,1378.5300000000013,1.7967230169050734,0.6590909090909091,496.3200000000011,95,88,1336.9100000000012,1.7663395508271542,0.6477272727272727,506.4400000000012,95,94,1005.4200000000019,1.4748774336157808,0.6170212765957447,627.8900000000008
2026,UP,87,77,2029.9299999999994,2.552729609203492,0.6753246753246753,647.6099999999988,87,77,2011.0299999999995,2.531804852039457,0.6753246753246753,651.909999999999,87,77,1973.229999999999,2.4904788162158504,0.6753246753246753,660.5099999999977,87,87,1265.6899999999996,1.6109810433632463,0.5977011494252874,984.289999999999
2026,ALL,182,165,3429.270000000001,2.1315370071569295,0.6666666666666666,440.34999999999854,182,165,3389.5600000000013,2.113851007196612,0.6666666666666666,447.0299999999979,182,165,3310.1400000000003,2.0787731836802545,0.6606060606060606,460.3899999999976,182,181,2271.1100000000015,1.5421876007152435,0.6077348066298343,758.0599999999968
ALL,DOWN,547,503,1561.0899999999995,1.3452707708980725,0.6202783300198808,491.2600000000011,547,503,1475.6999999999994,1.3240191816193714,0.614314115308151,496.3200000000011,547,503,1304.9199999999996,1.282345711868551,0.6063618290258449,506.4400000000012,547,546,429.28999999999974,1.075938193750387,0.5714285714285714,782.9100000000019
ALL,UP,703,636,6969.650000000002,2.8262224120447663,0.6839622641509434,647.6099999999988,703,636,6860.900000000002,2.7819084697076364,0.6792452830188679,651.9099999999971,703,636,6643.400000000002,2.6951254363224426,0.6745283018867925,660.510000000003,703,703,5013.540000000001,1.8685154195553437,0.6187766714082503,984.289999999999
ALL,ALL,1250,1139,8530.740000000002,2.0231428509747205,0.655838454784899,440.34999999999854,1250,1139,8336.600000000002,1.991900931267975,0.6505706760316067,447.029999999997,1250,1139,7948.320000000003,1.9306261803595202,0.6444249341527656,460.39000000000215,1250,1249,5442.830000000002,1.4763677292137283,0.5980784627702161,758.0599999999968
