block,entry_ts,direction,entry,sl,sl_dist,atr180,sl_atr180,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R,year,price_pnl,entry_spread_price,exit_spread_price,spread_cost,net_spread_0x,net_spread_1x,net_spread_2x,net_spread_3x,route_id,child_order,next_resolution,next_ts,continued_next,route_start_ts,route_start_ref,route_side,route_progress_price,route_progress_atr180,order_band,MFE,MAE,hold_h,MFE_ATR180,MAE_ATR180,fav_1h_S,adv_1h_S,ret_1h_S,fav_4h_S,adv_4h_S,ret_4h_S,fav_12h_S,adv_12h_S,ret_12h_S,fav_24h_S,adv_24h_S,ret_24h_S,route_progress_band
FULL_2022_202608,2022-02-14 16:33:00,UP,1865.28,1850.76,14.519999999999982,7.288200847355943,1.9922612321074595,NO_SAME_TARGET,,44.39999999999986,MULTI_CHILD_ERA4,AMBIGUOUS,2022-02-15 13:46:00,,,2022,,0.24,0.24,0.24,,,,,14,2.0,CHALLENGE_OPENS,2022-02-15 13:46:00,False,2022-02-11 20:46:00,1853.78,UP,11.5,1.5778928491209236,2,14.170000000000073,14.680000000000064,21.216666666666665,1.9442384062646612,2.014214523921327,0.5090419539337987,0.7217144683805256,0.3238110542543983,0.7738535364384493,0.7217144683805256,0.3210668927776376,1.2046868882853623,0.7217144683805256,0.8726433496008066,1.9442384062646612,2.014214523921327,-1.8495648353173983,1-2
FULL_2022_202608,2022-02-21 01:00:00,UP,1899.91,1890.37,9.540000000000193,7.588579386528411,1.257152296111711,SAME_NEAREST,2.439999999999827,13.370000000000118,MULTI_CHILD_ERA4,SL,2022-02-21 06:38:00,1890.37,-1.0,2022,-9.540000000000191,0.28,0.28,0.28,-9.540000000000191,-9.82000000000019,-10.100000000000191,-10.38000000000019,15,2.0,PRIMARY_CONTINUES,2022-02-21 01:01:00,True,2022-02-17 10:26:00,1879.45,UP,20.460000000000036,2.696156811157771,2,8.279999999999973,10.700000000000045,5.633333333333334,1.091113313606365,1.4100135815927772,0.8525969974677821,0.4401350806093515,0.7010534816891077,1.091113313606365,1.1003377015233489,-0.3360312741179274,1.091113313606365,1.4100135815927772,-1.3717982602225107,1.091113313606365,1.4100135815927772,-1.3717982602225107,2-3
FULL_2022_202608,2022-02-21 01:01:00,UP,1902.35,1890.37,11.980000000000018,7.588579386528411,1.578688103502937,NO_SAME_TARGET,,15.809999999999944,MULTI_CHILD_ERA4,SL,2022-02-21 06:38:00,1890.37,-1.0,2022,-11.980000000000018,0.28,0.28,0.28,-11.980000000000018,-12.260000000000018,-12.540000000000019,-12.820000000000018,15,3.0,PRIMARY_CONTINUES,2022-02-22 01:00:00,True,2022-02-17 10:26:00,1879.45,UP,22.899999999999864,3.017692618548997,3,5.8400000000001455,13.139999999999873,5.616666666666666,0.7695775062151392,1.7315493889840032,0.5310611900765561,0.4414528503117435,0.34393789233245914,0.7695775062151392,1.4218735089145749,-0.6074918328170593,0.7695775062151392,1.7315493889840032,-1.6933340676137367,0.7695775062151392,1.7315493889840032,-1.6933340676137367,3-4
FULL_2022_202608,2022-02-22 01:00:00,UP,1908.19,1892.4,15.789999999999964,7.657009927256034,2.062162665323652,NO_SAME_TARGET,,20.65000000000009,MULTI_CHILD_ERA4,SL,2022-02-22 13:52:00,1892.4,-1.0,2022,-15.789999999999964,0.16,0.24,0.16,-15.789999999999964,-15.949999999999964,-16.109999999999964,-16.269999999999964,15,4.0,CHALLENGE_OPENS,2022-02-23 11:30:00,False,2022-02-17 10:26:00,1879.45,UP,28.74000000000001,3.7534233693098105,4+,5.839999999999918,16.590000000000146,12.866666666666667,0.7626998078207716,2.16664209105255,0.7626998078207716,0.1671670811661953,0.20373488017129776,0.7626998078207716,0.3852678823752299,0.2089588514577367,0.7626998078207716,1.8623457636171832,-1.5972292208301682,0.7626998078207716,2.16664209105255,-2.160112126944471,3-4
FULL_2022_202608,2022-02-17 10:26:00,UP,1879.45,1867.71,11.740000000000007,7.418555687875416,1.582518281717206,NO_SAME_TARGET,,35.069999999999936,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-02-23 11:30:00,1891.35,1.0136286201022022,2022,11.899999999999864,0.24,0.24,0.24,11.899999999999864,11.659999999999863,11.419999999999863,11.179999999999863,15,1.0,PRIMARY_CONTINUES,2022-02-21 01:00:00,True,2022-02-17 10:26:00,1879.45,UP,0.0,0.0,1,34.57999999999993,3.0399999999999636,145.06666666666666,4.661284683286271,0.40978326886032757,1.5326433443887946,0.40978326886032757,1.3816705611244762,1.8575044226629507,0.40978326886032757,0.9044887283068571,2.9116179629549817,0.40978326886032757,2.5247502058401428,3.0868542292439334,0.40978326886032757,1.9181631302245192,<=0.5
FULL_2022_202608,2022-02-24 04:01:00,UP,1914.03,1904.49,9.539999999999964,7.760617619500096,1.2292836044426174,NO_SAME_TARGET,,24.430000000000064,MULTI_CHILD_ERA4,SL,2022-02-24 21:14:00,1904.49,-1.0,2022,-9.539999999999964,0.28,0.24,0.28,-9.539999999999964,-9.819999999999963,-10.099999999999964,-10.379999999999963,16,1.0,CHALLENGE_OPENS,2022-02-24 21:27:00,False,2022-02-24 04:01:00,1914.03,UP,0.0,0.0,1,60.27999999999997,11.740000000000009,17.216666666666665,7.767423026813546,1.5127661966620958,1.1455273840141544,0.19457214284154592,1.1133134530801234,4.493199086678656,0.19457214284154592,3.3811741908358925,7.767423026813546,0.19457214284154592,5.879686674079348,7.767423026813546,1.5127661966620958,-1.2434577340535782,<=0.5
FULL_2022_202608,2022-03-08 08:33:00,UP,2002.52,1980.97,21.549999999999955,10.198560909134132,2.1130432216862225,NO_SAME_TARGET,,41.559999999999945,MULTI_CHILD_ERA4,SL,2022-03-09 16:08:00,1980.97,-1.0,2022,-21.549999999999955,0.18,0.18,0.18,-21.549999999999955,-21.729999999999954,-21.909999999999954,-22.089999999999954,17,7.0,CHALLENGE_OPENS,2022-03-11 13:43:00,False,2022-03-01 11:43:00,1918.2,UP,84.31999999999994,8.267833153252088,4+,67.94000000000005,25.200000000000045,31.583333333333332,6.6617241986711075,2.4709368532015317,1.7845655050899965,0.3353414300773573,1.4374577090450236,1.8002539930468395,0.3353414300773573,0.39025113792627475,6.6617241986711075,0.3353414300773573,4.223144851880541,6.6617241986711075,0.3353414300773573,4.7889109488239265,>6
FULL_2022_202608,2022-03-01 11:43:00,UP,1918.2,1901.3,16.90000000000009,9.092670465545046,1.858639886273174,SAME_NEAREST,12.470000000000027,27.450000000000045,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,3.0964497041419907,2022,52.32999999999993,0.24,0.18,0.24,52.32999999999993,52.089999999999925,51.84999999999993,51.60999999999993,17,1.0,PRIMARY_CONTINUES,2022-03-01 18:34:00,True,2022-03-01 11:43:00,1918.2,UP,0.0,0.0,1,152.26,7.509999999999991,242.0,16.745355567097747,0.8259399731308547,0.48170666875007323,0.36182989502003793,0.4366154052369533,0.8919271880281168,0.8259399731308547,-0.189163349372183,3.510519832534858,0.8259399731308547,2.6009960538674597,3.510519832534858,0.8259399731308547,1.949922200214392,<=0.5
FULL_2022_202608,2022-03-01 18:34:00,UP,1930.67,1910.69,19.980000000000015,9.15621062921385,2.18212542383546,OPPOSITE_NEAREST,43.63999999999987,39.92000000000007,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,1.994994994994988,2022,39.8599999999999,0.24,0.18,0.24,39.8599999999999,39.6199999999999,39.3799999999999,39.1399999999999,17,2.0,PRIMARY_CONTINUES,2022-03-04 02:37:00,True,2022-03-01 11:43:00,1918.2,UP,12.470000000000027,1.3619171188802914,2,139.78999999999996,17.230000000000018,235.15,15.26723288278071,1.8817828354697188,0.4750873670512535,0.28396026536398844,0.36805619010636914,1.3160466144753338,0.28396026536398844,1.2341349994664954,2.124241215895859,0.28396026536398844,0.6432792165360646,2.124241215895859,1.8817828354697188,-1.394681764883822,1-2
FULL_2022_202608,2022-03-04 02:37:00,UP,1947.88,1923.27,24.610000000000127,9.488357594030164,2.5937049437812214,SAME_NEAREST,2.2399999999997817,34.440000000000055,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2022-03-11 13:43:00,1970.53,0.9203575782202252,2022,22.649999999999864,0.18,0.18,0.18,22.649999999999864,22.469999999999864,22.289999999999864,22.109999999999864,17,3.0,PRIMARY_CONTINUES,2022-03-04 02:44:00,True,2022-03-01 11:43:00,1918.2,UP,29.680000000000064,3.1280439955882327,3,122.57999999999993,18.26000000000022,179.1,12.918990329488022,1.9244637250485743,0.31512303055283397,1.0381143314199612,-0.916913165822699,0.31512303055283397,1.9244637250485743,-0.8968886254196928,0.31512303055283397,1.9244637250485743,-0.033725541731426695,2.395567386109155,1.9244637250485743,2.390297770213627,3-4
