month,entries,resolved_or_wc,pnl,PF,WR,maxDD,avg_win,avg_loss,spread1_pnl,spread1_PF
2022-02,6,5,-34.95000000000027,0.2540021344717146,0.2,46.850000000000136,11.899999999999864,-11.712500000000034,-36.190000000000275,0.24367816091953667
2022-03,20,20,-20.939999999999372,0.9058960992270383,0.4,197.18999999999937,25.19749999999999,-18.543333333333276,-25.069999999999375,0.8886223288462416
2022-04,25,23,-60.099999999999454,0.6588909699755973,0.30434782608695654,73.38999999999987,16.584285714285766,-11.01187499999999,-64.23999999999944,0.6412576087563548
2022-05,23,19,-76.33999999999901,0.349301056938294,0.3157894736842105,76.33999999999901,6.830000000000079,-9.024615384615345,-79.75999999999902,0.33344476015377433
2022-06,22,16,-184.52999999999997,0.0,0.0,184.52999999999997,,-11.533124999999998,-187.61999999999998,0.0
2022-07,22,16,314.66000000000054,9.936665719965983,0.6875,33.809999999999945,31.806363636363667,-7.041999999999962,311.6200000000006,9.629742453614018
2022-08,26,25,32.83999999999969,1.2555443156174593,0.44,91.43000000000006,14.66818181818179,-9.179285714285713,29.479999999999688,1.2259003831417599
2022-09,22,19,3.180000000000291,1.0251661918328607,0.47368421052631576,63.600000000000364,14.393333333333405,-12.636000000000035,0.9000000000002837,1.0070555032925703
2022-10,23,20,20.419999999999618,1.1600188073034996,0.4,126.31000000000017,18.503749999999968,-10.634166666666678,18.0199999999996,1.1396249806291612
2022-11,20,16,49.7999999999995,1.397922493008385,0.4375,68.19000000000028,24.992857142857115,-13.90555555555559,47.82999999999951,1.3788514851485096
2022-12,16,14,-129.14000000000124,0.2563201842787187,0.21428571428571427,156.06000000000108,14.836666666666588,-15.786363636363728,-130.82000000000127,0.25232897068068527
2023-01,30,27,-156.69000000000074,0.26103565365025266,0.2962962962962963,177.56000000000063,6.91874999999996,-11.160000000000021,-159.97000000000074,0.2537320395596174
2023-02,28,19,-15.660000000000082,0.8373662893343025,0.3157894736842105,64.82000000000039,13.43833333333339,-7.406923076923109,-17.94000000000008,0.8166581502299435
2023-03,22,21,322.93000000000075,4.578568262411364,0.5238095238095238,55.06999999999971,37.56090909090914,-9.023999999999978,320.4100000000007,4.504046369203865
2023-04,19,17,-210.08000000000038,0.12967105808269164,0.23529411764705882,241.38000000000056,7.8250000000000455,-18.56769230769235,-212.1200000000004,0.12686259981888573
2023-05,35,33,140.6699999999987,1.8686014201914052,0.48484848484848486,134.81000000000085,18.913749999999965,-9.526470588235338,136.68999999999875,1.8334247911712587
2023-06,20,14,-141.86000000000058,0.0,0.0,141.86000000000058,,-10.132857142857185,-143.54000000000062,0.0
2023-07,23,22,-113.42999999999984,0.2949841506619424,0.18181818181818182,113.42999999999984,11.864999999999952,-8.938333333333313,-116.10999999999987,0.2880618063645834
2023-08,36,33,157.7400000000016,2.8273864689527586,0.5454545454545454,61.319999999999936,13.558888888888962,-6.165714285714265,153.44000000000162,2.7365323675871656
2023-09,23,19,163.17000000000075,6.356861457649394,0.7368421052631579,16.90000000000009,13.830714285714341,-6.092000000000008,160.5000000000007,6.149181905678554
2023-10,28,26,879.2800000000007,11.151004386977677,0.5769230769230769,66.35999999999967,64.39333333333335,-7.8745454545454034,875.2300000000006,10.90751641385563
2023-11,31,30,294.4899999999991,4.374083409715848,0.6333333333333333,49.930000000000064,20.093157894736795,-7.934545454545452,289.8899999999992,4.257923128792978
2023-12,22,19,46.660000000001446,1.4810805237653548,0.42105263157894735,50.899999999999864,17.956250000000097,-8.817272727272666,43.64000000000146,1.442327184269225
2024-01,21,15,-86.35000000000036,0.29762485765413627,0.26666666666666666,102.59000000000015,9.147499999999866,-11.17636363636362,-88.80000000000035,0.28789093825180045
2024-02,26,21,155.62999999999988,2.027871342711841,0.23809523809523808,108.13000000000011,61.407999999999994,-9.463125000000005,152.18999999999988,1.988054275141205
2024-03,22,22,1457.500000000001,27.361005606800756,0.7272727272727273,52.499999999999545,94.54937500000003,-9.214999999999918,1453.6200000000006,26.787120808941165
2024-04,24,21,-18.510000000001583,0.9296304744525491,0.38095238095238093,184.21000000000095,30.566249999999968,-20.233846153846255,-22.500000000001563,0.9152574290987103
2024-05,24,23,338.6099999999992,2.4874148912804706,0.5217391304347826,102.02999999999975,47.188333333333276,-20.695454545454552,334.23999999999927,2.454862017933312
2024-06,18,14,-168.4700000000007,0.0,0.0,168.4700000000007,,-12.033571428571479,-171.5000000000007,0.0
2024-07,26,19,361.2500000000009,9.530106257379115,0.8421052631578947,17.179999999999836,25.225000000000023,-14.116666666666484,357.7000000000009,9.334109972041134
2024-08,21,16,-16.220000000000255,0.8796557352722935,0.4375,80.07000000000016,16.937142857142785,-14.975555555555527,-18.940000000000282,0.8610520137920893
2024-09,20,17,-14.710000000000036,0.9217011763453448,0.23529411764705882,121.04999999999927,43.28999999999985,-14.451538461538417,-17.600000000000065,0.907407407407407
2024-10,26,25,114.58999999999924,1.503183594607646,0.32,156.2499999999991,42.78999999999991,-13.395882352941177,110.27999999999922,1.478147762747135
2024-11,24,23,513.179999999998,4.463454140514227,0.6086956521739131,43.180000000000746,47.23928571428568,-16.463333333333495,509.46999999999815,4.404637797380335
2024-12,20,18,-81.92999999999938,0.5293543198529446,0.3333333333333333,82.64999999999964,15.358333333333425,-14.50666666666666,-85.10999999999939,0.517078983204724
2025-01,22,22,138.8099999999995,2.1435044072823186,0.6363636363636364,48.929999999999836,18.585714285714175,-15.17374999999987,135.06999999999948,2.1002769631801934
2025-02,21,18,81.54999999999973,1.5068050462991722,0.4444444444444444,89.69000000000051,30.307499999999948,-16.090999999999987,78.51999999999973,1.4825170527868232
2025-03,19,18,390.42000000000235,3.2162806539509803,0.5,123.19999999999936,62.953333333333475,-19.573333333333217,387.43000000000234,3.1807384892491544
2025-04,13,11,128.9000000000001,1.564706913169195,0.45454545454545453,130.1500000000001,71.43199999999987,-38.043333333333216,127.07000000000008,1.554309893561335
2025-05,22,21,441.2700000000009,3.6291110581506154,0.6190476190476191,115.85000000000036,46.8546153846155,-20.980000000000075,437.4700000000009,3.5814008379064104
2025-06,30,28,-343.0100000000011,0.3540422967552387,0.35714285714285715,355.69000000000096,18.799999999999955,-29.500555555555593,-348.3000000000012,0.34835076427996653
2025-07,22,21,-184.29000000000087,0.4659499246551505,0.2857142857142857,288.7999999999997,26.79833333333325,-23.005333333333358,-188.0500000000008,0.459113527195327
2025-08,30,27,1734.4599999999969,10.198451421298158,0.5185185185185185,178.29000000000178,137.35857142857134,-14.504615384615521,1729.7299999999968,10.063295782027671
2025-09,17,16,324.0499999999993,3.3415709227545234,0.625,41.34999999999991,46.24399999999996,-23.065000000000055,321.3899999999993,3.3056890738216405
2025-10,15,14,31.010000000001128,1.0829987688025298,0.42857142857142855,339.98,67.4383333333335,-46.702499999999986,28.48000000000117,1.075928443840148
2025-11,23,23,423.62000000000444,2.5210771992818906,0.5217391304347826,234.09999999999854,58.510000000000254,-25.318181818181696,419.90000000000447,2.4981981660541854
2025-12,20,18,453.430000000003,2.6534057759626783,0.5555555555555556,154.45999999999913,72.7670000000002,-34.27999999999986,450.5000000000031,2.634911994193449
2026-01,15,12,2098.3500000000004,13.7226702237314,0.6666666666666666,84.1299999999992,282.90999999999985,-41.23249999999962,2096.3100000000004,13.658112432824225
2026-02,21,19,-300.170000000001,0.6284334963173842,0.42105263157894735,651.1099999999988,63.45999999999981,-73.44090909090905,-305.070000000001,0.6232308262319364
2026-03,22,21,1036.2099999999991,3.4233161833489203,0.5714285714285714,213.11000000000058,121.98416666666662,-47.51111111111115,1031.1099999999992,3.399548532731374
2026-04,20,19,73.31000000000313,1.135208410180751,0.42105263157894735,407.0799999999999,76.93875000000037,-49.290909090909075,69.5100000000031,1.1276818515797267
2026-05,27,23,-757.3999999999987,0.2714996104533163,0.21739130434782608,757.3999999999987,56.45399999999972,-57.7594444444443,-766.4599999999987,0.26609598222834974
2026-06,26,23,391.34000000000333,1.567274519467724,0.5217391304347826,328.65999999999985,90.10000000000018,-62.714545454545345,385.6200000000032,1.5568117825427825
2026-07,27,18,-262.27,0.3912024141132773,0.4444444444444444,397.8999999999992,21.066249999999968,-43.07999999999997,-266.82,0.3843704575344359
2026-08,24,22,1232.2899999999963,3.950886015325653,0.5454545454545454,318.72000000000116,137.49083333333314,-41.760000000000126,1226.8399999999963,3.920838987691338
