ATR_N,stat,mean,std,cv,max_min_ratio
14,med,1.8367785255762477,0.10225564250481024,0.055671187941796006,1.1597866038288942
14,p90,3.414637648682615,0.22507680706141125,0.06591528303105515,1.1730446404168995
14,p95,3.944162875043335,0.28068976497676584,0.07116586557640114,1.2418509211364153
60,med,1.7251083876730209,0.08622135153735737,0.04998025176473715,1.154515448672278
60,p90,3.460122326510761,0.31418328920626154,0.09080120861596494,1.2800543680516199
60,p95,4.275040952454971,0.44111681981679507,0.10318423255418895,1.333223911822633
120,med,1.7032301252668502,0.08631526833236339,0.050677396466810444,1.169900683128134
120,p90,3.4428863230223223,0.3354767943317085,0.09744056668046237,1.2995647805747361
120,p95,4.281242657927796,0.5031706121541065,0.11752910366394669,1.3960405821700435
180,med,1.724913935528693,0.06750221237912869,0.03913366979578549,1.116356780364582
180,p90,3.4480102419017506,0.27030028612861157,0.07839312158757608,1.2434679868448455
180,p95,4.344085554260376,0.6256824863463472,0.1440308848735084,1.477808205436267
240,med,1.7378497501024655,0.07907589132106246,0.04550214500212119,1.1373233572052117
240,p90,3.494066961888783,0.3055069639056866,0.08743592130258979,1.279745663942745
240,p95,4.451144655733444,0.7539451860374491,0.16938231496617506,1.5609530156337792
360,med,1.7459725133052886,0.12455865923050774,0.07134056136697513,1.2345720902388575
360,p90,3.6438820869466353,0.45669174665417805,0.1253310990194141,1.3908820400007504
360,p95,4.663392666530806,1.0151657416905577,0.2176882399323582,1.7770475792886904
