id,tf,side,price,source,known_at
H1_SSL_20220113_0400,H1,DOWN,1823.93,2022-01-13 04:00:00,2022-01-13 07:00:00
H4_BSL_20220112_2000,H4,UP,1828.1,2022-01-12 20:00:00,2022-01-13 08:00:00
H1_BSL_20220113_0700,H1,UP,1828.07,2022-01-13 07:00:00,2022-01-13 10:00:00
H1_BSL_20220113_1000,H1,UP,1827.66,2022-01-13 10:00:00,2022-01-13 13:00:00
H1_SSL_20220113_1100,H1,DOWN,1819.11,2022-01-13 11:00:00,2022-01-13 14:00:00
H1_BSL_20220113_1400,H1,UP,1826.04,2022-01-13 14:00:00,2022-01-13 17:00:00
H1_SSL_20220113_1800,H1,DOWN,1812.39,2022-01-13 18:00:00,2022-01-13 21:00:00
H1_BSL_20220113_2300,H1,UP,1822.83,2022-01-13 23:00:00,2022-01-14 03:00:00
H4_SSL_20220113_1600,H4,DOWN,1812.39,2022-01-13 16:00:00,2022-01-14 04:00:00
H1_SSL_20220114_0200,H1,DOWN,1819.53,2022-01-14 02:00:00,2022-01-14 05:00:00
H1_BSL_20220114_1000,H1,UP,1829.27,2022-01-14 10:00:00,2022-01-14 13:00:00
H1_BSL_20220114_1500,H1,UP,1827.62,2022-01-14 15:00:00,2022-01-14 18:00:00
H4_BSL_20220114_0800,H4,UP,1829.27,2022-01-14 08:00:00,2022-01-14 20:00:00
H1_SSL_20220114_2000,H1,DOWN,1814.5,2022-01-14 20:00:00,2022-01-14 23:00:00
H1_SSL_20220117_0300,H1,DOWN,1812.96,2022-01-17 03:00:00,2022-01-17 06:00:00
H4_SSL_20220117_0000,H4,DOWN,1812.96,2022-01-17 00:00:00,2022-01-17 12:00:00
H1_BSL_20220117_1000,H1,UP,1823.09,2022-01-17 10:00:00,2022-01-17 13:00:00
H1_BSL_20220117_1600,H1,UP,1821.47,2022-01-17 16:00:00,2022-01-17 19:00:00
H1_SSL_20220117_1700,H1,DOWN,1817.63,2022-01-17 17:00:00,2022-01-17 20:00:00
H4_BSL_20220117_0800,H4,UP,1823.09,2022-01-17 08:00:00,2022-01-17 20:00:00
H1_SSL_20220117_2100,H1,DOWN,1818.15,2022-01-17 21:00:00,2022-01-18 03:00:00
H4_SSL_20220117_1600,H4,DOWN,1817.63,2022-01-17 16:00:00,2022-01-18 04:00:00
H1_BSL_20220118_0500,H1,UP,1822.69,2022-01-18 05:00:00,2022-01-18 08:00:00
H1_SSL_20220118_0500,H1,DOWN,1815.23,2022-01-18 05:00:00,2022-01-18 08:00:00
H1_SSL_20220118_1100,H1,DOWN,1809.1,2022-01-18 11:00:00,2022-01-18 14:00:00
H4_BSL_20220118_0400,H4,UP,1822.69,2022-01-18 04:00:00,2022-01-18 16:00:00
H1_SSL_20220118_1500,H1,DOWN,1805.84,2022-01-18 15:00:00,2022-01-18 18:00:00
H1_BSL_20220118_1700,H1,UP,1820.05,2022-01-18 17:00:00,2022-01-18 20:00:00
H1_SSL_20220118_1800,H1,DOWN,1810.55,2022-01-18 18:00:00,2022-01-18 21:00:00
H1_BSL_20220118_2100,H1,UP,1815.87,2022-01-18 21:00:00,2022-01-19 00:00:00
H4_SSL_20220118_1200,H4,DOWN,1805.84,2022-01-18 12:00:00,2022-01-19 00:00:00
H4_BSL_20220118_1600,H4,UP,1820.05,2022-01-18 16:00:00,2022-01-19 04:00:00
H1_SSL_20220119_0500,H1,DOWN,1810.22,2022-01-19 05:00:00,2022-01-19 08:00:00
H1_SSL_20220119_1000,H1,DOWN,1811.31,2022-01-19 10:00:00,2022-01-19 13:00:00
H4_SSL_20220119_0400,H4,DOWN,1810.22,2022-01-19 04:00:00,2022-01-19 16:00:00
H1_BSL_20220119_2200,H1,UP,1843.28,2022-01-19 22:00:00,2022-01-20 02:00:00
H1_SSL_20220120_0200,H1,DOWN,1837.91,2022-01-20 02:00:00,2022-01-20 05:00:00
H1_BSL_20220120_0300,H1,UP,1844.0,2022-01-20 03:00:00,2022-01-20 06:00:00
H1_SSL_20220120_0700,H1,DOWN,1838.39,2022-01-20 07:00:00,2022-01-20 10:00:00
H4_BSL_20220120_0000,H4,UP,1844.0,2022-01-20 00:00:00,2022-01-20 12:00:00
H1_BSL_20220120_1000,H1,UP,1842.08,2022-01-20 10:00:00,2022-01-20 13:00:00
H1_SSL_20220120_1400,H1,DOWN,1835.88,2022-01-20 14:00:00,2022-01-20 17:00:00
H1_BSL_20220120_1700,H1,UP,1847.85,2022-01-20 17:00:00,2022-01-20 20:00:00
H1_SSL_20220120_1800,H1,DOWN,1838.5,2022-01-20 18:00:00,2022-01-20 21:00:00
H4_SSL_20220120_1200,H4,DOWN,1835.88,2022-01-20 12:00:00,2022-01-21 00:00:00
H1_SSL_20220120_2200,H1,DOWN,1837.13,2022-01-20 22:00:00,2022-01-21 02:00:00
H4_BSL_20220120_1600,H4,UP,1847.85,2022-01-20 16:00:00,2022-01-21 04:00:00
H1_SSL_20220121_0300,H1,DOWN,1836.23,2022-01-21 03:00:00,2022-01-21 06:00:00
H1_BSL_20220121_0900,H1,UP,1842.71,2022-01-21 09:00:00,2022-01-21 12:00:00
H1_SSL_20220121_1000,H1,DOWN,1828.44,2022-01-21 10:00:00,2022-01-21 13:00:00
H1_SSL_20220121_1400,H1,DOWN,1831.05,2022-01-21 14:00:00,2022-01-21 17:00:00
H1_BSL_20220121_1600,H1,UP,1843.12,2022-01-21 16:00:00,2022-01-21 19:00:00
H4_SSL_20220121_0800,H4,DOWN,1828.44,2022-01-21 08:00:00,2022-01-21 20:00:00
H1_SSL_20220121_2200,H1,DOWN,1828.37,2022-01-21 22:00:00,2022-01-24 02:00:00
H1_BSL_20220124_0100,H1,UP,1837.11,2022-01-24 01:00:00,2022-01-24 04:00:00
H4_BSL_20220121_1600,H4,UP,1843.12,2022-01-21 16:00:00,2022-01-24 04:00:00
H4_SSL_20220121_2000,H4,DOWN,1828.37,2022-01-21 20:00:00,2022-01-24 08:00:00
H1_BSL_20220124_0700,H1,UP,1839.54,2022-01-24 07:00:00,2022-01-24 10:00:00
H1_SSL_20220124_0900,H1,DOWN,1836.4,2022-01-24 09:00:00,2022-01-24 12:00:00
H1_BSL_20220124_1100,H1,UP,1844.28,2022-01-24 11:00:00,2022-01-24 14:00:00
H1_BSL_20220124_1500,H1,UP,1842.95,2022-01-24 15:00:00,2022-01-24 18:00:00
H1_SSL_20220124_1700,H1,DOWN,1829.66,2022-01-24 17:00:00,2022-01-24 20:00:00
H4_BSL_20220124_0800,H4,UP,1844.28,2022-01-24 08:00:00,2022-01-24 20:00:00
H1_BSL_20220124_2000,H1,UP,1843.01,2022-01-24 20:00:00,2022-01-24 23:00:00
