source_k,year,dir,sweep_time,trigger_time,clean_m1,fraction,broken_m5_level,trigger_close,limit_entry,sl_exec,risk,fill_time,outcome,resolved_at_h,mfe_abs,mae_abs,mfe_r,mae_r,d1_atr,risk_d1,m30_atr,risk_m30,mirror5,m30_exp,m30_owner,h1_owner,m1_direct_transfer,direct_transfer,owner_agree,both_branch,base_R,H3_25_R,H_direct,H_primary_shadow
2.0,2023,-1,2023-01-27 15:32:00,2023-01-27 16:00:00,True,0.5,1930.5,1928.81,1929.655,1935.1299999999999,5.474999999999909,2023-01-27 16:01:00,TP5,2023-01-31 13:31:00,27.935000000000173,4.915000000000191,5.102283105022948,0.8977168949772187,23.625714285714317,0.2317390252751198,3.176428571428541,1.7236339105014495,0,1.1024705687282341,1,-1,True,True,False,False,5.0,4.5,True,True
2.0,2023,1,2023-01-31 14:09:00,2023-01-31 14:35:00,True,0.5,1903.24,1903.55,1903.5149999999999,1900.83,2.6849999999999454,2023-01-31 14:36:00,TP5,2023-01-31 15:48:00,14.545000000000073,1.6349999999997635,5.417132216015035,0.6089385474859578,23.876428571428587,0.11245400424806058,4.071428571428571,0.659473684210513,0,1.401454797367494,-1,-1,True,True,False,False,5.0,4.5,True,True
2.0,2023,-1,2023-02-06 02:59:00,2023-02-06 03:05:00,True,0.5,1865.75,1864.92,1865.335,1870.1399999999999,4.804999999999836,2023-02-06 03:06:00,SL,2023-02-06 03:22:00,0.0,5.0349999999998545,0.0,1.0478668054110356,28.99285714285715,0.16573047548656736,3.8621428571428686,1.2441279822451916,1,1.4421608925425728,1,-1,True,True,False,False,-1.0,-1.0,True,True
2.0,2023,1,2023-03-13 09:04:00,2023-03-13 09:35:00,True,0.5,1874.41,1875.94,1875.295,1871.53,3.7650000000001,2023-03-13 09:49:00,TP5,2023-03-13 14:26:00,19.054999999999836,1.0350000000000819,5.061088977423461,0.2749003984063889,21.138571428571417,0.1781104277894216,4.43857142857142,0.8482458963630755,0,3.168301170515665,-1,1,True,True,False,False,5.0,4.5,True,True
2.0,2023,1,2023-04-26 20:34:00,2023-04-26 21:00:00,True,0.5,1988.16,1988.35,1988.375,1983.3,5.0750000000000455,2023-04-26 21:03:00,SL,2023-04-27 15:44:00,14.904999999999973,6.535000000000082,2.93694581280785,1.287684729064044,28.39428571428568,0.17873314550211492,6.136428571428594,0.8270282854149735,0,1.2398172820708102,-1,-1,True,True,False,False,-1.0,-1.0,True,True
2.0,2023,1,2023-05-26 03:50:00,2023-05-26 04:00:00,True,0.5,1940.44,1940.87,1940.7749999999999,1936.75,4.024999999999864,2023-05-26 04:04:00,BE,2023-05-26 17:44:00,16.475000000000136,0.45499999999992724,4.093167701863527,0.11304347826085533,23.803571428571395,0.16909227306826158,2.1114285714285512,1.906292286874108,0,1.0022844089091894,-1,-1,True,True,False,False,0.0,0.75,True,True
2.0,2023,-1,2023-06-08 17:32:00,2023-06-08 17:45:00,True,0.5,1965.97,1965.46,1965.7150000000001,1970.62,4.904999999999745,2023-06-08 17:46:00,SL,2023-06-09 15:31:00,4.985000000000355,7.444999999999709,1.016309887869646,1.517838939857308,24.183571428571423,0.20282364060606803,3.7500000000000164,1.3079999999999263,0,2.7418465778594627,1,1,True,True,False,False,-1.0,-1.0,True,True
2.0,2023,-1,2023-06-19 11:25:00,2023-06-19 12:50:00,True,0.5,1952.69,1952.31,1952.5,1958.83,6.329999999999927,2023-06-19 16:00:00,TP5,2023-06-21 16:39:00,32.0300000000002,4.369999999999891,5.060031595576709,0.6903633491311123,25.26142857142856,0.2505796527738478,2.225714285714243,2.844030808729162,0,0.583280876243235,-1,-1,True,True,True,False,5.0,4.5,True,True
2.0,2023,1,2023-06-27 02:36:00,2023-06-27 03:30:00,True,0.5,1922.81,1923.42,1923.255,1921.02,2.2350000000001273,2023-06-27 03:43:00,BE,2023-06-27 13:16:00,7.154999999999973,1.5550000000000637,3.201342281879,0.6957494407158725,22.699999999999996,0.09845814977974131,1.4164285714285663,1.5779122541604587,0,1.3812909260991513,-1,1,True,True,False,False,0.0,0.75,True,True
2.0,2023,-1,2023-06-27 15:38:00,2023-06-27 15:50:00,True,0.5,1925.46,1925.12,1925.29,1930.58,5.289999999999964,2023-06-27 15:54:00,SL,2023-06-27 16:36:00,0.8400000000001455,5.5,0.15879017013235375,1.0396975425330883,22.699999999999996,0.23303964757709095,2.799285714285751,1.8897677979075918,0,0.8913707215169497,-1,-1,True,True,True,False,-1.0,-1.0,True,True
