H,mult,phase,year,N,base,auc,brier,mean_p
60,0.5,0,2024,653,0.7136294027565084,0.5690023180555874,0.20590762693640027,0.7631133702010767
60,0.5,0,2025,535,0.7158878504672898,0.5622509275800468,0.20442305567072525,0.7372745278062169
60,0.5,0,2026,321,0.6822429906542056,0.6488494941355538,0.20555312935659156,0.7003258609238915
60,0.5,2,2024,653,0.7136294027565084,0.570448233917055,0.20427615234773316,0.7586280692313891
60,0.5,2,2025,535,0.7158878504672898,0.5428232788236911,0.2063310748490767,0.7222409344183244
60,0.5,2,2026,321,0.6822429906542056,0.6375682693168591,0.2064374208985142,0.7035520684992749
120,0.75,0,2024,653,0.6263399693721287,0.5970379574331637,0.23194171629025837,0.6450946197756494
120,0.75,0,2025,535,0.5869158878504673,0.5857711041300401,0.2469283095589832,0.6409698876673321
120,0.75,0,2026,321,0.5607476635514018,0.5572498029944838,0.25271015215553,0.5981173504228604
120,0.75,2,2024,653,0.6263399693721287,0.590955549320614,0.23383391166126727,0.673509073780247
120,0.75,2,2025,535,0.5869158878504673,0.5807274404127157,0.24773803289528676,0.6450640550207026
120,0.75,2,2026,321,0.5607476635514018,0.5241922773837667,0.2609982095351255,0.597957322350979
240,1.0,0,2024,653,0.5482388973966309,0.6420035981441152,0.23412165007444197,0.5684423248911885
240,1.0,0,2025,535,0.5121495327102804,0.5481304359985457,0.2643032139451621,0.5630803100688736
240,1.0,0,2026,321,0.48909657320872274,0.563422401739941,0.25998116502963964,0.5431909301827517
240,1.0,2,2024,653,0.5482388973966309,0.6386800492377614,0.23502545775944061,0.5728344532680583
240,1.0,2,2025,535,0.5121495327102804,0.5494308806667225,0.26399540229210444,0.5654130903687726
240,1.0,2,2026,321,0.48909657320872274,0.5568199471803634,0.26172230550469333,0.5427220012547836
