model_target,horizon,phase,year,N,base,auc,brier,mean_p,level_n,level_hit,fresh_n,fresh_hit
0.75,60,0,2024,71068,0.09382563178927225,0.8141536941058993,0.07090312386301603,0.09072732409654852,301,0.7375415282392026,90,0.7
0.75,120,0,2024,71068,0.21386559351606912,0.7594683035958336,0.14112794376298046,0.195253886752351,1160,0.7629310344827587,334,0.7425149700598802
0.75,240,0,2024,71068,0.4125907581471267,0.7299928821752153,0.20682051397849072,0.37601843231951065,3916,0.7842185903983657,899,0.7497219132369299
0.75,60,0,2025,70684,0.083795484126535,0.7694706720214588,0.06899212964517337,0.07770307950262474,101,0.6633663366336634,29,0.6896551724137931
0.75,120,0,2025,70684,0.2048271178767472,0.7025346017988404,0.14789305616965653,0.19497953501535872,651,0.6682027649769585,198,0.6767676767676768
0.75,240,0,2025,70684,0.42097221436251486,0.6647707124014437,0.2277073101891382,0.3914648895158954,3263,0.7094698130554704,845,0.6840236686390533
0.75,60,0,2026,46596,0.08030732251695424,0.7770247690959301,0.06549549148431481,0.07597928375843656,66,0.8787878787878788,31,0.8709677419354839
0.75,120,0,2026,46596,0.1896085500901365,0.7182751636611447,0.13767379854494133,0.17838493230578276,296,0.7736486486486487,102,0.7058823529411765
0.75,240,0,2026,46596,0.38378830800927116,0.6609618000193149,0.22069961419625492,0.38065651161864494,1624,0.708743842364532,461,0.6464208242950108
0.75,60,2,2024,71068,0.09382563178927225,0.8148574679474043,0.07073808829067564,0.09365648839365655,281,0.7686832740213523,88,0.7727272727272727
0.75,120,2,2024,71068,0.21386559351606912,0.7594661767704598,0.14112878710545698,0.20118006655962045,1306,0.7626339969372129,375,0.752
0.75,240,2,2024,71068,0.4125907581471267,0.7303340128955957,0.20666476532887715,0.3799960381381726,4383,0.7754962354551677,1006,0.73558648111332
0.75,60,2,2025,70684,0.083795484126535,0.7695745488190355,0.06894731928533726,0.082252734123942,91,0.7032967032967034,29,0.6551724137931034
0.75,120,2,2025,70684,0.2048271178767472,0.7021812858730054,0.14803535022614225,0.19299491686636233,664,0.6852409638554217,217,0.6820276497695853
0.75,240,2,2025,70684,0.42097221436251486,0.6656536674859092,0.22713824609772088,0.39520034754610833,3397,0.7123932881954665,881,0.6821793416572077
0.75,60,2,2026,46596,0.08030732251695424,0.7762784405365568,0.065483931316681,0.07328388267676438,46,0.9130434782608695,21,0.9047619047619048
0.75,120,2,2026,46596,0.1896085500901365,0.7158897469200106,0.13838783882247674,0.1779702797086921,246,0.7520325203252033,97,0.7216494845360825
0.75,240,2,2026,46596,0.38378830800927116,0.6619642449719014,0.22053030577189142,0.3763220587396112,1630,0.7055214723926381,461,0.6355748373101953
