H,mult,year,freshN,resolvedN,resolved_rate,first_touch_acc,dominant_acc,terminal_acc,full_time_stop_wr,mean_abs_prob_gap
60,0.5,2024,575,434,0.7547826086956522,0.4838709677419355,0.5060869565217392,0.5043478260869565,0.48695652173913045,0.06452422864948067
60,0.5,2025,434,320,0.7373271889400922,0.540625,0.5023041474654378,0.48847926267281105,0.5,0.0639815938104379
60,0.5,2026,196,148,0.7551020408163265,0.43243243243243246,0.44387755102040816,0.42857142857142855,0.4489795918367347,0.12445776524069797
120,0.75,2024,329,247,0.7507598784194529,0.4777327935222672,0.48024316109422494,0.49240121580547114,0.48328267477203646,0.07708684838402914
120,0.75,2025,238,164,0.6890756302521008,0.5670731707317073,0.5042016806722689,0.46638655462184875,0.5126050420168067,0.10410408091509664
120,0.75,2026,112,76,0.6785714285714286,0.5131578947368421,0.5267857142857143,0.5267857142857143,0.5535714285714286,0.14520986061680846
240,1.0,2024,190,139,0.7315789473684211,0.4892086330935252,0.5,0.49473684210526314,0.5105263157894737,0.09729769069373548
240,1.0,2025,125,75,0.6,0.6,0.552,0.504,0.552,0.0852850631307042
240,1.0,2026,73,45,0.6164383561643836,0.5333333333333333,0.5616438356164384,0.547945205479452,0.5342465753424658,0.20484797554259146
