H,year,freshN,resolvedN,first_acc,full_wr,dominant_acc,terminal_acc
60,2024,90,63,0.5079365079365079,0.4888888888888889,0.5111111111111111,0.4666666666666667
60,2025,29,20,0.65,0.5862068965517241,0.5517241379310345,0.5862068965517241
60,2026,31,27,0.37037037037037035,0.3548387096774194,0.41935483870967744,0.3548387096774194
120,2024,334,248,0.5564516129032258,0.5269461077844312,0.5239520958083832,0.5389221556886228
120,2025,198,134,0.47761194029850745,0.4444444444444444,0.4444444444444444,0.4444444444444444
120,2026,102,72,0.4722222222222222,0.49019607843137253,0.47058823529411764,0.5
240,2024,899,673,0.5215453194650818,0.5083426028921023,0.5161290322580645,0.4961067853170189
240,2025,845,578,0.5,0.48757396449704143,0.5005917159763313,0.47810650887573963
240,2026,461,298,0.5671140939597316,0.527114967462039,0.5292841648590022,0.5227765726681128
