H,year,n0,n2,intersection,jaccard
60,2024,90,88,58,0.48333333333333334
60,2025,29,29,16,0.38095238095238093
60,2026,31,21,13,0.3333333333333333
120,2024,334,375,239,0.5085106382978724
120,2025,198,217,144,0.5313653136531366
120,2026,102,97,60,0.4316546762589928
240,2024,899,1006,665,0.5362903225806451
240,2025,845,881,662,0.6221804511278195
240,2026,461,461,344,0.5951557093425606
