H,mult,year,N,resolvedN,first_acc,dominant_acc,terminal_acc,full_wr
60,0.5,2024,653,464,0.5,0.5022970903522205,0.5022970903522205,0.5068912710566615
60,0.5,2025,535,383,0.4830287206266319,0.4822429906542056,0.4766355140186916,0.4822429906542056
60,0.5,2026,321,219,0.547945205479452,0.4672897196261682,0.48286604361370716,0.5171339563862928
120,0.75,2024,653,408,0.5245098039215687,0.5176110260336907,0.5222052067381318,0.5084226646248086
120,0.75,2025,535,314,0.5063694267515924,0.4822429906542056,0.491588785046729,0.4934579439252336
120,0.75,2026,321,180,0.5055555555555555,0.5046728971962616,0.4797507788161994,0.49221183800623053
240,1.0,2024,653,358,0.505586592178771,0.4762633996937213,0.49770290964777947,0.49770290964777947
240,1.0,2025,535,274,0.4781021897810219,0.497196261682243,0.4691588785046729,0.4616822429906542
240,1.0,2026,321,157,0.5668789808917197,0.5389408099688473,0.5202492211838006,0.5327102803738317
