H,mult,year,N,either,both,resolved,up,down
60,0.5,2024,653,0.7136294027565084,0.05972434915773354,0.7105666156202144,0.37978560490045943,0.39356814701378257
60,0.5,2025,535,0.7158878504672898,0.028037383177570093,0.7158878504672898,0.34953271028037386,0.394392523364486
60,0.5,2026,321,0.6822429906542056,0.04672897196261682,0.6822429906542056,0.3925233644859813,0.3364485981308411
120,0.75,2024,653,0.6263399693721287,0.036753445635528334,0.6248085758039816,0.29709035222052066,0.3660030627871363
120,0.75,2025,535,0.5869158878504673,0.013084112149532711,0.5869158878504673,0.27850467289719627,0.32149532710280376
120,0.75,2026,321,0.5607476635514018,0.040498442367601244,0.5607476635514018,0.3177570093457944,0.2834890965732087
240,1.0,2024,653,0.5482388973966309,0.02450229709035222,0.5482388973966309,0.26339969372128635,0.3093415007656968
240,1.0,2025,535,0.5121495327102804,0.009345794392523364,0.5121495327102804,0.2467289719626168,0.27476635514018694
240,1.0,2026,321,0.48909657320872274,0.01557632398753894,0.48909657320872274,0.2398753894080997,0.26479750778816197
