period,runs,observed_delta_R,bootstrap_mean_delta_R,q025_delta_R,q50_delta_R,q975_delta_R,probability_delta_R_gt_zero,draws
2024,476,15.34192037470727,15.332358079625305,1.0257611241218103,15.0,31.0,0.98295,20000
2025,444,7.186999599139377,7.215903378971596,1.0,6.801846290909059,15.566955669684148,0.9938,20000
2026,303,1.1621368581544156,1.1818573242398345,-1.553597650514026,1.095612110948455,4.683757555822365,0.8034,20000
POOLED_STRATIFIED_2024_2026,1223,23.691056832001063,23.76588631068029,7.462822848769447,23.521847019131123,41.32026643155346,0.99825,20000
