period,policy,outcome_convention,rows,entries,units,pnl,gross_profit,gross_loss,pf,R,pf_R,dd_pnl,dd_R,oracle_recall,oracle_precision,weighted_position_hours,max_single_units,max_committed_units,l6_positive_child_retention,ambiguous_selected,delta_pnl_vs_r2,delta_R_vs_r2,delta_dd_R_vs_r2,delta_oracle_recall_vs_r2,research_status
POOLED_2024_2026,R2_DEFAULT,conservative_stop,3962,1573,3067.0,12788.520160697994,42069.45000000002,-29280.92983930203,1.4367525290652734,532.1628687386301,1.4525209304556044,1165.380000000001,52.406940160939016,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.4335000904786318,7,0.0,0.0,0.0,0.0,frozen comparator research ledger
POOLED_2024_2026,META_K1STOP_K1_Q0975,conservative_stop,3962,1552,3032.0,12923.29016069799,42027.38000000002,-29104.08983930203,1.4440369113775355,555.8539255706312,1.4842480638879645,1165.380000000001,45.406940160939016,0.6985210466439136,0.3956185567010309,59400.45,3.0,7.0,0.4331320497934071,7,134.7699999999968,23.691056832001095,-7.0,-0.011376564277588153,tuned consumed-data diagnostic; not future action member
POOLED_2024_2026,ROBUST_C05,conservative_stop,3962,1556,3040.0,12901.120160697992,42053.83000000002,-29152.70983930203,1.4425358819750411,553.8319945700908,1.481313066348261,1165.380000000001,45.406940160939016,0.70193401592719,0.3965295629820051,59496.45,3.0,7.0,0.4331320497934071,7,112.59999999999854,21.669125831460747,-7.0,-0.007963594994311762,primary future shadow candidate; no trade authority
POOLED_2024_2026,SHALLOW_HISTGB,conservative_stop,3962,1531,2983.0,12905.370160697996,41798.63000000003,-28893.25983930203,1.4466567715956882,545.7235091449704,1.4889818710782226,1165.380000000001,40.84620174597517,0.6882821387940842,0.395166557805356,58837.43333333333,3.0,7.0,0.432292530611937,7,116.85000000000218,13.560640406340326,-11.560738414963843,-0.021615472127417545,diagnostic only; bootstrap lower bound crosses zero
POOLED_2024_2026,STABLE_INTERSECTION,conservative_stop,3962,1557,3043.0,12878.800160697992,42053.83000000002,-29175.029839302028,1.4414322875292769,550.8319945700908,1.477461060755224,1165.380000000001,45.406940160939016,0.70193401592719,0.3962748876043673,59496.55,3.0,7.0,0.4331320497934071,7,90.27999999999884,18.669125831460747,-7.0,-0.007963594994311762,diagnostic only
POOLED_2024_2026,STABLE_UNION,conservative_stop,3962,1530,2980.0,12927.690160697995,41798.63000000003,-28870.93983930203,1.4477751757530082,548.7235091449704,1.4929951537289456,1165.380000000001,37.84620174597518,0.6882821387940842,0.3954248366013072,58837.33333333333,3.0,7.0,0.432292530611937,7,139.1700000000019,16.560640406340326,-14.560738414963836,-0.021615472127417545,diagnostic only; realized DD gain but bootstrap lower bound crosses zero
