policy,period,runs,observed_delta_R,bootstrap_mean_delta_R,q025_delta_R,q50_delta_R,q975_delta_R,probability_delta_R_gt_zero,draws
ROBUST_C05,2024,476,15.34192037470727,15.332358079625305,1.0257611241218103,15.0,31.0,0.98295,20000
ROBUST_C05,2025,444,4.454794520547956,4.469951232876724,0.0,4.0,12.0,0.95015,20000
ROBUST_C05,2026,303,1.872410936205468,1.8941560894780447,0.0,1.872410936205468,4.744821872410936,0.87135,20000
ROBUST_C05,POOLED_STRATIFIED_2024_2026,1223,21.669125831460697,21.751746746214884,6.025761124121811,21.54153676766616,38.74482187241094,0.997,20000
SHALLOW_HISTGB,2024,476,1.2491447363675388,1.416201220473099,-46.943727032513245,3.25410264020229,40.896381354254096,0.55375,20000
SHALLOW_HISTGB,2025,444,6.732837122819662,6.752663528479234,-1.3686965281631691,6.304357985961117,17.112413376074198,0.9393,20000
SHALLOW_HISTGB,2026,303,5.57865854715315,5.641287491125657,-9.781618589105127,5.706247610947683,19.93893568341143,0.7858,20000
SHALLOW_HISTGB,POOLED_STRATIFIED_2024_2026,1223,13.560640406340353,13.80342966299306,-37.16091449039269,15.071936775400268,57.1708726758656,0.7339,20000
STABLE_INTERSECTION,2024,476,12.34192037470727,12.319758079625302,-0.9742388758781892,12.02576112412181,26.0,0.9674,20000
STABLE_INTERSECTION,2025,444,4.454794520547956,4.469951232876724,0.0,4.0,12.0,0.95015,20000
STABLE_INTERSECTION,2026,303,1.872410936205468,1.8941560894780447,0.0,1.872410936205468,4.744821872410936,0.87135,20000
STABLE_INTERSECTION,POOLED_STRATIFIED_2024_2026,1223,18.669125831460697,18.729396746214885,3.9588342630252247,18.54153676766616,34.327205456753425,0.9937,20000
STABLE_UNION,2024,476,4.249144736367539,4.428801220473098,-44.10144733792396,6.12840462580394,44.36863394547175,0.6019,20000
STABLE_UNION,2025,444,6.732837122819662,6.752663528479234,-1.3686965281631691,6.304357985961117,17.112413376074198,0.9393,20000
STABLE_UNION,2026,303,5.57865854715315,5.641287491125657,-9.781618589105127,5.706247610947683,19.93893568341143,0.7858,20000
STABLE_UNION,POOLED_STRATIFIED_2024_2026,1223,16.56064040634035,16.825779662993057,-34.26748034652031,17.990165002069634,60.58539979767897,0.7699,20000
