year,policy,rows,entries,units,pnl,gross_profit,gross_loss,pf,R,pf_R,dd_pnl,dd_R,oracle_recall,oracle_precision,weighted_position_hours,max_single_units,max_committed_units,top1_winner_share,top5_winner_share,top10_winner_share,l6_positive_child_retention,ambiguous_selected
POOLED_2024_2026,FULL_21,3962,1556,3040.0,12901.120160697992,42053.83000000002,-29152.70983930203,1.4425358819750411,553.8319945700908,1.481313066348261,1165.380000000001,45.406940160939016,0.70193401592719,0.3965295629820051,59496.45,3.0,7.0,0.0256335748729663,0.0987871972659802,0.1683340138103948,0.4331320497934071,7
POOLED_2024_2026,COMPACT_HYBRID_12,3962,1561,3047.0,12873.190160697992,42069.45000000002,-29196.259839302027,1.4409191530542886,550.8031534950746,1.475915121249136,1165.380000000001,46.406940160939016,0.7042093287827076,0.3965406790518898,59537.88333333334,3.0,7.0,0.0256240573622901,0.0987505184878813,0.1682715129387239,0.4335000904786318,7
POOLED_2024_2026,R2_META_ONLY_6,3962,1552,3028.0,12916.090160697997,41947.96000000002,-29031.869839302024,1.444893499185257,546.5316634655885,1.4777489233604073,1165.380000000001,46.406940160939016,0.6985210466439136,0.3956185567010309,59229.73333333333,3.0,7.0,0.0256982699516257,0.0990365204887198,0.1687588621711281,0.4327755545586149,7
POOLED_2024_2026,R2_DEFAULT,3962,1573,3067.0,12788.520160697994,42069.45000000002,-29280.92983930203,1.4367525290652734,532.1628687386301,1.4525209304556044,1165.380000000001,52.40694016093901,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.0256240573622901,0.0987505184878813,0.1682715129387239,0.4335000904786318,7
POOLED_2024_2026,COMPACT_GEOMETRY_10,3962,1553,3031.0,12797.22016069799,41888.41000000002,-29091.18983930203,1.439900197667715,527.928837562467,1.459612741525392,1165.380000000001,46.406940160939016,0.6996587030716723,0.3960077269800386,59259.93333333333,3.0,7.0,0.0257348034933767,0.0991773142021862,0.1689987755562934,0.4320147329372378,7
POOLED_2024_2026,CAUSAL_GEOMETRY_15,3962,1553,3027.0,12852.790160697994,41841.94000000002,-28989.14983930203,1.4433655430375136,527.7589555117336,1.4596504674727275,1165.380000000001,46.406940160939016,0.6985210466439136,0.3953638119768191,59048.78333333333,3.0,7.0,0.025763384776136,0.0992874613366397,0.1691864669754796,0.4320147329372378,7
