outer_year,feature_family,feature_count,features,prior_oof_n,q0975,vetoed,model_auc,model_logloss,model_brier,policy_rows,policy_entries,policy_units,policy_pnl,policy_gross_profit,policy_gross_loss,policy_pf,policy_R,policy_pf_R,policy_dd_pnl,policy_dd_R,policy_oracle_recall,policy_oracle_precision,policy_weighted_position_hours,policy_max_single_units,policy_max_committed_units,policy_top1_winner_share,policy_top5_winner_share,policy_top10_winner_share,policy_l6_positive_child_retention,policy_ambiguous_selected
2024,FULL_21,21,r2_p_runway|r2_p_severe|r2_p_stop|r2_p_shock|r2_score|r2_W|stop_dist_atr|fast_body_rng|std_body_rng|adx28_rel|path_eff4_rel|path_eff12_rel|flip8|prev_run_len|prev4_run_mean|prev4_short_rate|di14_signed|ema8_21_signed|ltf_align_mean|ltf_align_std|direction_vote,266,0.7530332889269024,12,0.7290384615384615,0.5286741561844525,0.1774443717414615,1496,585,1151.0,686.4405019888616,6663.480000000005,-5977.039498011143,1.114846238211622,214.4635671677364,1.4751176707162277,923.5100494989792,45.20593513581338,0.6708074534161491,0.3692307692307692,21354.266666666663,3.0,7.0,0.0386914945343872,0.1604837112139597,0.2647355435898355,0.3746644878992231,2
2024,R2_META_ONLY_6,6,r2_p_runway|r2_p_severe|r2_p_stop|r2_p_shock|r2_score|r2_W,266,0.7192610588189687,14,0.7130384615384615,0.5417254108821077,0.1832683291563429,1496,583,1149.0,653.1105019888628,6627.240000000005,-5974.129498011142,1.1093231243491275,204.85071865624585,1.4528420196502017,897.5400494989781,46.20593513581338,0.6614906832298136,0.3653516295025729,21259.43333333333,3.0,7.0,0.0389030727723756,0.1613612906730398,0.2661832074890901,0.372250077395181,2
2024,CAUSAL_GEOMETRY_15,15,stop_dist_atr|fast_body_rng|std_body_rng|adx28_rel|path_eff4_rel|path_eff12_rel|flip8|prev_run_len|prev4_run_mean|prev4_short_rate|di14_signed|ema8_21_signed|ltf_align_mean|ltf_align_std|direction_vote,266,0.719054029423091,9,0.7288076923076923,0.5270792736306213,0.1769312688818063,1496,588,1154.0,522.4705019888613,6521.220000000005,-5998.749498011143,1.0870965694036872,185.25638935370745,1.40502900661869,935.2700494989796,46.20593513581338,0.6708074534161491,0.3673469387755102,21214.800000000003,3.0,7.0,0.0395355470295433,0.1639846531783924,0.266927047392972,0.3670973136691057,2
2024,COMPACT_HYBRID_12,12,r2_p_stop|r2_p_shock|r2_score|stop_dist_atr|fast_body_rng|path_eff12_rel|flip8|prev_run_len|prev4_short_rate|ltf_align_mean|ltf_align_std|direction_vote,266,0.75944390410556,8,0.7324999999999999,0.5247039572287995,0.1746722093797145,1496,589,1155.0,691.4905019888618,6679.100000000005,-5987.609498011143,1.1154869071235438,215.12164679302916,1.4734290933493956,928.250049498979,46.20593513581338,0.6739130434782609,0.3684210526315789,21390.38333333333,3.0,7.0,0.0386010091179947,0.1601083978380315,0.2641164228713445,0.3771570914731251,2
2024,COMPACT_GEOMETRY_10,10,stop_dist_atr|fast_body_rng|std_body_rng|path_eff12_rel|flip8|prev_run_len|prev4_run_mean|prev4_short_rate|ltf_align_mean|direction_vote,266,0.7163582096038564,13,0.7213076923076923,0.5419471699740405,0.1813737833993585,1496,584,1146.0,516.7605019888613,6498.060000000003,-5981.299498011143,1.0863960251715683,185.2473308604216,1.4092299524493583,928.250049498979,46.20593513581338,0.6645962732919255,0.3664383561643836,21126.450000000004,3.0,7.0,0.0396764572810959,0.1645691175520073,0.2678784129417084,0.3670973136691057,2
2025,FULL_21,21,r2_p_runway|r2_p_severe|r2_p_stop|r2_p_shock|r2_score|r2_W|stop_dist_atr|fast_body_rng|std_body_rng|adx28_rel|path_eff4_rel|path_eff12_rel|flip8|prev_run_len|prev4_run_mean|prev4_short_rate|di14_signed|ema8_21_signed|ltf_align_mean|ltf_align_std|direction_vote,545,0.6567405702680637,3,0.6815852923447859,0.5220996472903328,0.1703651970182126,1486,570,1096.0,5597.186429469202,14263.890000000009,-8666.703570530804,1.6458264533820204,213.11252426038612,1.5446707927315422,745.4105094097317,25.471161641658327,0.7189349112426036,0.4263157894736842,23253.216666666667,3.0,6.0,0.044983521325529,0.1783272305100501,0.2738215171317221,0.4417452823444295,2
2025,R2_META_ONLY_6,6,r2_p_runway|r2_p_severe|r2_p_stop|r2_p_shock|r2_score|r2_W,545,0.6370991963283169,2,0.6911291942937512,0.5102730167257821,0.1671075272142601,1486,571,1097.0,5593.866429469203,14263.890000000009,-8670.023570530804,1.6451962193600738,212.6577297398382,1.542877415054567,745.4105094097317,25.471161641658327,0.7218934911242604,0.4273204903677758,23269.216666666667,3.0,6.0,0.044983521325529,0.1783272305100501,0.2738215171317221,0.4417452823444295,2
2025,CAUSAL_GEOMETRY_15,15,stop_dist_atr|fast_body_rng|std_body_rng|adx28_rel|path_eff4_rel|path_eff12_rel|flip8|prev_run_len|prev4_run_mean|prev4_short_rate|di14_signed|ema8_21_signed|ltf_align_mean|ltf_align_std|direction_vote,545,0.6094661032120097,6,0.6901245730359654,0.5227247699561237,0.1684221885495437,1486,567,1087.0,5697.416429469202,14263.890000000009,-8566.473570530805,1.6650830569382324,218.8447293389776,1.5676371641764175,745.4105094097317,25.471161641658327,0.7130177514792899,0.4250440917107583,23172.01666666667,3.0,6.0,0.044983521325529,0.1783272305100501,0.2738215171317221,0.4417452823444295,2
2025,COMPACT_HYBRID_12,12,r2_p_stop|r2_p_shock|r2_score|stop_dist_atr|fast_body_rng|path_eff12_rel|flip8|prev_run_len|prev4_short_rate|ltf_align_mean|ltf_align_std|direction_vote,545,0.6694221569690675,2,0.6774161141249748,0.5242541525277983,0.1707558655724396,1486,571,1099.0,5575.286429469203,14263.890000000009,-8688.603570530806,1.6416780768291623,210.11252426038612,1.5329173496489794,745.4105094097317,28.4711616416583,0.7189349112426036,0.425569176882662,23255.51666666667,3.0,6.0,0.044983521325529,0.1783272305100501,0.2738215171317221,0.4417452823444295,2
2025,COMPACT_GEOMETRY_10,10,stop_dist_atr|fast_body_rng|std_body_rng|path_eff12_rel|flip8|prev_run_len|prev4_run_mean|prev4_short_rate|ltf_align_mean|direction_vote,545,0.601115449604978,2,0.7017279485633916,0.5145375778249957,0.1656089626426701,1486,571,1099.0,5575.286429469203,14263.890000000009,-8688.603570530806,1.6416780768291623,210.11252426038612,1.5329173496489794,745.4105094097317,28.4711616416583,0.7189349112426036,0.425569176882662,23255.51666666667,3.0,6.0,0.044983521325529,0.1783272305100501,0.2738215171317221,0.4417452823444295,2
