year,policy,rows,entries,units,pnl,gross_profit,gross_loss,pf,R,pf_R,dd_pnl,dd_R,oracle_recall,oracle_precision,weighted_position_hours,max_single_units,max_committed_units,top1_winner_share,top5_winner_share,top10_winner_share,l6_positive_child_retention,ambiguous_selected
POOLED_2024_2026,robust_logit|decision|C=0.5,3962,1556,3040.0,12901.120160697992,42053.83000000002,-29152.70983930203,1.4425358819750411,553.8319945700908,1.481313066348261,1165.380000000001,45.406940160939016,0.70193401592719,0.3965295629820051,59496.45,3.0,7.0,0.0256335748729663,0.0987871972659802,0.1683340138103948,0.4331320497934071,7
POOLED_2024_2026,robust_logit|run_sqrt|C=0.5,3962,1556,3040.0,12901.120160697992,42053.83000000002,-29152.70983930203,1.4425358819750411,553.8319945700908,1.481313066348261,1165.380000000001,45.406940160939016,0.70193401592719,0.3965295629820051,59496.45,3.0,7.0,0.0256335748729663,0.0987871972659802,0.1683340138103948,0.4331320497934071,7
POOLED_2024_2026,robust_logit|decision|C=0.1,3962,1542,3020.0,12880.190160697994,41946.38000000002,-29066.18983930203,1.44313307770673,547.9233417612534,1.4797002895090097,1165.380000000001,45.57175238719935,0.6951080773606371,0.3962386511024643,59070.066666666666,3.0,7.0,0.0256992379318548,0.0990402509108056,0.1687652188341401,0.4327755545586149,7
POOLED_2024_2026,robust_logit|run_sqrt|C=0.1,3962,1542,3020.0,12880.190160697994,41946.38000000002,-29066.18983930203,1.44313307770673,547.9233417612534,1.4797002895090097,1165.380000000001,45.57175238719935,0.6951080773606371,0.3962386511024643,59070.066666666666,3.0,7.0,0.0256992379318548,0.0990402509108056,0.1687652188341401,0.4327755545586149,7
POOLED_2024_2026,histgb|run_sqrt|learning_rate=0.03|max_iter=180|max_leaf_nodes=7|min_samples_leaf=45|l2_regularization=3.0,3962,1531,2983.0,12905.370160697996,41798.63000000003,-28893.25983930203,1.4466567715956882,545.7235091449704,1.4889818710782226,1165.380000000001,40.84620174597517,0.6882821387940842,0.395166557805356,58837.43333333333,3.0,7.0,0.0257900797227085,0.0993903388699581,0.1693617709479951,0.432292530611937,7
POOLED_2024_2026,histgb|decision|learning_rate=0.03|max_iter=180|max_leaf_nodes=7|min_samples_leaf=45|l2_regularization=3.0,3962,1531,2983.0,12905.370160697996,41798.63000000003,-28893.25983930203,1.4466567715956882,545.7235091449704,1.4889818710782226,1165.380000000001,40.84620174597517,0.6882821387940842,0.395166557805356,58837.43333333333,3.0,7.0,0.0257900797227085,0.0993903388699581,0.1693617709479951,0.432292530611937,7
POOLED_2024_2026,spline_logit|run_sqrt|C=0.1|n_knots=3,3962,1536,3020.0,12800.460160697996,41916.13000000002,-29115.669839302027,1.43964161674272,534.697346904547,1.4659539100659331,1165.380000000001,48.57175238719934,0.6928327645051194,0.396484375,59145.216666666674,3.0,7.0,0.0257177845378378,0.0991117262018225,0.1688870131856161,0.4320491336670988,7
POOLED_2024_2026,spline_logit|decision|C=0.1|n_knots=3,3962,1536,3020.0,12800.460160697996,41916.13000000002,-29115.669839302027,1.43964161674272,534.697346904547,1.4659539100659331,1165.380000000001,48.57175238719934,0.6928327645051194,0.396484375,59145.216666666674,3.0,7.0,0.0257177845378378,0.0991117262018225,0.1688870131856161,0.4320491336670988,7
POOLED_2024_2026,R2_DEFAULT,3962,1573,3067.0,12788.520160697994,42069.45000000002,-29280.92983930203,1.4367525290652734,532.1628687386301,1.4525209304556044,1165.380000000001,52.40694016093901,0.7098976109215017,0.396694214876033,59616.31666666667,3.0,7.0,0.0256240573622901,0.0987505184878813,0.1682715129387239,0.4335000904786318,7
POOLED_2024_2026,robust_logit|run_sqrt|C=0.02,3962,1533,3013.0,12664.350160697995,41703.46000000002,-29039.10983930203,1.4361135802984513,523.9200400891052,1.45874584132731,1165.380000000001,45.74594593558645,0.689419795221843,0.3953033268101761,58740.8,3.0,7.0,0.0258489343570053,0.0996171540682715,0.1697482654916402,0.4302018615978526,7
POOLED_2024_2026,robust_logit|decision|C=0.02,3962,1533,3013.0,12664.350160697995,41703.46000000002,-29039.10983930203,1.4361135802984513,523.9200400891052,1.45874584132731,1165.380000000001,45.74594593558645,0.689419795221843,0.3953033268101761,58740.8,3.0,7.0,0.0258489343570053,0.0996171540682715,0.1697482654916402,0.4302018615978526,7
POOLED_2024_2026,spline_logit|decision|C=0.02|n_knots=3,3962,1537,3029.0,12753.590160697997,41859.54000000002,-29105.949839302026,1.4381781124173008,521.527118170131,1.4525215363686772,1165.380000000001,49.745945935586434,0.6939704209328783,0.3968770331815224,59115.083333333336,3.0,7.0,0.0257525524647427,0.0992457155525359,0.1691153318932792,0.4302018615978526,7
POOLED_2024_2026,spline_logit|run_sqrt|C=0.02|n_knots=3,3962,1537,3029.0,12753.590160697997,41859.54000000002,-29105.949839302026,1.4381781124173008,521.527118170131,1.4525215363686772,1165.380000000001,49.745945935586434,0.6939704209328783,0.3968770331815224,59115.083333333336,3.0,7.0,0.0257525524647427,0.0992457155525359,0.1691153318932792,0.4302018615978526,7
