outer_year,head,train_n,test_n,selected_spec,platt_slope,platt_intercept,auc,logloss,brier
2024,META_STOP,622,595,robust_logit|decision|C=0.5,0.9808361798678712,0.0037266311517069,0.7644499227753356,0.4868698798952155,0.162104137773041
2024,META_NEGATIVE,622,595,robust_logit|decision|C=0.5,0.7790951951193632,0.0468885869039369,0.4974210771862526,0.6562336518410995,0.2294460832971622
2024,META_K1_STOP,362,360,robust_logit|decision|C=0.5,0.9935646730120424,0.0203023036622349,0.7290384615384615,0.5286741561844525,0.1774443717414615
2025,META_STOP,1217,571,robust_logit|decision|C=0.1,1.1173283833006422,-0.0829443300633865,0.73366391184573,0.4652720697586675,0.1491167807303072
2025,META_NEGATIVE,1217,571,spline_logit|decision|C=0.02|n_knots=3,0.7260822036798698,0.1123314275589902,0.5364776587405278,0.6660700984922202,0.236366617174408
2025,META_K1_STOP,722,331,robust_logit|decision|C=0.1,1.1291838566658732,-0.0774186063905665,0.6823889893510147,0.5245530463722182,0.1712367333285701
2026,META_STOP,1789,400,histgb|decision|learning_rate=0.03|max_iter=180|max_leaf_nodes=7|min_samples_leaf=45|l2_regularization=3.0,0.7685821040688802,-0.4055524462579662,0.7336855307665996,0.4532270940168287,0.1447094640901561
2026,META_NEGATIVE,1789,400,robust_logit|decision|C=0.02,0.6244715175376085,0.11159746087156,0.5216733870967742,0.6640601579329959,0.2355721366174288
2026,META_K1_STOP,1053,242,spline_logit|decision|C=0.1|n_knots=3,0.9581348311726036,-0.3118989717669118,0.691904047976012,0.5092486265640773,0.1679775679096056
