signal_id,decision,entry_time,exit_time,year,dir,rid,k,L,entry,stop,exit,exit_reason,stop_hit,same_m1_exit_stop_ambiguous,pnl,R,early3,W,meta_p_k1_stop,prior_oof_q0975,veto,candidate_W,baseline_weighted_pnl,baseline_weighted_R
202401261200_S_1,2024-01-26 12:00:00,2024-01-26 12:00:00,2024-01-26 13:01:00,2024,-1,1015,1,1,2020.78,2023.79,2023.79,HARD_SL,1,0,-3.009999999999991,-1.0,0,3.0,0.7851127370169291,0.7530332889269024,True,0.0,-9.029999999999973,-3.0
202402070800_S_1,2024-02-07 08:00:00,2024-02-07 08:00:00,2024-02-07 15:36:00,2024,-1,1035,1,2,2033.27,2036.15,2036.15,HARD_SL,1,0,-2.880000000000109,-1.0,0,1.0,0.8096519545713475,0.7530332889269024,True,0.0,-2.880000000000109,-1.0
202402150800_S_1,2024-02-15 08:00:00,2024-02-15 08:00:00,2024-02-15 09:31:00,2024,-1,1045,1,1,1991.95,1994.32,1994.32,HARD_SL,1,0,-2.369999999999891,-1.0,0,1.0,0.7946020606823809,0.7530332889269024,True,0.0,-2.369999999999891,-1.0
202402200400_S_1,2024-02-20 04:00:00,2024-02-20 04:00:00,2024-02-20 05:29:00,2024,-1,1051,1,1,2016.9,2018.41,2018.41,HARD_SL,1,0,-1.509999999999991,-1.0,0,1.0,0.8059681695840903,0.7530332889269024,True,0.0,-1.509999999999991,-1.0
202403010800_L_1,2024-03-01 08:00:00,2024-03-01 08:00:00,2024-03-01 10:18:00,2024,1,1070,1,17,2045.05,2042.78,2042.78,HARD_SL,1,0,-2.269999999999982,-1.0,1,1.0,0.8582054668945929,0.7530332889269024,True,0.0,-2.269999999999982,-1.0
202403111200_L_1,2024-03-11 12:00:00,2024-03-11 12:00:00,2024-03-11 12:45:00,2024,1,1078,1,5,2180.41,2176.8,2176.8,HARD_SL,1,0,-3.6099999999996726,-1.0,1,1.0,0.7548854530172844,0.7530332889269024,True,0.0,-3.6099999999996726,-1.0
202405060400_S_1,2024-05-06 04:00:00,2024-05-06 04:00:00,2024-05-06 04:02:00,2024,-1,1151,1,1,2295.94,2303.38,2303.38,HARD_SL,1,0,-7.440000000000055,-1.0,0,3.0,0.817726186176345,0.7530332889269024,True,0.0,-22.320000000000164,-3.0
202405270400_L_1,2024-05-27 04:00:00,2024-05-27 04:00:00,2024-05-28 04:00:00,2024,1,1170,1,6,2336.08,2331.81,2351.7,FAST_NHA,0,0,15.61999999999989,3.65807962529273,1,1.0,0.8042405783666189,0.7530332889269024,True,0.0,15.61999999999989,3.65807962529273
202405310800_S_1,2024-05-31 08:00:00,2024-05-31 08:00:00,2024-05-31 15:32:00,2024,-1,1175,1,2,2344.07,2347.53,2347.53,HARD_SL,1,0,-3.4600000000000364,-1.0,0,1.0,0.7697291433309229,0.7530332889269024,True,0.0,-3.4600000000000364,-1.0
202407050400_L_1,2024-07-05 04:00:00,2024-07-05 04:00:00,2024-07-05 15:30:00,2024,1,1216,1,7,2358.83,2356.01,2356.01,HARD_SL,1,0,-2.819999999999709,-1.0,1,3.0,0.8321942222222543,0.7530332889269024,True,0.0,-8.459999999999127,-3.0
202409120400_S_1,2024-09-12 04:00:00,2024-09-12 04:00:00,2024-09-12 07:04:00,2024,-1,1305,1,1,2512.07,2516.81,2516.81,HARD_SL,1,0,-4.739999999999782,-1.0,0,1.0,0.8026195378890387,0.7530332889269024,True,0.0,-4.739999999999782,-1.0
202409240400_S_1,2024-09-24 04:00:00,2024-09-24 04:00:00,2024-09-24 04:13:00,2024,-1,1319,1,1,2625.13,2629.05,2629.05,HARD_SL,1,0,-3.9200000000000728,-1.0,0,3.0,0.7561792616707311,0.7530332889269024,True,0.0,-11.760000000000218,-3.0
202506040400_L_1,2025-06-04 04:00:00,2025-06-04 04:00:00,2025-06-04 04:00:00,2025,1,1626,1,7,3350.24,3347.34,3347.34,HARD_SL,1,0,-2.899999999999636,-1.0,1,1.0,0.7249566089724007,0.6389802075922445,True,0.0,-2.899999999999636,-1.0
202506200400_S_1,2025-06-20 04:00:00,2025-06-20 04:00:00,2025-06-20 20:00:00,2025,-1,1649,1,4,3368.12,3375.42,3371.44,FAST_NHA,0,0,-3.320000000000164,-0.4547945205479562,1,1.0,0.7640188957108983,0.6389802075922445,True,0.0,-3.320000000000164,-0.4547945205479562
202508130400_S_1,2025-08-13 04:00:00,2025-08-13 04:00:00,2025-08-13 04:46:00,2025,-1,1721,1,1,3343.54,3350.84,3350.84,HARD_SL,1,0,-7.300000000000182,-1.0,0,3.0,0.6916403775975828,0.6389802075922445,True,0.0,-21.900000000000546,-3.0
202511210400_S_1,2025-11-21 04:00:00,2025-11-21 04:00:00,2025-11-21 16:00:00,2025,-1,1849,1,3,4068.52,4087.11,4079.72,FAST_NHA,0,0,-11.199999999999818,-0.6024744486282803,1,3.0,0.6810350315508605,0.6389802075922445,True,0.0,-33.599999999999454,-1.8074233458848408
202512180400_S_1,2025-12-18 04:00:00,2025-12-18 04:00:00,2025-12-18 16:00:00,2025,-1,1889,1,3,4331.55,4346.44,4336.14,FAST_NHA,0,0,-4.5900000000001455,-0.30826057756886,1,3.0,0.6498737369392517,0.6389802075922445,True,0.0,-13.770000000000437,-0.92478173270658
202603051200_S_1,2026-03-05 12:00:00,2026-03-05 12:00:00,2026-03-06 04:00:00,2026,-1,1979,1,4,5160.89,5194.94,5134.44,FAST_NHA,0,0,26.450000000000728,0.776798825257013,1,1.0,0.4997804140945083,0.4937907096780845,True,0.0,26.450000000000728,0.776798825257013
202605010400_L_1,2026-05-01 04:00:00,2026-05-01 04:00:00,2026-05-01 08:00:00,2026,1,2056,1,1,4619.63,4607.56,4609.1,FAST_NHA,0,0,-10.529999999999744,-0.8724109362054681,0,1.0,0.4992298859618554,0.4937907096780845,True,0.0,-10.529999999999744,-0.8724109362054681
202605220800_S_1,2026-05-22 08:00:00,2026-05-22 08:00:00,2026-05-22 16:00:00,2026,-1,2079,1,2,4527.19,4545.98,4528.44,FAST_NHA,0,0,-1.25,-0.0665247472059607,0,1.0,0.5210202837672927,0.4937907096780845,True,0.0,-1.25,-0.0665247472059607
202605251600_L_1,2026-05-25 16:00:00,2026-05-25 16:00:00,2026-05-26 03:01:00,2026,1,2084,1,3,4567.62,4550.46,4550.46,HARD_SL,1,0,-17.159999999999854,-1.0,1,1.0,0.5291022638072522,0.4937907096780845,True,0.0,-17.159999999999854,-1.0
