period,policy,outcome_convention,rows,entries,units,pnl,gross_profit,gross_loss,pf,R,pf_R,dd_pnl,dd_R,oracle_recall,oracle_precision,weighted_position_hours,max_single_units,max_committed_units,l6_positive_child_retention,ambiguous_selected
2024,R2_DEFAULT,conservative_stop,1496,597,1171.0,629.6505019888625,6679.100000000005,-6049.449498011142,1.104083933950663,199.1216467930292,1.4233114373436306,940.0100494989792,52.406940160939016,0.6832298136645962,0.3685092127303183,21440.816666666666,3.0,7.0,0.3771570914731251,2
2024,R2_DEFAULT,alternative_nha_first,1496,597,1171.0,635.3205019888621,6679.100000000005,-6043.779498011143,1.1051197354565847,199.6505541704173,1.424913611371032,934.3400494989796,52.406940160939016,0.6832298136645962,0.3685092127303183,21440.816666666666,3.0,7.0,0.3771570914731251,2
2024,ROBUST_C05,conservative_stop,1496,585,1151.0,686.4405019888616,6663.480000000005,-5977.039498011143,1.114846238211622,214.4635671677364,1.4751176707162277,923.5100494989792,45.406940160939016,0.6708074534161491,0.3692307692307692,21354.266666666663,3.0,7.0,0.3746644878992231,2
2024,ROBUST_C05,alternative_nha_first,1496,585,1151.0,692.1105019888612,6663.480000000005,-5971.369498011143,1.1159048191908707,214.99247454512457,1.4768481369205473,917.8400494989796,45.406940160939016,0.6708074534161491,0.3692307692307692,21354.266666666663,3.0,7.0,0.3746644878992231,2
2024,SHALLOW_HISTGB,conservative_stop,1496,568,1116.0,603.3405019888642,6493.060000000007,-5889.719498011144,1.1024395987266629,200.3707915293967,1.4662462259517337,915.4400494989792,40.84620174597517,0.6459627329192547,0.3661971830985915,20998.2,3.0,7.0,0.3689787346765517,2
2024,SHALLOW_HISTGB,alternative_nha_first,1496,568,1116.0,609.0105019888638,6493.060000000007,-5884.049498011143,1.1035019338628462,200.8996989067849,1.4680529934659268,909.7700494989796,40.84620174597517,0.6459627329192547,0.3661971830985915,20998.2,3.0,7.0,0.3689787346765517,2
2024,STABLE_INTERSECTION,conservative_stop,1496,586,1154.0,664.1205019888614,6663.480000000005,-5999.359498011143,1.1106985674402452,211.4635671677364,1.4653785724175414,923.5100494989792,45.406940160939016,0.6708074534161491,0.3686006825938566,21354.36666666667,3.0,7.0,0.3746644878992231,2
2024,STABLE_INTERSECTION,alternative_nha_first,1496,586,1154.0,669.790501988861,6663.480000000005,-5993.689498011144,1.1117492826765742,211.99247454512457,1.467086250878998,917.8400494989796,45.406940160939016,0.6708074534161491,0.3686006825938566,21354.36666666667,3.0,7.0,0.3746644878992231,2
2024,STABLE_UNION,conservative_stop,1496,567,1113.0,625.6605019888643,6493.060000000007,-5867.399498011143,1.1066333564300406,203.37079152939668,1.4765536800796164,915.4400494989792,37.84620174597518,0.6459627329192547,0.3668430335097001,20998.1,3.0,7.0,0.3689787346765517,2
2024,STABLE_UNION,alternative_nha_first,1496,567,1113.0,631.330501988864,6493.060000000007,-5861.729498011144,1.107703793258128,203.8996989067849,1.4783859552716678,909.7700494989796,37.84620174597518,0.6459627329192547,0.3668430335097001,20998.1,3.0,7.0,0.3689787346765517,2
2025,R2_DEFAULT,conservative_stop,1486,573,1101.0,5569.066429469202,14263.890000000009,-8694.823570530805,1.6405036725925446,208.6577297398382,1.5272818973276503,745.4105094097317,28.471161641658327,0.7248520710059172,0.4275741710296684,23271.51666666667,3.0,6.0,0.4417452823444295,2
2025,R2_DEFAULT,alternative_nha_first,1486,573,1101.0,5573.376429469203,14263.890000000009,-8690.513570530806,1.641317269024043,208.232005427168,1.5256405931605408,745.4105094097317,28.471161641658327,0.7248520710059172,0.4275741710296684,23271.51666666667,3.0,6.0,0.4417452823444295,2
