year,relation,N,n2r1_accuracy,tick_accuracy
2024,DISAGREE,412,0.5679611650485437,0.4320388349514563
2024,AGREE,384,0.578125,0.578125
2025,DISAGREE,433,0.5704387990762124,0.4295612009237875
2025,AGREE,377,0.5809018567639257,0.5809018567639257
2026,DISAGREE,287,0.5644599303135889,0.4355400696864111
2026,AGREE,251,0.5856573705179283,0.5856573705179283
