year,N_aligned,N_joint_placebo,aligned_coverage,joint_placebo_coverage,tick_accuracy,shifted_placebo_accuracy,aligned_accuracy_on_joint,n2r1_accuracy,tick_long_rate,placebo_long_rate,tick_n2_agree_rate,avote_NET_N,avote_NET_accuracy,avote_MOVE_N,avote_MOVE_accuracy,avote_MAG_N,avote_MAG_accuracy,avote_CLV_N,avote_CLV_accuracy,avote_RUN_N,avote_RUN_accuracy
2024,796,769,0.998745294855709,0.9648682559598495,0.5025125628140703,0.505851755526658,0.505851755526658,0.5728643216080402,0.49748743718592964,0.5123537061118335,0.4824120603015075,796,0.5012562814070352,795,0.4918238993710692,796,0.5012562814070352,796,0.5050251256281407,796,0.5314070351758794
2025,810,765,0.995085995085995,0.9398034398034398,0.5,0.47581699346405226,0.5045751633986928,0.5753086419753086,0.47901234567901235,0.4745098039215686,0.4654320987654321,810,0.5,808,0.474009900990099,810,0.5,810,0.4876543209876543,810,0.508641975308642
2026,538,489,1.0,0.9089219330855018,0.5055762081784386,0.47443762781186094,0.5071574642126789,0.5743494423791822,0.5,0.5378323108384458,0.46654275092936803,538,0.5055762081784386,538,0.5074349442379182,538,0.5055762081784386,538,0.5260223048327137,538,0.516728624535316
