year,N,aligned_panel_coverage,placebo_panel_coverage,joint_panel_coverage,aligned_mean_active_voters,placebo_mean_active_voters,avote_NET_availability,avote_MOVE_availability,avote_MAG_availability,avote_CLV_availability,avote_RUN_availability,pvote_NET_availability,pvote_MOVE_availability,pvote_MAG_availability,pvote_CLV_availability,pvote_RUN_availability
ALL,2149,0.9976733364355514,0.9422987436016752,0.9413680781758957,4.989762680316426,4.710097719869707,0.9986040018613308,0.9962773382968823,0.9986040018613308,0.9981386691484412,0.9981386691484412,0.9432294090274547,0.937645416472778,0.9432294090274547,0.9432294090274547,0.9427640763145649
2024,797,0.998745294855709,0.9661229611041405,0.9648682559598495,4.9974905897114175,4.824341279799247,1.0,0.9974905897114178,1.0,1.0,1.0,0.9673776662484316,0.9560853199498118,0.9673776662484316,0.9673776662484316,0.9661229611041405
2025,814,0.995085995085995,0.941031941031941,0.9398034398034398,4.975429975429975,4.702702702702703,0.9963144963144963,0.9926289926289926,0.9963144963144963,0.995085995085995,0.995085995085995,0.941031941031941,0.9385749385749386,0.941031941031941,0.941031941031941,0.941031941031941
2026,538,1.0,0.9089219330855018,0.9089219330855018,5.0,4.552044609665428,1.0,1.0,1.0,1.0,1.0,0.9107806691449815,0.9089219330855018,0.9107806691449815,0.9107806691449815,0.9107806691449815
