series,N,N_corr,corr_tickcount_vs_m1_tickvol,source_zero_rate,tick_missing_rate,zero_missing_match_rate
aligned,2149,2149,0.981583870181304,0.0,0.0,1.0
placebo,2149,2029,0.9862998182385551,0.05583992554676594,0.05583992554676594,1.0
