barrier_atr,year,horizon,N,base_rate,auc,brier,mean_pred
1.25,2024,15,14294,0.5241360011193508,0.7197261122439256,0.21335150379984583,0.5075057247102167
1.25,2024,30,14294,0.7587099482300266,0.7378479352899745,0.15992318468550526,0.7497229090498798
1.25,2024,60,14294,0.9090527494053449,0.8003192005777815,0.07409833209447694,0.8945288027650521
1.25,2025,15,13958,0.5296604098008311,0.6866980755864138,0.22333447455233332,0.5134248768172707
1.25,2025,30,13958,0.7607823470411234,0.7004337752480544,0.1667571932643851,0.7409972372678567
1.25,2025,60,13958,0.9129531451497349,0.751514347100595,0.07380696374189263,0.9025556885138974
1.25,2026,15,9352,0.5187125748502994,0.67495402084541,0.22681172743894137,0.5383878385722559
1.25,2026,30,9352,0.7666809238665526,0.7030924375548899,0.16253182640558764,0.7614716222100859
1.25,2026,60,9352,0.9171300256629598,0.7500870670623235,0.06995375064316846,0.915362329794245
