family,sl_mult,rr,min_WR,mean_WR,min_EV,mean_EV,min_avg_win,max_time_stop,max_ambig
atr,0.75,1.0,0.5321637426900585,0.5546390852753775,0.06432748538011696,0.10927817055075499,1.0,0.0,4
atr,0.75,1.1,0.5087719298245614,0.5280178057083006,0.06842105263157897,0.1088373919874313,1.0999999999999996,0.0,3
atr,0.75,1.2000000000000002,0.5,0.5153399668325042,0.10000000000000009,0.13374792703150923,1.2,0.0,3
atr,0.75,1.3000000000000003,0.4853801169590643,0.5013965261412237,0.11637426900584807,0.15321201012481467,1.3000000000000003,0.0,2
atr,0.75,1.4000000000000004,0.4766081871345029,0.48954787466177885,0.1438596491228072,0.17491489918826936,1.4000000000000004,0.0,2
atr,0.75,1.5000000000000004,0.4678362573099415,0.47769922318233393,0.1695906432748541,0.19424805795583516,1.5000000000000004,0.0,2
atr,0.75,1.6000000000000005,0.4473684210526316,0.4558566815047569,0.16315789473684233,0.1852273719123682,1.6000000000000008,0.0,2
atr,0.75,1.7000000000000006,0.4269005847953216,0.4406476389979925,0.15263157894736865,0.18974862529457995,1.7000000000000006,0.0,2
atr,0.75,1.8000000000000007,0.41228070175438597,0.426704198306712,0.154385964912281,0.19477175525879403,1.8000000000000007,0.0,2
atr,0.75,1.9000000000000008,0.40058479532163743,0.4167103081085799,0.1616959064327489,0.20845989351488212,1.900000000000001,0.0,2
atr,0.75,2.000000000000001,0.3742690058479532,0.3969189142009252,0.12280701754385998,0.19075674260277595,2.0000000000000004,0.0,2
atr,1.0,1.0,0.5614035087719298,0.5725757179017195,0.12280701754385964,0.14515143580343892,1.0,0.0,0
atr,1.0,1.1,0.5380116959064327,0.5492711879200489,0.1298245614035088,0.15346949463210266,1.0999999999999996,0.0,0
atr,1.0,1.2000000000000002,0.52046783625731,0.5288906345465654,0.14502923976608192,0.16355939600244399,1.2,0.0,0
atr,1.0,1.3000000000000003,0.48830409356725146,0.5028585144453173,0.12309941520467851,0.1565745832242299,1.3000000000000005,0.0,0
atr,1.0,1.4000000000000004,0.4678362573099415,0.4868202845422013,0.12280701754385981,0.16836868290128323,1.4000000000000004,0.0,0
atr,1.0,1.5000000000000004,0.4415204678362573,0.4628829536527887,0.10380116959064344,0.15720738413197188,1.5000000000000004,0.0,0
atr,1.0,1.6000000000000005,0.43567251461988304,0.4500087282883827,0.13274853801169614,0.1700226935497951,1.6000000000000008,0.0,0
atr,1.0,1.7000000000000006,0.42105263157894735,0.43855284978615694,0.13684210526315818,0.184092694422624,1.7000000000000008,0.0,0
atr,1.0,1.8000000000000007,0.40350877192982454,0.41983067120537665,0.1298245614035091,0.17552587937505487,1.8000000000000005,0.0,0
atr,1.0,1.9000000000000008,0.3888888888888889,0.404228855721393,0.12777777777777805,0.17186638226159445,1.8981061541797744,0.001658374792703151,0
atr,1.0,2.000000000000001,0.37719298245614036,0.39340577812690936,0.13157894736842138,0.17973711631064748,1.9976552915282697,0.001658374792703151,0
atr,1.25,1.0,0.564327485380117,0.5698917692240553,0.1286549707602339,0.1397835384481103,1.0,0.0,0
atr,1.25,1.1,0.5292397660818714,0.5423976608187135,0.11140350877192982,0.13903508771929823,1.0999999999999996,0.0,0
atr,1.25,1.2000000000000002,0.5,0.5145107794361525,0.10000000000000009,0.13192371475953574,1.2000000000000002,0.0,0
atr,1.25,1.3000000000000003,0.49122807017543857,0.4960286287858951,0.12982456140350895,0.14086584620755888,1.3000000000000005,0.0,0
atr,1.25,1.4000000000000004,0.47953216374269003,0.4835471763987082,0.14817143445333883,0.15916034409234114,1.3943575035551337,0.0029239766081871343,0
atr,1.25,1.5000000000000004,0.45321637426900585,0.4620974076983504,0.13138478283700897,0.15441544282812314,1.4933847134389797,0.008771929824561403,0
atr,1.25,1.6000000000000005,0.43567251461988304,0.4466919787029764,0.1307999875153717,0.15897437196524886,1.5924471851210869,0.008771929824561403,0
atr,1.25,1.7000000000000006,0.41812865497076024,0.4287989875185476,0.1267064202639097,0.15415588831526592,1.6887095467512192,0.008771929824561403,1
atr,1.25,1.8000000000000007,0.4152046783625731,0.42319106223269615,0.15462843069221077,0.17806714228563533,1.777633508095218,0.014619883040935672,1
atr,1.25,1.9000000000000008,0.4064327485380117,0.4113424107532513,0.16983310905478388,0.1839428034307805,1.8749925046728122,0.014619883040935672,1
atr,1.25,2.000000000000001,0.39473684210526316,0.39637339617700973,0.17451147162788327,0.17828110240176473,1.9699024671038106,0.014619883040935672,1
atr,1.5,1.0,0.5497076023391813,0.5609234529108842,0.09941520467836257,0.12104071655654482,0.997181842742436,0.001658374792703151,0
atr,1.5,1.1,0.5409356725146199,0.5424413022606267,0.13390504528031638,0.13720769324226467,1.0961920296533414,0.0029239766081871343,0
atr,1.5,1.2000000000000002,0.5087719298245614,0.5164091821593786,0.11903897595091874,0.13499853917458082,1.1953765832521162,0.008771929824561403,0
atr,1.5,1.3000000000000003,0.49122807017543857,0.49685781618224667,0.12927289407957376,0.14059448904470567,1.2924270582770037,0.008771929824561403,0
