h,year,pmove_quintile,n,mean_pmove,q_auc,q_acc
30,2024,1,92,0.011570068829185612,0.9071117561683599,0.8260869565217391
30,2024,2,92,0.043644627521425006,0.8957436633189861,0.8369565217391305
30,2024,3,91,0.10352116122249373,0.915686274509804,0.8681318681318682
30,2024,4,92,0.20875789960264454,0.9114583333333333,0.8152173913043478
30,2024,5,92,0.4550593744019516,0.825,0.7065217391304348
30,2025,1,469,0.06963206827561337,0.8896722212049075,0.8123667377398721
30,2025,2,468,0.19914468284512005,0.8738859180035651,0.7991452991452992
30,2025,3,468,0.358687546604889,0.8787073845421071,0.7756410256410257
30,2025,4,468,0.5488502196353232,0.8588664421997755,0.7628205128205128
30,2025,5,468,0.8041967454890393,0.8028933092224232,0.7243589743589743
30,2026,1,909,0.25514413745919,0.8759128719831291,0.7953795379537953
30,2026,2,908,0.4932826430501572,0.8593850345431547,0.7786343612334802
30,2026,3,908,0.6847209027282523,0.8460089773614364,0.7555066079295154
30,2026,4,908,0.8420167150178955,0.8088100336494342,0.7213656387665198
30,2026,5,909,0.9626219278763851,0.7250029117167481,0.6567656765676567
60,2024,1,241,0.0306013817605113,0.8126384274640088,0.7178423236514523
60,2024,2,241,0.08672924457388924,0.864975110619469,0.7593360995850622
60,2024,3,241,0.18439787612297062,0.867383761276891,0.7759336099585062
60,2024,4,241,0.32494689870147825,0.898936170212766,0.7883817427385892
60,2024,5,241,0.5826001822244564,0.8473669187954902,0.7676348547717843
60,2025,1,862,0.12806681343246432,0.8421998154951689,0.7436194895591647
60,2025,2,862,0.3039517960877728,0.8373238487861396,0.7459396751740139
60,2025,3,862,0.4849130608994346,0.8634286608294086,0.7807424593967517
60,2025,4,862,0.6643670403462498,0.8466354435831179,0.7610208816705336
60,2025,5,862,0.8515197942151064,0.7989629103127422,0.7215777262180975
60,2026,1,1309,0.44853779416673883,0.8123296377374479,0.7265087853323148
60,2026,2,1308,0.6826831676021086,0.8246999612853272,0.7385321100917431
60,2026,3,1308,0.8127736198649667,0.8074308025050188,0.7270642201834863
60,2026,4,1308,0.9062924597432117,0.8125960061443933,0.735474006116208
60,2026,5,1309,0.9763143059312188,0.7199211045364892,0.6600458365164248
