h,year,n_nonoverlap_movers,auc,ci025,ci975
15,2024,122,0.8314789687924017,0.7700495152799178,0.8813440679092013
15,2025,857,0.8577448608763849,0.8210955862273627,0.8919619465144856
15,2026,2140,0.8384575773445089,0.8108596383449677,0.8736576390420461
30,2024,230,0.8942483262325015,0.8563433519723079,0.9265763428656841
30,2025,1287,0.8690924207946789,0.8503254464938641,0.8889163374677067
30,2026,2350,0.8217142575009384,0.7931889499754994,0.8506910658348855
60,2024,376,0.828542999289268,0.7855643392612035,0.8682615690896941
60,2025,1433,0.8461487505406597,0.8221456945432983,0.8702601679231529
60,2026,2098,0.8014820184373512,0.7749877613083439,0.8308985325488107
