alignment,horizon_min,year,eval_all_n,move_rate,v8a_plus_v8b_logloss,v8a_plus_prior_logloss,v8a_plus_50_50_logloss
COMPLETED_ONLY,15,2024,14330,0.011584089323098396,0.059365454561750956,0.05992059612094796,0.05944758181284131
COMPLETED_ONLY,15,2025,14010,0.0801570306923626,0.25561968419389736,0.2546806508992864,0.2550638837253439
COMPLETED_ONLY,15,2026,9373,0.2933959244638856,0.6597212334840755,0.6586533421646523,0.6576815553091618
COMPLETED_ONLY,30,2024,14330,0.03203070481507327,0.1342683134352639,0.13464568279257583,0.13443897979140917
COMPLETED_ONLY,30,2025,14010,0.16709493219129193,0.44096308533930695,0.43923456107402453,0.43979108053518406
COMPLETED_ONLY,30,2026,9373,0.4845833777872613,0.8767170953607263,0.8748527053680072,0.874339842680724
COMPLETED_ONLY,60,2024,14330,0.08408932309839498,0.29227962437551297,0.29188353562657815,0.2911708593364151
COMPLETED_ONLY,60,2025,14010,0.3076374018558173,0.6709789408021313,0.6684347125521606,0.6685172809087147
COMPLETED_ONLY,60,2026,9373,0.6979622319428145,0.9808197111402077,0.9789538226978407,0.979472514101063
CAUSAL_PARTIAL_HTF,15,2024,13741,0.011571210246706936,0.05927143022718397,0.059670676977871887,0.05925845078128465
CAUSAL_PARTIAL_HTF,15,2025,13369,0.07988630413643504,0.2559218004719809,0.25517919509398235,0.25563699424323494
CAUSAL_PARTIAL_HTF,15,2026,8949,0.29377584087607556,0.664708051157371,0.6637399362124182,0.6623974100716176
CAUSAL_PARTIAL_HTF,30,2024,13741,0.03274870824539699,0.13653868767842578,0.13685655444209616,0.13668882224877676
CAUSAL_PARTIAL_HTF,30,2025,13369,0.1688981973221632,0.4458813228091883,0.4436586425862629,0.4443196086478376
CAUSAL_PARTIAL_HTF,30,2026,8949,0.48765225164822884,0.8821332697374107,0.8805451983816719,0.8797968392006935
CAUSAL_PARTIAL_HTF,60,2024,13741,0.08689323921112001,0.3005406829244381,0.30018695527149825,0.2995257980800083
CAUSAL_PARTIAL_HTF,60,2025,13369,0.31169122597052884,0.6780012324665944,0.6757062412573731,0.675886812168979
CAUSAL_PARTIAL_HTF,60,2026,8949,0.7033188065705666,0.9838040469914848,0.9818913472645397,0.9823759479883069
