alignment,horizon_min,year,event_flag,n_movers,conditional_auc
COMPLETED_ONLY,15,2024,em,67,0.618131868131868
COMPLETED_ONLY,15,2024,eu,37,0.6875
COMPLETED_ONLY,15,2024,el,47,0.7217741935483871
COMPLETED_ONLY,15,2024,edb,28,0.6631016042780749
COMPLETED_ONLY,15,2025,em,511,0.5361250275703437
COMPLETED_ONLY,15,2025,eu,227,0.5486111111111112
COMPLETED_ONLY,15,2025,el,362,0.4865309546085105
COMPLETED_ONLY,15,2025,edb,82,0.49841872232764073
COMPLETED_ONLY,15,2026,em,1345,0.534758684141848
COMPLETED_ONLY,15,2026,eu,592,0.539510409517273
COMPLETED_ONLY,15,2026,el,782,0.489728835978836
COMPLETED_ONLY,15,2026,edb,145,0.5629544584768466
COMPLETED_ONLY,30,2024,em,185,0.5127950310559006
COMPLETED_ONLY,30,2024,eu,109,0.47575136612021857
COMPLETED_ONLY,30,2024,el,141,0.5815240527884206
COMPLETED_ONLY,30,2024,edb,46,0.5233265720081136
COMPLETED_ONLY,30,2025,em,1139,0.5136544685088374
COMPLETED_ONLY,30,2025,eu,516,0.5148924642174496
COMPLETED_ONLY,30,2025,el,659,0.5097625329815303
COMPLETED_ONLY,30,2025,edb,126,0.5154665314401622
COMPLETED_ONLY,30,2026,em,2276,0.5295992977917684
COMPLETED_ONLY,30,2026,eu,1028,0.5238302692341203
COMPLETED_ONLY,30,2026,el,1211,0.4762240293032258
COMPLETED_ONLY,30,2026,edb,190,0.5653283052351374
COMPLETED_ONLY,60,2024,em,551,0.533831046542911
COMPLETED_ONLY,60,2024,eu,288,0.5272350074781685
COMPLETED_ONLY,60,2024,el,324,0.49756951195800114
COMPLETED_ONLY,60,2024,edb,94,0.5041162227602907
COMPLETED_ONLY,60,2025,em,2176,0.5049571865883171
COMPLETED_ONLY,60,2025,eu,965,0.4862113402061855
COMPLETED_ONLY,60,2025,el,1128,0.5312690256051129
COMPLETED_ONLY,60,2025,edb,200,0.5518038388101698
COMPLETED_ONLY,60,2026,em,3336,0.5079707170224412
COMPLETED_ONLY,60,2026,eu,1504,0.5335704230831806
COMPLETED_ONLY,60,2026,el,1694,0.47744593923366985
COMPLETED_ONLY,60,2026,edb,236,0.5014400921658986
CAUSAL_PARTIAL_HTF,15,2024,em,66,0.6221804511278195
CAUSAL_PARTIAL_HTF,15,2024,eu,33,0.6777777777777778
CAUSAL_PARTIAL_HTF,15,2024,el,44,0.7232142857142857
CAUSAL_PARTIAL_HTF,15,2024,edb,28,0.5080213903743316
CAUSAL_PARTIAL_HTF,15,2025,em,490,0.5357786512418254
CAUSAL_PARTIAL_HTF,15,2025,eu,205,0.5545241352354896
CAUSAL_PARTIAL_HTF,15,2025,el,345,0.4928715437788019
CAUSAL_PARTIAL_HTF,15,2025,edb,82,0.4573055028462998
CAUSAL_PARTIAL_HTF,15,2026,em,1274,0.5306565636646882
CAUSAL_PARTIAL_HTF,15,2026,eu,562,0.5407514744763067
CAUSAL_PARTIAL_HTF,15,2026,el,749,0.49836856086856085
CAUSAL_PARTIAL_HTF,15,2026,edb,145,0.5197091465748183
CAUSAL_PARTIAL_HTF,30,2024,em,183,0.5188369152970923
CAUSAL_PARTIAL_HTF,30,2024,eu,104,0.49325337331334335
CAUSAL_PARTIAL_HTF,30,2024,el,138,0.599426807760141
CAUSAL_PARTIAL_HTF,30,2024,edb,46,0.5091277890466531
CAUSAL_PARTIAL_HTF,30,2025,em,1105,0.5043468767987932
CAUSAL_PARTIAL_HTF,30,2025,eu,481,0.5065848755805088
CAUSAL_PARTIAL_HTF,30,2025,el,637,0.49896641874227354
CAUSAL_PARTIAL_HTF,30,2025,edb,126,0.5415821501014197
CAUSAL_PARTIAL_HTF,30,2026,em,2178,0.5294357369945123
CAUSAL_PARTIAL_HTF,30,2026,eu,975,0.5143317203122629
CAUSAL_PARTIAL_HTF,30,2026,el,1166,0.4890695664527739
CAUSAL_PARTIAL_HTF,30,2026,edb,190,0.539374445430346
CAUSAL_PARTIAL_HTF,60,2024,em,547,0.5284369885433715
CAUSAL_PARTIAL_HTF,60,2024,eu,283,0.5189348521183053
CAUSAL_PARTIAL_HTF,60,2024,el,319,0.4996396829209705
CAUSAL_PARTIAL_HTF,60,2024,edb,94,0.47990314769975784
CAUSAL_PARTIAL_HTF,60,2025,em,2116,0.5072361444812821
CAUSAL_PARTIAL_HTF,60,2025,eu,909,0.48375853221668197
CAUSAL_PARTIAL_HTF,60,2025,el,1089,0.5289588374441665
CAUSAL_PARTIAL_HTF,60,2025,edb,200,0.5486885740126619
CAUSAL_PARTIAL_HTF,60,2026,em,3206,0.5102787132497262
CAUSAL_PARTIAL_HTF,60,2026,eu,1421,0.5311293837923519
CAUSAL_PARTIAL_HTF,60,2026,el,1631,0.48342251964414057
CAUSAL_PARTIAL_HTF,60,2026,edb,236,0.5086405529953917
