decision_time,model_year,max_feature_abs_diff,p15_pct,p30_pct,p60_pct
2024-01-02 09:25:00,2024,1.2756462552943049e-13,0.19209587544861542,0.8718113615414422,3.013418935420928
2024-02-12 01:15:00,2024,1.2723155862204294e-13,0.12489325112322272,0.5043082770055565,1.6150063102911727
2024-03-21 14:20:00,2024,1.0746958878371515e-13,0.8551618952102626,2.661439893819174,10.398555575731946
2024-05-02 04:35:00,2024,1.5942802633617248e-13,0.13286046917788513,0.6843457469282783,2.320532218014015
2024-06-11 18:30:00,2024,4.596323321948148e-14,0.40430317685553546,2.3841299241506277,8.856172709616054
2024-07-22 13:00:00,2024,5.3290705182007514e-14,0.34830955562058846,1.359508278526822,5.920402916200928
2024-08-30 02:15:00,2024,2.1299628727433628e-13,0.009454676730931233,0.04374740736858586,0.12100371365395603
2024-10-09 16:10:00,2024,4.285460875053104e-14,6.284826253159435,16.317468481672627,36.624845696336564
2024-11-19 05:30:00,2024,5.995204332975845e-14,0.22701989393325955,0.9420130761173312,3.4836444848739054
2024-12-31 10:40:00,2024,6.306066779870889e-14,0.18467381605010313,0.6534371912868298,2.230148051104843
2025-01-02 16:25:00,2025,2.6756374893466273e-14,1.8055609811865398,6.458695262358706,21.07210757039163
2025-02-12 04:55:00,2025,4.773959005888173e-14,0.6302122333022351,2.5634091697018824,10.0719593102692
2025-03-24 14:25:00,2025,6.505906924303417e-14,0.9627838652220863,2.6257222985848983,9.705685063202216
2025-05-05 01:20:00,2025,2.4780177909633494e-13,5.20726035466853,14.649740816599365,35.668816164755654
2025-06-12 11:45:00,2025,1.1235457009206584e-13,4.5645662260388224,15.307056079008644,36.02535183371439
2025-07-23 04:15:00,2025,1.2012613126444194e-13,4.47414875036787,15.799879124618837,35.81209931791047
2025-09-01 12:15:00,2025,3.19300141882195e-13,1.082626662369346,4.333205400382389,12.287807312419382
2025-10-09 22:40:00,2025,6.128431095930864e-14,6.672784782205679,19.709678677408867,43.006554612398915
2025-11-19 08:35:00,2025,5.639932965095795e-14,19.89005355527375,36.922875401752236,62.458427798226055
2025-12-31 10:40:00,2025,8.615330671091215e-14,8.250259538995984,20.067092225504958,46.76766147170929
2026-01-02 16:25:00,2026,7.638334409421077e-14,23.03736593493513,53.94657547509469,80.86933318715438
2026-01-29 12:10:00,2026,1.3322676295501878e-14,71.62118895129898,88.90493355895288,95.75568225066074
2026-02-25 07:55:00,2026,5.773159728050814e-14,33.50208912160234,57.63913102101925,80.67674061372941
2026-03-24 00:05:00,2026,2.6645352591003757e-15,97.21907744497183,98.27300537580007,98.69434199713054
2026-04-20 16:10:00,2026,1.0258460747536446e-13,56.50592793964482,79.62970540628477,91.83139184146542
2026-05-15 09:20:00,2026,1.8607337892717624e-13,55.22360638922842,81.87452255661375,92.67187568444164
2026-06-11 05:05:00,2026,6.52811138479592e-14,61.312958469341616,82.05222627178958,92.19612812413799
2026-07-08 06:15:00,2026,5.551115123125783e-13,16.051569063450362,40.7449358581614,65.53755510824317
2026-08-03 21:25:00,2026,8.768541448489486e-13,2.857590083503531,10.14222846257379,33.1526543395392
2026-08-28 14:35:00,2026,2.2195023596793817e-12,4.698373789049653,19.15986714312756,44.45473780349598
