h,year,n_all,move_rate,train_up_prior,joint_logloss,prior_logloss,sym_logloss,joint_brier,prior_brier,sym_brier
15,2024,14330,0.011584089323098396,0.580952380952381,0.057329872355207756,0.05992059612094796,0.05944758181284131,0.022518304308595014,0.022683993101617655,0.022641586236048925
15,2025,14010,0.0801570306923626,0.4797047970479705,0.24076424281103365,0.2546806508992864,0.2550638837253439,0.12275624357649105,0.12650247481688146,0.12658958729242245
15,2026,9373,0.2933959244638856,0.44045911047345765,0.6016172607618583,0.6586533421646523,0.6576815553091618,0.34319772797388814,0.3680269155937128,0.36673066700514506
30,2024,14330,0.03203070481507327,0.517799352750809,0.12619313009486557,0.13464568279257583,0.13443897979140917,0.056575956085883186,0.057781172557905,0.05774751206331789
30,2025,14010,0.16709493219129193,0.4583333333333333,0.405632219359006,0.43923456107402453,0.43979108053518406,0.2213928203682502,0.23344174980533278,0.23356442265748942
30,2026,9373,0.4845833777872613,0.45899002894821483,0.7886595403907153,0.8748527053680072,0.874339842680724,0.4679312569816506,0.5163405850782009,0.5154469794246426
60,2024,14330,0.08408932309839498,0.5292652552926526,0.27230712016296915,0.29188353562657815,0.2911708593364151,0.1350196527863587,0.1398763940735266,0.1396658070105937
60,2025,14010,0.3076374018558173,0.4770916334661355,0.6108002873929445,0.6684347125521606,0.6685172809087147,0.34790812253192116,0.3753310766238841,0.3753412062035403
60,2026,9373,0.6979622319428145,0.4829059829059829,0.8782493714258971,0.9789538226978407,0.979472514101063,0.5271919039869264,0.5997760725670684,0.5999684144028387
