entry_ts,arrival_side,entry,resolution,eligible,direction,route_id,atr180,atr14,tr,structural_sl,sl_dist,sl_atr180,entry_authorized,entry_reject_reason,next_ts,next_ref,accepted_rank,role,challenge_ts,challenge_ref,base_status,base_exit_ts,base_exit_price,base_pnl,hybrid_status,hybrid_exit_ts,hybrid_exit_price,hybrid_pnl,pnl,changed,year_eval,method,selected_q
2024-01-02 17:37:00,DOWN,2058.16,OLD_PRIMARY_WINS,True,DOWN,164,8.8289345950009,8.818844225605845,12.929999999999836,2078.9,20.74000000000024,2.3490943076805206,True,,2024-01-03 11:44:00,2054.46,1,ANCHOR_CHILD,2024-01-05 16:29:00,2048.19,CHALLENGE_OPENS,2024-01-05 16:29:00,2048.19,9.9699999999998,CHALLENGE_OPENS,2024-01-05 16:29:00,2048.19,9.9699999999998,9.9699999999998,False,2024,MECH_D1,0.95
2024-01-03 11:44:00,DOWN,2054.46,PRIMARY_CONTINUES,True,DOWN,164,8.801049757275239,8.422907380454161,4.399999999999636,2065.95,11.489999999999782,1.3055260811929583,True,,2024-01-03 16:37:00,2031.99,2,CONTINUATION_CHILD,2024-01-05 16:29:00,2048.19,CHALLENGE_OPENS,2024-01-05 16:29:00,2048.19,6.269999999999982,NEXT_H4_LIQ,2024-01-03 16:37:00,2031.99,22.470000000000027,22.470000000000027,False,2024,MECH_D1,0.95
2024-01-03 16:37:00,DOWN,2031.99,PRIMARY_CONTINUES,True,DOWN,164,8.868130101014073,9.326078302534455,18.4699999999998,2065.95,33.95999999999981,3.829443142260224,True,,2024-01-05 15:30:00,2030.61,3,CONTINUATION_CHILD,2024-01-05 16:29:00,2048.19,CHALLENGE_OPENS,2024-01-05 16:29:00,2048.19,-16.200000000000045,NEXT_H4_LIQ,2024-01-05 15:30:00,2030.61,1.3800000000001091,1.3800000000001091,False,2024,MECH_D1,0.95
2024-01-05 15:30:00,DOWN,2030.61,PRIMARY_CONTINUES,True,DOWN,164,8.831771008825994,8.514385865135397,8.600000000000136,2046.95,16.340000000000146,1.850138549071396,True,,2024-01-05 15:31:00,2027.4,4,CONTINUATION_CHILD,2024-01-05 16:29:00,2048.19,SL,2024-01-05 16:28:00,2046.95,-16.340000000000146,NEXT_H4_LIQ,2024-01-05 15:31:00,2027.4,3.209999999999809,3.209999999999809,False,2024,MECH_D1,0.95
2024-01-05 15:31:00,DOWN,2027.4,PRIMARY_CONTINUES,True,DOWN,164,8.831771008825994,8.514385865135397,8.600000000000136,2046.95,19.549999999999955,2.213599059629461,True,,2024-01-05 16:29:00,2048.19,5,CONTINUATION_CHILD,2024-01-05 16:29:00,2048.19,SL,2024-01-05 16:28:00,2046.95,-19.549999999999955,SL,2024-01-05 16:28:00,2046.95,-19.549999999999955,-19.549999999999955,False,2024,MECH_D1,0.95
2024-01-09 09:25:00,UP,2036.84,OLD_PRIMARY_WINS,True,UP,166,8.996952455663616,9.832786886576516,5.539999999999964,2026.06,10.779999999999973,1.1981835019272469,True,,2024-01-10 07:48:00,2025.97,1,ANCHOR_CHILD,2024-01-10 07:48:00,2025.97,SL,2024-01-09 18:09:00,2026.06,-10.779999999999973,SL,2024-01-09 18:09:00,2026.06,-10.779999999999973,-10.779999999999973,False,2024,MECH_D1,0.95
2024-01-16 05:38:00,DOWN,2049.2,OLD_PRIMARY_WINS,True,DOWN,169,8.999862968137357,8.506063213659838,5.599999999999909,2055.49,6.289999999999964,0.6988995301671537,True,,2024-01-17 16:55:00,2013.25,1,ANCHOR_CHILD,2024-01-19 14:04:00,2032.92,CHALLENGE_OPENS,2024-01-19 14:04:00,2032.92,16.279999999999745,CHALLENGE_OPENS,2024-01-19 14:04:00,2032.92,16.279999999999745,16.279999999999745,False,2024,MECH_D1,0.95
2024-01-23 07:33:00,UP,2030.11,CHALLENGER_EARNED,True,UP,170,8.914666319668308,7.75893140514043,3.589999999999918,2019.53,10.579999999999927,1.1868083022532672,True,,2024-01-24 09:44:00,2030.63,1,ANCHOR_CHILD,2024-01-24 16:45:00,2022.74,CHALLENGE_OPENS,2024-01-24 16:45:00,2022.74,-7.369999999999891,CHALLENGE_OPENS,2024-01-24 16:45:00,2022.74,-7.369999999999891,-7.369999999999891,False,2024,MECH_D1,0.95
2024-01-24 17:03:00,DOWN,2021.33,CHALLENGER_EARNED,True,DOWN,171,8.85396318006091,7.636152373310551,7.299999999999954,2037.81,16.480000000000018,1.861313364970041,True,,2024-01-24 17:35:00,2016.41,1,ANCHOR_CHILD,2024-01-26 15:30:00,2025.31,CHALLENGE_OPENS,2024-01-26 15:30:00,2025.31,-3.980000000000018,CHALLENGE_OPENS,2024-01-26 15:30:00,2025.31,-3.980000000000018,-3.980000000000018,False,2024,MECH_D1,0.95
2024-01-24 17:35:00,DOWN,2016.41,PRIMARY_CONTINUES,True,DOWN,171,8.85396318006091,7.636152373310551,7.299999999999954,2037.81,21.399999999999864,2.4169967239295254,True,,2024-01-25 15:30:00,2011.13,2,CONTINUATION_CHILD,2024-01-26 15:30:00,2025.31,CHALLENGE_OPENS,2024-01-26 15:30:00,2025.31,-8.899999999999864,NEXT_H4_LIQ,2024-01-25 15:30:00,2011.13,5.279999999999973,5.279999999999973,False,2024,MECH_D1,0.95
