year,family,model,n_features,auc,ap,pair_auc,last_max,last_pct
2024,SMALL_GEOM,LOGIT,10,0.6676165146909827,0.4120651036837024,0.6436170212765957,0.4406779661016949,0.5724375987768845
2024,SMALL_GEOM,TREE2,10,0.661917426545086,0.4047269951123712,0.6090425531914894,0.6271186440677966,0.5634731670445956
2024,SMALL_GEOM,TREE3,10,0.6146783181357651,0.38343821313432686,0.5930851063829787,0.5932203389830508,0.5551849275063561
2024,SMALL_GEOM,HGB,10,0.636619807497467,0.38835371436437816,0.648936170212766,0.4406779661016949,0.5775727083762798
2024,H4_BASE,LOGIT,35,0.681484295845998,0.45099574704047446,0.6276595744680851,0.4915254237288136,0.574773457362743
2024,H4_BASE,TREE2,35,0.6408941236068896,0.39261036812007793,0.6329787234042553,0.7796610169491526,0.5743802824159967
2024,H4_BASE,TREE3,35,0.6298442249240122,0.3910742255922589,0.6196808510638298,0.5932203389830508,0.5660093709200852
2024,H4_FLOW,LOGIT,51,0.6723657548125633,0.43762272276326075,0.675531914893617,0.5084745762711864,0.593537629698344
2024,H4_FLOW,TREE2,51,0.6408941236068896,0.39261036812007793,0.6329787234042553,0.7796610169491526,0.5743802824159967
2024,H4_FLOW,TREE3,51,0.6298442249240122,0.3910742255922589,0.6196808510638298,0.5932203389830508,0.5660093709200852
2024,H4_ROUTE_REL,LOGIT,80,0.6728090172239108,0.437029993211082,0.6595744680851063,0.5084745762711864,0.5800945251838109
2024,H4_ROUTE_REL,TREE2,80,0.6408941236068896,0.39261036812007793,0.6329787234042553,0.7796610169491526,0.5743802824159967
2024,H4_ROUTE_REL,TREE3,80,0.6298442249240122,0.3910742255922589,0.6196808510638298,0.5932203389830508,0.5660093709200852
2024,H4_ALL,LOGIT,96,0.654951874366768,0.4298002092679111,0.6702127659574468,0.4745762711864407,0.5798690562083421
2024,H4_ALL,TREE2,96,0.6408941236068896,0.39261036812007793,0.6329787234042553,0.7796610169491526,0.5743802824159967
2024,H4_ALL,TREE3,96,0.6298442249240122,0.3910742255922589,0.6196808510638298,0.5932203389830508,0.5660093709200852
2024,H4_ALL,HGB,96,0.6594478216818642,0.4120728270651597,0.6914893617021277,0.5084745762711864,0.5994414811379097
2024,H4_H1LIQ_ALL,LOGIT,129,0.6383611955420466,0.41252944371113615,0.6595744680851063,0.4745762711864407,0.5738123153301724
2024,H4_H1LIQ_ALL,TREE2,129,0.6193009118541033,0.3867113848176803,0.5691489361702128,0.7288135593220338,0.54583719851577
2024,H4_H1LIQ_ALL,TREE3,129,0.6070478723404256,0.3838408687989112,0.5531914893617021,0.6271186440677966,0.5304368085618085
2024,COMBINED_NOCLOCK,LOGIT,213,0.5997340425531915,0.36539896620188406,0.648936170212766,0.423728813559322,0.567666675255961
2024,COMBINED_NOCLOCK,TREE2,213,0.6534637791286728,0.40359255081314915,0.6462765957446809,0.6779661016949152,0.5724584278155705
2024,COMBINED_NOCLOCK,TREE3,213,0.6160714285714286,0.39415981586545545,0.6648936170212766,0.6271186440677966,0.5796229729265443
2024,COMBINED_FULL,LOGIT,221,0.6002406281661601,0.3671464153361822,0.6276595744680851,0.4406779661016949,0.5586479162372019
2024,COMBINED_FULL,TREE2,221,0.6534637791286728,0.40359255081314915,0.6462765957446809,0.6779661016949152,0.5724584278155705
2024,COMBINED_FULL,TREE3,221,0.6160714285714286,0.39415981586545545,0.6648936170212766,0.6271186440677966,0.5796229729265443
2025,SMALL_GEOM,LOGIT,10,0.7247186527256764,0.47324222349007145,0.7807486631016043,0.6086956521739131,0.6394686232702036
2025,SMALL_GEOM,TREE2,10,0.6892808683853461,0.36840039165311544,0.6818181818181818,0.717391304347826,0.5899297281101494
2025,SMALL_GEOM,TREE3,10,0.6932317024503153,0.38970604239947604,0.7219251336898396,0.6521739130434783,0.6083301977507422
2025,SMALL_GEOM,HGB,10,0.7121079096496129,0.4441745094715271,0.786096256684492,0.5652173913043478,0.646989143916273
2025,H4_BASE,LOGIT,35,0.6952669806049964,0.4412729955489697,0.7647058823529411,0.5869565217391305,0.6424212968769597
2025,H4_BASE,TREE2,35,0.6676909569798068,0.3549573954100007,0.6764705882352942,0.9565217391304348,0.5931360355087308
2025,H4_BASE,TREE3,35,0.6725995689999202,0.35658781249716504,0.6737967914438503,0.8913043478260869,0.589964393717686
2025,H4_FLOW,LOGIT,51,0.6870460531566766,0.44194394214040966,0.732620320855615,0.5217391304347826,0.6231176052510556
2025,H4_FLOW,TREE2,51,0.6676909569798068,0.3549573954100007,0.6764705882352942,0.9565217391304348,0.5931360355087308
2025,H4_FLOW,TREE3,51,0.6700055870380717,0.3556529652593351,0.6844919786096256,0.8913043478260869,0.5929494683445516
2025,H4_ROUTE_REL,LOGIT,80,0.6727591986591107,0.40267180524176766,0.7165775401069518,0.5,0.6103115375503435
2025,H4_ROUTE_REL,TREE2,80,0.6737967914438503,0.3590131232978775,0.6631016042780749,0.9347826086956522,0.5897630196357149
2025,H4_ROUTE_REL,TREE3,80,0.6714821613855854,0.3584822831698957,0.6524064171122995,0.9130434782608695,0.5840060899981883
2025,H4_ALL,LOGIT,96,0.6714821613855854,0.39821123115756274,0.732620320855615,0.5217391304347826,0.6206154103432417
2025,H4_ALL,TREE2,96,0.6737967914438503,0.3590131232978775,0.6631016042780749,0.9347826086956522,0.5897630196357149
2025,H4_ALL,TREE3,96,0.6720009577779551,0.3584128817078473,0.6818181818181818,0.9130434782608695,0.593494362919297
2025,H4_ALL,HGB,96,0.6987788331071914,0.42874286863441086,0.732620320855615,0.5,0.6163670443301699
2025,H4_H1LIQ_ALL,LOGIT,129,0.6642190118924096,0.3961189302720539,0.732620320855615,0.4782608695652174,0.6076623186588068
2025,H4_H1LIQ_ALL,TREE2,129,0.6737967914438503,0.3590131232978775,0.6631016042780749,0.9347826086956522,0.5897630196357149
2025,H4_H1LIQ_ALL,TREE3,129,0.6773086439460452,0.360494314543656,0.6844919786096256,0.782608695652174,0.5906010911827418
2025,COMBINED_NOCLOCK,LOGIT,213,0.6230345598212148,0.38991832092683715,0.6524064171122995,0.45652173913043476,0.5743603411513859
2025,COMBINED_NOCLOCK,TREE2,213,0.6737967914438503,0.3590131232978775,0.6631016042780749,0.9347826086956522,0.5897630196357149
2025,COMBINED_NOCLOCK,TREE3,213,0.6677308643946045,0.35587929790225786,0.6684491978609626,0.8695652173913043,0.5831375336204133
2025,COMBINED_FULL,LOGIT,221,0.6235932636283821,0.38579125108611056,0.6631016042780749,0.45652173913043476,0.5761845534233594
2025,COMBINED_FULL,TREE2,221,0.6737967914438503,0.3590131232978775,0.6631016042780749,0.9347826086956522,0.5897630196357149
2025,COMBINED_FULL,TREE3,221,0.6677308643946045,0.35587929790225786,0.6684491978609626,0.8695652173913043,0.5831375336204133
2026,SMALL_GEOM,LOGIT,10,0.6662028447742733,0.42762785449863955,0.696969696969697,0.5263157894736842,0.5973149866007009
2026,SMALL_GEOM,TREE2,10,0.6595547309833024,0.38940964085472757,0.6553030303030303,0.8157894736842105,0.5828823953823954
2026,SMALL_GEOM,TREE3,10,0.6655071119356833,0.40116538956371095,0.6628787878787878,0.7894736842105263,0.5908189033189033
2026,SMALL_GEOM,HGB,10,0.6937229437229437,0.46360644780748816,0.7121212121212122,0.5263157894736842,0.6121109049680479
2026,H4_BASE,LOGIT,35,0.6269325912183056,0.3672871984103046,0.7045454545454546,0.5263157894736842,0.6085394763966193
2026,H4_BASE,TREE2,35,0.6304885590599876,0.3396455910906778,0.6363636363636364,0.8157894736842105,0.5763270459699031
2026,H4_BASE,TREE3,35,0.6568491032776747,0.3680364392832592,0.678030303030303,0.7368421052631579,0.5966501752216038
2026,H4_FLOW,LOGIT,51,0.6260049474335189,0.40385774226178156,0.696969696969697,0.5526315789473685,0.6152288188002474
2026,H4_FLOW,TREE2,51,0.6304885590599876,0.3396455910906778,0.6363636363636364,0.8157894736842105,0.5763270459699031
2026,H4_FLOW,TREE3,51,0.6568491032776747,0.3680364392832592,0.678030303030303,0.7368421052631579,0.5966501752216038
2026,H4_ROUTE_REL,LOGIT,80,0.6227581941867656,0.3973960598237778,0.6818181818181818,0.4473684210526316,0.5888837353123069
2026,H4_ROUTE_REL,TREE2,80,0.6336580086580086,0.3425071152287977,0.6515151515151515,0.7631578947368421,0.5753220985363843
2026,H4_ROUTE_REL,TREE3,80,0.6526747062461348,0.39305836257749305,0.5568181818181818,0.7368421052631579,0.5613919810348382
