feature,auc_all,within_pair,last_max,sign
h1_edge_6h,0.5021473082358987,0.49281767955801103,0.332,-1
h1_range_l9,0.5155884620326352,0.49171270718232046,0.36,-1
h1_closechg_l20,0.5033229474495695,0.49171270718232046,0.376,1
h1_eff_12h,0.5111814210458692,0.49060773480662984,0.332,-1
dprev_h4_range_3b,0.501517730952075,0.4889502762430939,0.4,-1
h1_edge_24h,0.5085635359116023,0.4861878453038674,0.34,-1
h1_closechg_l8,0.5151869459077476,0.4839779005524862,0.384,-1
dprev_h1_range_24h,0.5055312861364512,0.48287292817679556,0.34,-1
anchor_alive,0.5039348580238983,0.4823204419889503,0.912,1
h1_body_l8,0.5165553128613645,0.481767955801105,0.384,-1
dprev_h1_rv_24h,0.5021826416548889,0.48121546961325967,0.336,-1
dfirst_h4_eff_3b,0.5177357702685339,0.4790055248618785,0.464,-1
h4_eff_3b,0.5094709623538481,0.4790055248618785,0.464,-1
dprev_h4liq_opp_active_n,0.5279696132596685,0.47845303867403316,0.696,-1
price_since_prev_child_S,0.5063664396762174,0.47845303867403316,0.348,-1
h1_net_12h,0.5027399460362327,0.47624309392265196,0.348,-1
h4_body_mean_2b,0.5006825774123089,0.47569060773480665,0.416,-1
h1_range_l4,0.504471283566748,0.47513812154696133,0.376,1
h1_path_l9,0.505332134138507,0.47513812154696133,0.248,1
h1_body_l21,0.5006616985738148,0.47513812154696133,0.364,1
dprev_route_progress_S,0.5063278941282282,0.47513812154696133,0.34,-1
dprev_accepted_progress_S,0.5062957728382372,0.47513812154696133,0.34,-1
h4_net_3b,0.500849608120262,0.4734806629834254,0.416,-1
dfirst_h4_rv_3b,0.5026066426827701,0.469060773480663,0.38,-1
h1_range_l21,0.5142554284980085,0.4662983425414365,0.36,1
h1_mean_range_12h,0.5038577669279198,0.46408839779005523,0.344,-1
h1_body_l12,0.5208724142361557,0.4607734806629834,0.388,-1
h1_range_l12,0.5077862006938199,0.4585635359116022,0.4,-1
h4_rv_6b,0.5096074778363099,0.4580110497237569,0.392,-1
h1_closechg_l12,0.520960747783631,0.4574585635359116,0.388,-1
h1_path_l11,0.5217685982269048,0.4574585635359116,0.264,1
h1_rv_24h,0.504596556597713,0.45414364640883975,0.34,-1
dfirst_h1_rv_24h,0.5116985738147244,0.45414364640883975,0.34,-1
h1_range_l13,0.5014775793395863,0.4530386740331492,0.38,-1
h1_range_12h,0.5040986766028523,0.45193370165745855,0.344,-1
h1_path_l10,0.5111139663368881,0.45193370165745855,0.24,1
atr180,0.513057304381344,0.45138121546961324,0.428,1
h4_eff_6b,0.5107782988564822,0.44917127071823204,0.392,-1
h4_body_mean_3b,0.5118736348451753,0.4458563535911602,0.388,-1
h1_path_l12,0.5028652190671977,0.4453038674033149,0.232,1
h1_path_l16,0.5209430810741359,0.43867403314917125,0.232,1
dfirst_h1_eff_24h,0.5461004753950918,0.4375690607734807,0.328,-1
dfirst_h4_range_3b,0.5184745599383271,0.43701657458563536,0.384,-1
ref,0.5056469227804188,0.4353591160220994,0.44,-1
dfirst_atr14_atr180,0.5096412051908004,0.4325966850828729,0.408,-1
h4_net_6b,0.5027576127457278,0.4292817679558011,0.384,-1
h4_rv_12b,0.5059199537453425,0.4270718232044199,0.392,-1
h1liq_opp_age1_h,0.5029599768726712,0.42320441988950275,0.228,-1
h1_path_l17,0.5140305794680715,0.42320441988950275,0.22,1
h1_path_l14,0.5069606835410511,0.42099447513812155,0.2,1
h1_path_l13,0.5111717846588719,0.42099447513812155,0.224,1
h1_path_l15,0.5100346909931903,0.4176795580110497,0.232,1
h1_path_l18,0.5158197353205705,0.4121546961325967,0.216,1
dfirst_h1_range_24h,0.5239094822048054,0.4116022099447514,0.304,-1
h1_rv_48h,0.503674675574971,0.40994475138121544,0.34,-1
h1_path_l19,0.518042528587948,0.39447513812154694,0.216,1
current_liq_age_min_h,0.5096701143517923,0.39005524861878454,0.232,-1
