family,model,mean_auc,min_auc,mean_ap,mean_pair,mean_lastmax,mean_lastpct
SMALL_GEOM,LOGIT,0.6861793373969775,0.6662028447742733,0.43764506055747115,0.7071117937826323,0.5252298025830974,0.6030737362159296
SMALL_GEOM,HGB,0.6808168869566745,0.636619807497467,0.4320448905477978,0.7157178796728233,0.5107370489599089,0.6122242524202003
H4_ALL,HGB,0.6739852609346326,0.6594478216818642,0.42133339522903474,0.7019759547919748,0.4940529289325007,0.5974257649313306
SMALL_GEOM,TREE2,0.6702510086379115,0.6595547309833024,0.38751234254007144,0.6487212551042338,0.720099807366611,0.5787617635123802
H4_BASE,LOGIT,0.6678946225564334,0.6269325912183056,0.4198519803332496,0.698970303788827,0.5349325783138761,0.608578076878774
H4_FLOW,LOGIT,0.6618055851342529,0.6260049474335189,0.4278081357218173,0.7017073109063098,0.5276150952177792,0.610628017916549
SMALL_GEOM,TREE3,0.6578057108405879,0.6146783181357651,0.39143654836583797,0.6592963426505354,0.6782893120790184,0.5847780095253339
H4_ROUTE_REL,LOGIT,0.6561088033565957,0.6227581941867656,0.41236595275887583,0.6859900633367467,0.48528099910793937,0.5930965993488204
COMBINED_FULL,TREE2,0.6542837234829458,0.6355905998763142,0.36876596960791796,0.6536311171793024,0.7919688683758032,0.57918118199589
COMBINED_NOCLOCK,TREE2,0.6542837234829458,0.6355905998763142,0.36876596960791796,0.6536311171793024,0.7919688683758032,0.57918118199589
H4_BASE,TREE3,0.6530976324005356,0.6298442249240122,0.3718994924575611,0.6571693151793276,0.7404555973574318,0.584207979953125
H4_FLOW,TREE3,0.6522329717465861,0.6298442249240122,0.3715878767116177,0.6607343775679194,0.7404555973574318,0.5852030048287469
H4_ALL,LOGIT,0.6519467812433634,0.6294063079777366,0.4118788333043713,0.6948837562104145,0.4987718005404078,0.5961537241284774
H4_ALL,TREE3,0.6515066296493673,0.6298442249240122,0.38084848995919973,0.6194390715667311,0.7477019741690261,0.5736319049580735
H4_ROUTE_REL,TREE3,0.6513336975185774,0.6298442249240122,0.38087162377988254,0.6096351499981036,0.7477019741690261,0.5704691473177039
H4_ALL,TREE2,0.6494496412362495,0.6336580086580086,0.36471020221558437,0.6491984930658272,0.825867173460549,0.5798218001960319
H4_ROUTE_REL,TREE2,0.6494496412362495,0.6336580086580086,0.36471020221558437,0.6491984930658272,0.825867173460549,0.5798218001960319
H4_H1LIQ_ALL,TREE3,0.6486146128293595,0.6070478723404256,0.38309915714722775,0.6006924691217558,0.6892073588540253,0.5652179860963935
H4_BASE,TREE2,0.646357879882228,0.6304885590599876,0.3624044515402522,0.6486043160010619,0.8506574099212659,0.5812811212982102
H4_FLOW,TREE2,0.646357879882228,0.6304885590599876,0.3624044515402522,0.6486043160010619,0.8506574099212659,0.5812811212982102
H4_H1LIQ_ALL,TREE2,0.6428961010580893,0.6193009118541033,0.363138914276095,0.6279218973211463,0.808918020918176,0.5703074388959564
H4_H1LIQ_ALL,LOGIT,0.6427586467576821,0.6256957328385899,0.40780507547433625,0.693862909444887,0.4930509767417808,0.5903840066983123
COMBINED_FULL,TREE3,0.6291039595394919,0.6035095856524428,0.36185009668268736,0.6325789180920595,0.7094209362758406,0.5781901475475361
COMBINED_NOCLOCK,TREE3,0.6272486719699187,0.597943722943723,0.3599511407642864,0.6237405342536757,0.7094209362758406,0.5747320976609146
COMBINED_FULL,LOGIT,0.6060996501817718,0.594465058750773,0.37716785234351186,0.6625769585719523,0.4657332350773766,0.5792961801912583
COMBINED_NOCLOCK,LOGIT,0.6058476252400361,0.5947742733457019,0.3757335081478341,0.6585283371891633,0.4776273772123751,0.5807117471718574
