year,method,auc,ap,base_rate,n
2024,MECH_RATIO,0.6717735606763215,0.7700444485432486,0.6202898550724638,345
2024,MECH_RATIO_DELTA,0.6661553827495185,0.7639459150646497,0.6202898550724638,345
2024,MECH_PRICE_RETRACE,0.6606620532210887,0.7288780780745026,0.6202898550724638,345
2024,MECH_D1,0.515285011058001,0.609646408021068,0.6202898550724638,345
2024,SMALL__LOGIT,0.6424698580295356,0.7387368316923656,0.6202898550724638,345
2024,SMALL__TREE2,0.6180530784047942,0.687431578828556,0.6202898550724638,345
2024,SMALL__HGB,0.5530427338232147,0.6519690461282641,0.6202898550724638,345
2024,GEOM_DELTA__LOGIT,0.5335307127059998,0.6243077180853885,0.6202898550724638,345
2024,GEOM_DELTA__HGB,0.5492616109010487,0.6475334409744178,0.6202898550724638,345
2024,FULL__LOGIT,0.5281087251194977,0.6203194156232876,0.6202898550724638,345
2024,FULL__TREE2,0.6168759363629879,0.686007941322159,0.6202898550724638,345
2024,FULL__HGB,0.5084896910893915,0.6295505772709662,0.6202898550724638,345
2025,MECH_RATIO,0.7231927710843373,0.7053575311354305,0.5202312138728323,346
2025,MECH_RATIO_DELTA,0.6727576974564926,0.659157296810499,0.5202312138728323,346
2025,MECH_PRICE_RETRACE,0.5427710843373494,0.5824369278298658,0.5202312138728323,346
2025,MECH_D1,0.6360107095046854,0.6356841501173651,0.5202312138728323,346
2025,SMALL__LOGIT,0.6169678714859438,0.6484510695041423,0.5202312138728323,346
2025,SMALL__TREE2,0.6349732262382864,0.6067231591841111,0.5202312138728323,346
2025,SMALL__HGB,0.652008032128514,0.6029527240783048,0.5202312138728323,346
2025,GEOM_DELTA__LOGIT,0.6276773761713521,0.6328495058898237,0.5202312138728323,346
2025,GEOM_DELTA__HGB,0.663520749665328,0.6231869732003313,0.5202312138728323,346
2025,FULL__LOGIT,0.6106091030789824,0.6368059980401786,0.5202312138728323,346
2025,FULL__TREE2,0.6232095046854083,0.5907361831971351,0.5202312138728323,346
2025,FULL__HGB,0.6681057563587685,0.6400983677195331,0.5202312138728323,346
2026,MECH_RATIO,0.6668346774193548,0.7236587069480072,0.579185520361991,221
2026,MECH_RATIO_DELTA,0.6228158602150536,0.7050188446591543,0.579185520361991,221
2026,MECH_PRICE_RETRACE,0.7430275537634409,0.8140373999026229,0.579185520361991,221
2026,MECH_D1,0.5814852150537634,0.6785118225204352,0.579185520361991,221
2026,SMALL__LOGIT,0.6729670698924731,0.7428118909353423,0.579185520361991,221
2026,SMALL__TREE2,0.6365507392473118,0.6781708746164248,0.579185520361991,221
2026,SMALL__HGB,0.6342405913978495,0.706651493313305,0.579185520361991,221
2026,GEOM_DELTA__LOGIT,0.6782594086021505,0.7477481483974764,0.579185520361991,221
2026,GEOM_DELTA__HGB,0.5992103494623656,0.6663057238680334,0.579185520361991,221
2026,FULL__LOGIT,0.6755712365591398,0.7372089819219059,0.579185520361991,221
2026,FULL__TREE2,0.6157174059139785,0.6422734387189889,0.579185520361991,221
2026,FULL__HGB,0.5796370967741935,0.644831033959916,0.579185520361991,221
