delay_bars,N,PnL,PF,WR,DD,P95,Max
-1,1139,8530.740000000002,2.0231428509747205,0.655838454784899,440.34999999999854,59.9259999999992,592.9399999999996
0,1139,13863.219999999998,3.475141850176219,0.704126426690079,288.7500000000018,73.3979999999999,592.9399999999996
1,1139,13839.029999999999,3.463754105802869,0.704126426690079,288.7500000000018,73.3979999999999,592.9399999999996
2,1139,13715.95,3.406826385342804,0.7023705004389815,288.7500000000018,73.3979999999999,592.9399999999996
3,1139,13471.130000000001,3.2720822131294107,0.7006145741878841,260.8600000000024,71.69199999999987,592.9399999999996
4,1139,12608.380000000003,2.9271943567678305,0.6935908691834943,371.34000000000196,70.33099999999995,592.9399999999996
