N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_exact_last,arm_early,ha_before_true_last,changed,year,method,q,threshold
288,546.020000000002,1.644834427700887,0.6666666666666666,131.71000000000026,18.657,79.75,347.09000000000015,71,61,0.8591549295774648,15,46,34,64,2023,MECH_D1,0.5,1.0555767815317312
288,686.3300000000011,1.8172151838445436,0.6805555555555556,161.8000000000004,19.93250000000004,79.75,392.28999999999996,71,36,0.5070422535211268,15,21,16,41,2023,MECH_D1,0.7,2.0544311567059923
288,640.1800000000007,1.729965792474346,0.6840277777777778,161.8000000000004,19.93250000000004,79.75,376.7399999999998,71,24,0.3380281690140845,8,16,12,28,2023,MECH_D1,0.8,2.6126741949241623
288,628.620000000001,1.6878132043679033,0.6840277777777778,161.8000000000004,21.233999999999952,71.1400000000001,397.97,71,8,0.11267605633802817,3,5,5,10,2023,MECH_D1,0.9,3.943370166339047
288,830.350000000001,1.923842901646642,0.6944444444444444,161.8000000000004,21.92149999999999,139.51,532.72,71,1,0.014084507042253521,0,1,1,2,2023,MECH_D1,0.95,7.115626474945476
288,547.0200000000016,1.6029695439865106,0.65625,161.8000000000004,19.154500000000066,79.75,378.31999999999994,71,49,0.6901408450704225,12,37,26,51,2023,MECH4,0.5,0.5355555555555556
288,681.7200000000009,1.7792243419022276,0.6909722222222222,161.8000000000004,21.233999999999952,79.75,384.0899999999999,71,23,0.323943661971831,11,12,9,28,2023,MECH4,0.7,0.6586666666666666
288,783.7600000000011,1.8869273945319593,0.6875,161.8000000000004,21.92149999999999,135.6500000000001,506.1900000000003,71,13,0.18309859154929578,7,6,4,16,2023,MECH4,0.8,0.7322222222222224
288,849.1000000000013,1.9628184921021923,0.6979166666666666,161.8000000000004,21.92149999999999,135.6500000000001,527.4500000000003,71,8,0.11267605633802817,5,3,2,8,2023,MECH4,0.9,0.7979999999999999
288,845.9700000000009,1.9412216288384534,0.6944444444444444,161.8000000000004,22.10300000000005,139.51,532.72,71,4,0.056338028169014086,3,1,1,4,2023,MECH4,0.95,0.8366666666666667
288,623.5000000000014,1.7668560745824444,0.6736111111111112,122.25000000000045,18.799999999999866,79.75,363.48,71,58,0.8169014084507042,19,39,30,68,2023,H4BASE_LOGIT,0.5,0.48261358467421483
288,705.0100000000016,1.8416020054912294,0.6770833333333334,134.75000000000045,19.341499999999993,79.75,404.68000000000006,71,47,0.6619718309859155,16,31,23,57,2023,H4BASE_LOGIT,0.7,0.5721582292570837
288,643.9700000000016,1.7561617134201504,0.6770833333333334,140.49000000000046,19.341499999999993,79.75,371.57000000000016,71,38,0.5352112676056338,13,25,19,46,2023,H4BASE_LOGIT,0.8,0.6292122474895007
288,610.6400000000017,1.703437471200814,0.6770833333333334,152.78000000000043,19.341499999999993,79.75,371.57000000000016,71,34,0.4788732394366197,12,22,18,41,2023,H4BASE_LOGIT,0.9,0.6763788244535734
288,732.5900000000004,1.8329808523218278,0.6840277777777778,161.8000000000004,21.076499999999847,79.75,450.5799999999999,71,28,0.39436619718309857,8,20,14,31,2023,H4BASE_LOGIT,0.95,0.7502901494705057
288,574.6100000000008,1.7043083900226776,0.6631944444444444,133.41000000000054,18.657,79.75,347.09000000000015,71,61,0.8591549295774648,16,45,32,70,2023,SMALL_LOGIT,0.5,0.46516118982777477
288,669.6400000000012,1.8437791386305813,0.6805555555555556,141.25000000000045,19.341499999999993,79.75,348.85000000000014,71,48,0.676056338028169,17,31,22,56,2023,SMALL_LOGIT,0.7,0.5583448011400475
288,699.0200000000013,1.8250846897463464,0.6875,161.8000000000004,19.54899999999987,79.75,404.05999999999995,71,35,0.49295774647887325,14,21,17,41,2023,SMALL_LOGIT,0.8,0.6175217968153561
288,763.5300000000013,1.8943564634774894,0.6909722222222222,161.8000000000004,19.93250000000004,79.75,425.14999999999986,71,27,0.38028169014084506,12,15,11,33,2023,SMALL_LOGIT,0.9,0.6708445286933885
288,725.6500000000012,1.8266783627063445,0.6909722222222222,161.8000000000004,19.93250000000004,71.1400000000001,426.0100000000002,71,15,0.2112676056338028,6,9,8,17,2023,SMALL_LOGIT,0.95,0.762248745369603
288,474.06000000000176,1.5329630795521008,0.6527777777777778,157.16000000000054,18.53649999999997,79.75,347.09000000000015,71,57,0.8028169014084507,9,48,34,65,2023,SMALL_HGB,0.5,0.2969812290848691
288,533.4200000000019,1.600042746099422,0.65625,161.8000000000004,18.862999999999893,79.75,371.22,71,46,0.647887323943662,9,37,28,56,2023,SMALL_HGB,0.7,0.40914172322157727
288,681.8700000000022,1.810081617620856,0.6875,161.8000000000004,19.569999999999933,71.1400000000001,391.59000000000015,71,39,0.5492957746478874,13,26,20,46,2023,SMALL_HGB,0.8,0.49190628792195445
288,735.3900000000024,1.845723025967757,0.6979166666666666,161.8000000000004,19.93250000000004,71.1400000000001,427.34000000000015,71,25,0.352112676056338,7,18,14,28,2023,SMALL_HGB,0.9,0.5618505664978427
288,685.5100000000018,1.7528196004788135,0.6875,161.8000000000004,21.076499999999847,71.1400000000001,434.2900000000002,71,13,0.18309859154929578,5,8,8,14,2023,SMALL_HGB,0.95,0.615955559230011
288,438.99000000000206,1.4953454520835483,0.6388888888888888,147.72000000000048,16.79149999999999,79.75,347.09000000000015,71,71,1.0,15,56,43,77,2023,H4ALL_TREE2,0.5,0.2982456140350879
288,598.3900000000026,1.6856687788612528,0.6701388888888888,142.71000000000026,19.3805000000001,79.75,374.7000000000003,71,47,0.6619718309859155,13,34,25,50,2023,H4ALL_TREE2,0.7,0.6623376623376626
288,693.1400000000021,1.8210419085072649,0.6875,152.78000000000043,19.93250000000004,79.75,387.57000000000016,71,37,0.5211267605633803,9,28,22,42,2023,H4ALL_TREE2,0.8,0.7671033478893743
288,693.1400000000021,1.8210419085072649,0.6875,152.78000000000043,19.93250000000004,79.75,387.57000000000016,71,37,0.5211267605633803,9,28,22,42,2023,H4ALL_TREE2,0.9,0.7671033478893743
288,693.1400000000021,1.8210419085072649,0.6875,152.78000000000043,19.93250000000004,79.75,387.57000000000016,71,37,0.5211267605633803,9,28,22,42,2023,H4ALL_TREE2,0.95,0.7671033478893743
288,492.7800000000018,1.5667525417490946,0.6458333333333334,122.25000000000045,18.53649999999997,79.75,347.09000000000015,71,64,0.9014084507042254,17,47,38,73,2023,H4ALL_HGB,0.5,0.23915801625559888
288,544.3900000000006,1.5859452361475883,0.65625,160.43000000000052,19.341499999999993,79.75,389.81999999999994,71,39,0.5492957746478874,12,27,23,48,2023,H4ALL_HGB,0.7,0.43500896028213604
288,636.6000000000006,1.6940386376520882,0.6805555555555556,161.8000000000004,19.569999999999933,71.1400000000001,426.90999999999985,71,22,0.30985915492957744,8,14,12,26,2023,H4ALL_HGB,0.8,0.5654573345392998
288,789.7000000000012,1.8820802662883847,0.6909722222222222,161.8000000000004,19.93250000000004,139.51,518.9299999999998,71,12,0.16901408450704225,2,10,8,15,2023,H4ALL_HGB,0.9,0.6646924344598107
288,781.5800000000013,1.8509679245693906,0.6875,161.8000000000004,21.92149999999999,139.51,529.05,71,4,0.056338028169014086,0,4,4,6,2023,H4ALL_HGB,0.95,0.7138517520175057
241,991.8599999999976,1.900495705699705,0.6224066390041494,139.79999999999927,36.970000000000255,84.16999999999985,523.4599999999996,84,70,0.8333333333333334,32,38,27,73,2024,MECH_D1,0.5,0.9793039490414591
241,879.7799999999982,1.7228434570416786,0.6141078838174274,148.91999999999916,36.970000000000255,84.16999999999985,531.9899999999998,84,48,0.5714285714285714,22,26,21,55,2024,MECH_D1,0.7,1.8074026344174887
241,909.2199999999989,1.746179729175214,0.6224066390041494,141.58999999999924,36.970000000000255,84.16999999999985,531.9899999999998,84,43,0.5119047619047619,20,23,18,52,2024,MECH_D1,0.8,2.293148324168607
241,948.449999999998,1.733521009118257,0.6224066390041494,146.52999999999884,37.48000000000002,107.55999999999996,615.0999999999992,84,27,0.32142857142857145,12,15,12,33,2024,MECH_D1,0.9,3.2361887890282803
241,1028.879999999999,1.7593546577708228,0.6224066390041494,146.52999999999884,38.04000000000042,107.55999999999996,720.4599999999998,84,14,0.16666666666666666,6,8,7,19,2024,MECH_D1,0.95,4.472025462107593
241,852.5899999999988,1.7134107054698795,0.6058091286307054,168.42999999999938,36.970000000000255,84.16999999999985,505.4300000000003,84,56,0.6666666666666666,26,30,25,63,2024,MECH4,0.5,0.5304428044280443
241,771.3799999999978,1.6069986858775085,0.6141078838174274,160.84999999999945,36.970000000000255,84.16999999999985,504.2000000000007,84,38,0.4523809523809524,17,21,18,41,2024,MECH4,0.7,0.6305350553505534
241,800.0799999999981,1.6186919067724506,0.6182572614107884,155.05999999999904,36.43000000000029,107.55999999999996,557.8799999999999,84,30,0.35714285714285715,13,17,16,33,2024,MECH4,0.8,0.6916051660516606
241,899.469999999998,1.695726495726494,0.6224066390041494,141.58999999999924,37.11000000000013,107.55999999999996,585.7299999999989,84,24,0.2857142857142857,10,14,13,32,2024,MECH4,0.9,0.7757380073800738
241,1156.8299999999983,1.8693590446917703,0.6182572614107884,141.8099999999995,40.1899999999996,158.13999999999987,789.2999999999995,84,11,0.13095238095238096,3,8,6,18,2024,MECH4,0.95,0.8297047970479704
241,1125.4399999999987,1.9462011215456125,0.6390041493775933,139.79999999999927,39.08999999999992,84.16999999999985,602.5000000000002,84,53,0.6309523809523809,29,24,15,53,2024,H4BASE_LOGIT,0.5,0.4731517124458536
241,1144.7299999999973,1.8620863645263779,0.6182572614107884,139.79999999999927,40.1899999999996,116.5,739.5799999999997,84,23,0.27380952380952384,13,10,5,19,2024,H4BASE_LOGIT,0.7,0.5895286126968636
241,1220.739999999998,1.89700274081313,0.6265560165975104,152.7700000000009,42.92000000000007,110.75999999999976,790.299999999999,84,13,0.15476190476190477,6,7,5,10,2024,H4BASE_LOGIT,0.8,0.6420203820649452
241,1266.849999999998,1.9308844817070911,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,833.589999999999,84,9,0.10714285714285714,4,5,4,7,2024,H4BASE_LOGIT,0.9,0.7115374587751178
241,1273.639999999998,1.9405665672170838,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,833.589999999999,84,5,0.05952380952380952,1,4,3,6,2024,H4BASE_LOGIT,0.95,0.760163995023895
241,840.1899999999973,1.7098357608732353,0.6141078838174274,136.6300000000001,36.970000000000255,84.16999999999985,512.7000000000003,84,64,0.7619047619047619,32,32,26,65,2024,SMALL_LOGIT,0.5,0.4478088985881231
241,931.6799999999982,1.7820897025863132,0.6182572614107884,135.8099999999995,36.970000000000255,84.16999999999985,530.7600000000002,84,48,0.5714285714285714,23,25,20,56,2024,SMALL_LOGIT,0.7,0.5371585858403285
241,874.7999999999986,1.6957268627872004,0.6182572614107884,146.52999999999884,36.970000000000255,84.16999999999985,535.1199999999999,84,36,0.42857142857142855,17,19,17,43,2024,SMALL_LOGIT,0.8,0.5984908642479804
241,1026.33,1.76401926555649,0.6141078838174274,152.7700000000009,38.17000000000007,116.5,676.8900000000001,84,19,0.2261904761904762,8,11,7,21,2024,SMALL_LOGIT,0.9,0.6825296294401737
241,1287.749999999999,1.959446571994813,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,837.6799999999992,84,11,0.13095238095238096,6,5,3,11,2024,SMALL_LOGIT,0.95,0.739503970061952
241,889.3899999999974,1.744820366803447,0.6099585062240664,154.3399999999997,36.970000000000255,84.16999999999985,523.2800000000004,84,70,0.8333333333333334,30,40,28,70,2024,SMALL_HGB,0.5,0.22800617386264233
241,803.7599999999966,1.6182198566286152,0.6016597510373444,158.76999999999953,36.970000000000255,116.5,576.7500000000002,84,45,0.5357142857142857,15,30,22,51,2024,SMALL_HGB,0.7,0.32641057200313606
241,836.1499999999978,1.6278910849453292,0.6099585062240664,152.7700000000009,36.970000000000255,116.5,594.9200000000003,84,34,0.40476190476190477,11,23,17,38,2024,SMALL_HGB,0.8,0.4119092328567176
241,952.5499999999981,1.6986577673463379,0.6182572614107884,152.7700000000009,38.17000000000007,107.55999999999996,654.6199999999997,84,12,0.14285714285714285,3,9,7,14,2024,SMALL_HGB,0.9,0.5423260018499548
241,1185.0499999999981,1.857588432814217,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,805.399999999999,84,4,0.047619047619047616,1,3,3,4,2024,SMALL_HGB,0.95,0.6136472732860754
241,1036.2799999999986,1.926872026045578,0.6224066390041494,154.3399999999997,38.04000000000042,84.16999999999985,526.3000000000004,84,74,0.8809523809523809,32,42,30,81,2024,H4ALL_TREE2,0.5,0.6428241808952474
241,1036.2799999999986,1.926872026045578,0.6224066390041494,154.3399999999997,38.04000000000042,84.16999999999985,526.3000000000004,84,74,0.8809523809523809,32,42,30,81,2024,H4ALL_TREE2,0.7,0.6428241808952474
241,1036.2799999999986,1.926872026045578,0.6224066390041494,154.3399999999997,38.04000000000042,84.16999999999985,526.3000000000004,84,74,0.8809523809523809,32,42,30,81,2024,H4ALL_TREE2,0.8,0.6428241808952474
241,1036.2799999999986,1.926872026045578,0.6224066390041494,154.3399999999997,38.04000000000042,84.16999999999985,526.3000000000004,84,74,0.8809523809523809,32,42,30,81,2024,H4ALL_TREE2,0.9,0.6428241808952474
