PnL,PF,WR,DD,P95,Max,N,year,rule,delta,event_routes,early,changed
285.16000000000076,1.3400956504108683,0.6078431372549019,133.4399999999987,24.68699999999988,43.00999999999999,204,2022,ANY_HA,36.74000000000137,62,29,74
277.7100000000012,1.2913969130037894,0.6078431372549019,143.76999999999884,25.872999999999937,88.46000000000004,204,2022,OPPOSITE_NEAREST,29.290000000001783,53,16,59
260.48999999999955,1.250772563176895,0.5980392156862745,168.22999999999865,26.304999999999914,84.09999999999991,204,2022,NO_SAME_TARGET,12.070000000000164,6,2,5
277.7100000000012,1.2913969130037894,0.6078431372549019,143.76999999999884,25.872999999999937,88.46000000000004,204,2022,OPP_NEAREST_OR_NO_SAME,29.290000000001783,53,16,59
292.8600000000024,1.3262082716063168,0.5931372549019608,154.17999999999847,25.872999999999937,78.80999999999995,204,2022,RATIO_WORSENED,44.44000000000301,51,22,63
296.3300000000015,1.317558806194076,0.6127450980392157,143.76999999999884,25.872999999999937,88.46000000000004,204,2022,OPP_NEAREST_AND_RATIO_WORSENED,47.91000000000213,46,12,54
383.07000000000085,1.4083335998209217,0.5882352941176471,149.0599999999995,26.90649999999989,78.80999999999995,204,2022,SAME_DISTANCE_WIDENED,134.65000000000146,38,14,43
321.7100000000007,1.3285168695368035,0.5980392156862745,160.33999999999855,26.304999999999914,88.46000000000004,204,2022,OPP_NEAREST_AND_SAME_WIDENED,73.29000000000133,33,7,33
481.790000000002,1.5678070971467668,0.6458333333333334,110.58000000000038,16.79149999999999,79.75,288,2023,ANY_HA,-372.1599999999994,61,38,80
489.7100000000005,1.534588723322964,0.6527777777777778,178.39000000000078,18.799999999999866,79.44000000000005,288,2023,OPPOSITE_NEAREST,-364.2400000000009,55,25,68
853.9500000000014,1.9521340647578298,0.6979166666666666,161.8000000000004,22.10300000000005,139.51,288,2023,NO_SAME_TARGET,0.0,0,0,0
489.7100000000005,1.534588723322964,0.6527777777777778,178.39000000000078,18.799999999999866,79.44000000000005,288,2023,OPP_NEAREST_OR_NO_SAME,-364.2400000000009,55,25,68
451.36000000000195,1.5079222182211054,0.6354166666666666,146.6800000000003,18.088499999999947,76.90000000000009,288,2023,RATIO_WORSENED,-402.58999999999946,60,32,78
489.7100000000005,1.534588723322964,0.6527777777777778,178.39000000000078,18.799999999999866,79.44000000000005,288,2023,OPP_NEAREST_AND_RATIO_WORSENED,-364.2400000000009,54,24,68
563.5600000000029,1.6160876314581243,0.6493055555555556,168.99000000000024,19.26499999999996,71.1400000000001,288,2023,SAME_DISTANCE_WIDENED,-290.3899999999985,52,28,69
642.6900000000012,1.7042714999561699,0.6666666666666666,188.2400000000007,19.569999999999933,71.1400000000001,288,2023,OPP_NEAREST_AND_SAME_WIDENED,-211.26000000000022,45,18,56
991.8599999999974,1.953317378391623,0.6182572614107884,163.45999999999958,36.970000000000255,84.16999999999985,241,2024,ANY_HA,-296.0300000000009,71,30,87
1088.8199999999981,1.91452905306657,0.6016597510373444,135.63999999999942,36.970000000000255,133.47000000000003,241,2024,OPPOSITE_NEAREST,-199.07000000000016,62,21,74
1219.1699999999985,1.9037315424301706,0.6265560165975104,141.58999999999924,38.17000000000007,133.47000000000003,241,2024,NO_SAME_TARGET,-68.7199999999998,8,4,14
1088.8199999999981,1.91452905306657,0.6016597510373444,135.63999999999942,36.970000000000255,133.47000000000003,241,2024,OPP_NEAREST_OR_NO_SAME,-199.07000000000016,62,21,74
956.9299999999982,1.8131835447878493,0.6016597510373444,163.45999999999958,36.43000000000029,133.47000000000003,241,2024,RATIO_WORSENED,-330.96000000000004,61,23,68
1057.139999999997,1.836927607828231,0.5975103734439834,135.63999999999942,42.039999999999964,133.47000000000003,241,2024,OPP_NEAREST_AND_RATIO_WORSENED,-230.75000000000136,54,17,60
1015.5499999999961,1.8230140849636072,0.6058091286307054,154.3399999999997,39.26999999999998,133.47000000000003,241,2024,SAME_DISTANCE_WIDENED,-272.3400000000022,50,19,58
1117.9299999999962,1.8699031997011906,0.6016597510373444,129.8300000000013,42.92000000000007,133.47000000000003,241,2024,OPP_NEAREST_AND_SAME_WIDENED,-169.96000000000208,42,13,49
2005.2100000000046,2.1561004577793708,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,241,2025,ANY_HA,-705.9999999999973,56,33,76
