route_id,ts,route_year,primary,latest_rank,route_total_accepted,terminal_now,latest_child_ts,latest_child_price,atr180,price,bars_since_child,hours_since_child,price_from_child_S,open_children,open_cont,ha_same,ha_opp,ha_doji,h4_bar_body_S,h4_bar_range_S,h4c_same_active_n,h4c_same_d1_S,h4c_same_age1_h,h4c_same_d2_S,h4c_same_age2_h,h4c_same_d3_S,h4c_same_age3_h,h4c_opp_active_n,h4c_opp_d1_S,h4c_opp_age1_h,h4c_opp_d2_S,h4c_opp_age2_h,h4c_opp_d3_S,h4c_opp_age3_h,h4c_distance_ratio,h4c_same_nearest,since_child_h4liq_same_d1_S,since_child_h4liq_opp_d1_S,since_child_h4liq_distance_ratio,since_child_h4liq_same_active_n,since_child_h4liq_opp_active_n,h4c_birth_same_since_child,h4c_birth_opp_since_child,h4c_birth_same_since_route,h4c_birth_opp_since_route,same_arrivals_since_child,era4_rejects_since_child,child_h4liq_same_d1_S,child_h4liq_opp_d1_S,child_h4liq_distance_ratio,child_h4liq_same_active_n,child_h4liq_opp_active_n,child_current_liq_age_median_h,child_anchor_mfe_S,child_anchor_peak_giveback_S,child_route_progress_S,child_accepted_progress_S,child_current_sl_atr180,child_h4_replenish_net_since_first,child_h4_active_routeborn_balance,child_relmedian_h4liq_same_d1_S,child_sl_progress_from_first_S
14,2022-02-14 20:00:00,2022,UP,1,1,1,2022-02-14 16:33:00,1865.28,7.308544175981743,1864.53,1,3.45,-0.10261961642986907,1,0,1.0,0.0,0.0,0.42416108124344637,1.4982463998760946,0,,,,,,,6,1.8840961576523936,0.0,5.972461676218361,72.0,6.725005530037401,144.0,,0.0,,-4.207942320692719,,0,1,0,1,0,1,0,0,,6.0920384783451125,,0,5,8.55,,,1.5778928491209236,0.0,1.9922612321074595,-1.0,0.0,,0.0
14,2022-02-15 00:00:00,2022,UP,1,1,1,2022-02-14 16:33:00,1865.28,7.324385597226288,1871.24,2,7.45,0.813720129952888,1,0,1.0,0.0,0.0,0.9188484017756573,1.387147067167982,0,,,,,,,6,2.7961389700394395,4.0,6.875662037655555,76.0,7.626578264961068,148.0,,0.0,,-3.295899508305673,,0,1,0,1,0,1,0,0,,6.0920384783451125,,0,5,8.55,,,1.5778928491209236,0.0,1.9922612321074595,-1.0,0.0,,0.0
14,2022-02-15 04:00:00,2022,UP,1,1,1,2022-02-14 16:33:00,1865.28,7.295139010575032,1870.93,3,11.45,0.7744883259674493,1,0,1.0,0.0,0.0,-0.02467396436708174,0.2823798144235493,0,,,,,,,6,2.764854784913851,8.0,6.860732869853129,80.0,7.614659558847979,152.0,,0.0,,-3.3271836934312615,,0,1,0,1,0,1,0,0,,6.0920384783451125,,0,5,8.55,,,1.5778928491209236,0.0,1.9922612321074595,-1.0,0.0,,0.0
14,2022-02-15 08:00:00,2022,UP,1,1,1,2022-02-14 16:33:00,1865.28,7.304499349405171,1877.9,4,15.45,1.7277022553267536,1,0,1.0,0.0,0.0,0.95557541538674,1.2293792593370945,0,,,,,,,6,3.715518162406325,12.0,7.806147591024606,84.0,8.559108161888082,156.0,,0.0,,-2.3765203159387873,,0,1,0,1,0,1,0,0,,6.0920384783451125,,0,5,8.55,,,1.5778928491209236,0.0,1.9922612321074595,-1.0,0.0,,0.0
14,2022-02-15 12:00:00,2022,UP,1,1,1,2022-02-14 16:33:00,1865.28,7.414529908575143,1857.64,5,19.45,-1.0304092227295443,1,0,0.0,1.0,0.0,-2.720334296132866,3.656334296884626,0,,,,,,,6,0.9279077817250649,16.0,4.95783285700768,88.0,5.699619601119275,160.0,,0.0,,-5.164130696620047,,0,1,0,1,0,1,0,0,,6.0920384783451125,,0,5,8.55,,,1.5778928491209236,0.0,1.9922612321074595,-1.0,0.0,,0.0
15,2022-02-17 12:00:00,2022,UP,1,4,0,2022-02-17 10:26:00,1879.45,7.49061926738722,1888.32,1,1.5666666666666667,1.18414775646364,1,0,1.0,0.0,0.0,1.7808941455721596,2.722071336448031,0,,,,,,,6,5.866003654905612,36.0,9.003260957825102,136.0,9.737512667019026,208.0,,0.0,,1.138668378941193,,0,0,0,0,0,0,0,0,,4.7273352759644185,,0,6,38.43333333333333,,,0.0,0.0,1.582518281717206,-1.0,0.0,,0.0
15,2022-02-17 16:00:00,2022,UP,1,4,0,2022-02-17 10:26:00,1879.45,7.532060271457291,1895.84,2,5.566666666666666,2.1760314454877245,1,0,1.0,0.0,0.0,1.0010541244037519,1.9848486949384891,0,,,,,,,6,6.832128016156117,40.0,9.952124292480823,140.0,10.682336186939796,212.0,,0.0,,2.104792740191699,,0,0,0,0,0,0,0,0,,4.7273352759644185,,0,6,38.43333333333333,,,0.0,0.0,1.582518281717206,-1.0,0.0,,0.0
15,2022-02-17 20:00:00,2022,UP,1,4,0,2022-02-17 10:26:00,1879.45,7.569771047726973,1897.65,3,9.566666666666666,2.4042999299780785,1,0,1.0,0.0,0.0,0.23778790516269052,1.8917348899607607,0,,,,,,,6,7.037200948897356,44.0,10.141654155187723,144.0,10.868228309851427,216.0,,0.0,,2.309865672932937,,0,0,0,0,0,0,0,0,,4.7273352759644185,,0,6,38.43333333333333,,,0.0,0.0,1.582518281717206,-1.0,0.0,,0.0
15,2022-02-18 00:00:00,2022,UP,1,4,0,2022-02-17 10:26:00,1879.45,7.552550097461823,1898.29,4,13.566666666666666,2.4945216856398553,1,0,1.0,0.0,0.0,0.0820914779775183,0.5918530750960864,0,,,,,,,6,7.137986415756094,48.0,10.249518242323868,148.0,10.977749095350367,220.0,,0.0,,2.4106511397916757,,0,0,0,0,0,0,0,0,,4.7273352759644185,,0,6,38.43333333333333,,,0.0,0.0,1.582518281717206,-1.0,0.0,,0.0
15,2022-02-18 04:00:00,2022,UP,1,4,0,2022-02-17 10:26:00,1879.45,7.588758152475924,1890.25,5,17.566666666666666,1.4231577529554456,1,0,1.0,0.0,0.0,-1.0897698719390332,1.8540582948225104,0,,,,,,,6,6.044467234080223,52.0,9.141153085418475,152.0,9.86590934849764,224.0,,0.0,,1.3171319581158043,,0,0,0,0,0,0,0,0,,4.7273352759644185,,0,6,38.43333333333333,,,0.0,0.0,1.582518281717206,-1.0,0.0,,0.0
