method,PnL,base,oracle,delta,min_year_delta,recovery,armed,early,ha_before_last,DDmax,pooled_recovery
DYN_SMALL__HGB,7762.4500000000035,7428.370000000001,11625.619999999995,334.0800000000024,-28.68999999999869,0.05905937602985272,29,17,12,425.83999999999924,0.07959497289892259
DYN_SMALL__LOGIT,7593.73,7428.370000000001,11625.619999999995,165.359999999999,-229.61000000000058,-0.039034844772643074,47,22,16,440.34999999999854,0.039397224373101246
FULL_NO_RANK__LOGIT,7574.640000000001,7428.370000000001,11625.619999999995,146.26999999999998,-115.34000000000106,-0.0032106384038974637,49,23,17,440.34999999999854,0.03484900827923049
GEOM_DELTA__HGB,7243.479999999999,7428.370000000001,11625.619999999995,-184.89000000000237,-163.77000000000044,-0.03355932310348968,23,12,10,440.34999999999854,-0.04405027101078149
FULL_WITH_RANK__LOGIT,7003.9,7428.370000000001,11625.619999999995,-424.47000000000116,-214.17000000000144,-0.11049896061094404,70,37,27,570.9699999999984,-0.10113050211448013
FULL_NO_RANK__HGB,6998.180000000002,7428.370000000001,11625.619999999995,-430.18999999999915,-214.63999999999896,-0.09787589917184998,32,18,13,415.60000000000036,-0.10249329918398944
GEOM_DELTA__LOGIT,6770.190000000002,7428.370000000001,11625.619999999995,-658.1799999999987,-385.7600000000002,-0.15888750190304193,68,34,26,415.60000000000036,-0.15681219846327943
MECH_CUR_D1,6631.910000000002,7428.370000000001,11625.619999999995,-796.4599999999991,-514.1100000000001,-0.23350617624215383,56,29,26,415.60000000000036,-0.189757579367443
FULL_NO_RANK__TREE2,6566.900000000004,7428.370000000001,11625.619999999995,-861.4699999999966,-681.8999999999965,-0.2557523507297954,113,66,55,415.60000000000036,-0.20524629221514032
