method,PnL,base,oracle,delta,mean_recovery,min_year_delta,PF_mean,DD_max,armed,early,ha_before_last,changed,pooled_recovery
SMALL_LOGIT,7421.250000000002,7428.370000000001,11625.619999999995,-7.1199999999996635,-0.05248857373395561,-308.6600000000017,2.242659732577353,440.34999999999854,56,33,27,71,-0.001696348799809321
MECH4,7155.629999999999,7428.370000000001,11625.619999999995,-272.7400000000018,-0.1651395112810335,-388.4200000000003,2.085137425178593,440.34999999999854,41,28,25,60,-0.06498064208708135
SMALL_HGB,7129.200000000001,7428.370000000001,11625.619999999995,-299.1700000000001,-0.14061650043438165,-335.34000000000015,2.1075823427914293,425.83999999999924,31,19,15,37,-0.07127762225266554
H4BASE_LOGIT,6532.430000000002,7428.370000000001,11625.619999999995,-895.9399999999985,-0.15925311483106896,-839.9499999999989,2.101255350307783,649.9799999999977,41,25,19,42,-0.21345881231758881
H4ALL_HGB,6501.98,7428.370000000001,11625.619999999995,-926.390000000001,-0.1696171986766033,-856.3700000000022,2.0776676114422115,425.83999999999924,34,20,15,38,-0.22071356245160575
MECH_D1,6085.92,7428.370000000001,11625.619999999995,-1342.4500000000007,-0.3300778090556638,-569.3300000000013,1.9850879663266376,415.60000000000036,55,29,27,70,-0.31984037167192864
H4ALL_TREE2,5315.420000000002,7428.370000000001,11625.619999999995,-2112.949999999999,-0.4699504036977949,-1123.7100000000023,1.9718407338028843,415.60000000000036,181,109,83,205,-0.5034129489546731
