year,family,model,weight,n_features,auc,ap,brier,last_is_route_max,last_route_percentile,within_route_pair_auc,train_orientation
2024,H4_GEOM,LOGIT,ROW,32,0.6912360688956434,0.4607515331959474,0.2042571655371973,0.6190476190476191,0.7341838882017454,0.648936170212766,
2024,H4_GEOM,TREE2,ROW,32,0.6408941236068896,0.39261036812007793,0.2330347588872735,0.8452380952380952,0.7231898062255205,0.6329787234042553,
2024,H4_GEOM,TREE3,ROW,32,0.6298442249240122,0.3910742255922589,0.2405118787252744,0.7142857142857143,0.714818894729609,0.6196808510638298,
2024,H4_GEOM_DELTA,LOGIT,ROW,46,0.6878166160081054,0.45163087937230684,0.20253603393109174,0.6666666666666666,0.7546538943860372,0.6914893617021277,
2024,H4_GEOM_DELTA,TREE2,ROW,46,0.6408941236068896,0.39261036812007793,0.23303475888727332,0.8452380952380952,0.7231898062255205,0.6329787234042553,
2024,H4_GEOM_DELTA,TREE3,ROW,46,0.6298442249240122,0.3910742255922589,0.2405118787252743,0.7142857142857143,0.714818894729609,0.6196808510638298,
2024,H4_H1_LIQ,LOGIT,ROW,79,0.6679964539007092,0.42964838688213625,0.20976941005644148,0.6547619047619048,0.7356075637325638,0.6595744680851063,
2024,H4_H1_LIQ,TREE2,ROW,79,0.6193009118541033,0.3867113848176803,0.24649727276736938,0.8095238095238095,0.6946467223252937,0.5691489361702128,
2024,H4_H1_LIQ,TREE3,ROW,79,0.6070478723404256,0.3838408687989112,0.27157925534100874,0.7380952380952381,0.6792463323713324,0.5531914893617021,
2024,JOURNEY_NO_COUNT,LOGIT,ROW,28,0.4342705167173252,0.3148727666212524,0.25294283989974553,0.4880952380952381,0.6091645622895623,0.4627659574468085,
2024,JOURNEY_NO_COUNT,TREE2,ROW,28,0.506079027355623,0.3113979198236672,0.2568888104929308,0.9285714285714286,0.6495254414897274,0.5079787234042553,
2024,JOURNEY_NO_COUNT,TREE3,ROW,28,0.5015197568389057,0.3093315194930431,0.25778938671092205,0.8095238095238095,0.6667431113859685,0.5718085106382979,
2024,HTF_COMPACT,LOGIT,ROW,58,0.4747657041540021,0.3031497993175096,0.2718212191552382,0.6071428571428571,0.643668401704116,0.48138297872340424,
2024,HTF_COMPACT,TREE2,ROW,58,0.507250506585613,0.3122336572193074,0.2607065995337322,0.8452380952380952,0.6722177128427129,0.5319148936170213,
2024,HTF_COMPACT,TREE3,ROW,58,0.4846441236068897,0.30576110201807816,0.26871224195612886,0.8214285714285714,0.6739125953411668,0.5212765957446809,
2024,COMBINED_NO_COUNT,LOGIT,ROW,193,0.5858029381965553,0.35304800026979466,0.2573556278606063,0.5833333333333334,0.7008715986394558,0.6170212765957447,
2024,COMBINED_NO_COUNT,TREE2,ROW,193,0.6534637791286728,0.40359255081314915,0.24419153997413504,0.7738095238095238,0.7212679516250945,0.6462765957446809,
